LL	EH L
CONSENSUALLY	K AH N S EH N CH AH W AH L IY
CONSEQUENTIALLY	K AA N S AH K W EH N CH AH L IY
CONSPIRATORIALLY	K AH N S P IH R AH T AO R IY AH L IY
CONSPIRATORIALLY(2)	K AH N S P IH R AH T AO R Y AH L IY
CONSTELLATE	K AA N Z T EH L AH T
CONSTELLATED	K AA N Z T EH L EY T IH D
CONSTELLATES	K AA N Z T EH L AH T S
CONSTELLATING	K AA N Z T EH L EY T IH NG
CONSTELLATION	K AA N S T AH L EY SH AH N
CONSTELLATIONS	K AA N S T AH L EY SH AH N Z
CONSTELLATORY	K AA N Z T EH L AH T OW R IY
CONSTITUTIONALLY	K AA N S T AH T UW SH AH N AH L IY
CONSTRUCTIONALLY	K AH N S T R AH K SH AH N AH L IY
CONTEXTUALLY	K AH N T EH K S CH AH W AH L IY
CONTINENTALLY	K AA N T AH N EH N T AH L IY
CONTINENTALLY(2)	K AA N T AH N EH N AH L IY
CONTINUALLY	K AH N T IH N Y UW AH L IY
CONTINUALLY(2)	K AH N T IH N Y UW L IY
CONTRACTUALLY	K AH N T R AE K CH UW AH L IY
CONTRAPUNTALLY	K AA N T R AH P AH N T AH L IY
CONTROLLABILITIES	K AH N T R OW L AH B IH L AH T EH Z
CONTROLLABILITY	K AH N T R OW L AH B IH L AH T EH
CONTROLLABLE	K AH N T R OW L AH B AH L
CONTROLLED	K AH N T R OW L D
CONTROLLER	K AH N T R OW L ER
CONTROLLERS	K AH N T R OW L ER Z
CONTROLLERSHIP	K AH N T R OW L ER SH IH P
CONTROLLERSHIPS	K AH N T R OW L ER SH IH P S
CONTROLLING	K AH N T R OW L IH NG
CONTROVERSIALLY	K AA N T R AH V ER SH AH L IY
CONVENTIONALLY	K AH N V EH N SH AH N AH L IY
CONVENTUALLY	K AA N V EH N T Y UW AE L IY
CONVERSATIONALLY	K AA N V ER S EY SH AH N AH L IY
CONVIVIALLY	K AH N V IH V Y AH L IY
COOLLY	K UW L IY
COQUILLE	K OW K W IH L
COQUILLES	K OW K W IH L Z
CORALBELLS	K AO R AH L B EH L Z
CORALLINE	K AO R AH L AY N
CORALLINES	K AO R AH L AY N Z
CORALLOID	K OW R AE L OY D
CORBEILLE	K AA R B IY L
CORBEILLES	K AA R B IY L Z
CORBELLED	K AO R B AH L D
CORBELLING	K AA R B EH L AH NG
CORDELLE	K AA R D EH L
CORDELLED	K AA R D EH L D
CORDELLES	K AA R D EH L Z
CORDELLING	K AA R D EH L AH NG
CORDIALLY	K AO R JH AH L IY
CORDILLERA	K AO R D IH L IH R AH
CORDILLERAN	K AA R D IH L AH R AH N
CORDILLERAS	K AO R D IH L IH R AH Z
CORNBALL	K AO R N B AO L
CORNBALLS	K AO R N B AO L Z
COROLLA	K ER AA L AH
COROLLARIES	K AO R AH L EH R IY Z
COROLLARY	K AO R AH L EH R IY
COROLLAS	K OW R AA L AH Z
COROLLATE	K OW R OW L AH T
CORPORALLY	K AO R P ER AH L IY
CORPOREALLY	K AO R P OW R IY AH L IY
CORRALLED	K ER AE L D
CORRALLING	K ER AE L IH NG
CORTICALLY	K AO R T IH K AH L IY
COSMETICALLY	K AO Z M EH T IH K L IY
COSMICALLY	K AA Z M IH K AH L IY
COSMOLOGICALLY	K AA Z M AH L AA JH IH K AH L IY
COTILLION	K OW T IH L Y AH N
COTILLIONS	K OW T IH L Y AH N Z
COTILLON	K OW T IH L AO N
COTILLONS	K OW T IH L AO N Z
COULOMETRICALLY	K OW Y UW L AH M EH T R AH K AE L IY
COUNCILLOR	K AW N S AH L ER
COUNCILLORS	K AW N S AH L ER Z
COUNCILLORSHIP	K AW N S AH L ER SH IH P
COUNCILLORSHIPS	K AW N S AH L ER SH IH P S
COUNSELLED	K AW N S AH L D
COUNSELLING	K AW N S AH L IH NG
COUNSELLINGS	K AW N S AH L IH NG Z
COUNSELLOR	K AW N S AH L ER
COUNSELLORS	K AW N S AH L ER Z
COUNTERCYCLICALLY	K AW N T ER S IH K L IH K AH L IY
COUNTERGUERILLA	K AW N T ER G AH R IH L AH
COUNTERGUERILLAS	K AW N T ER G AH R IH L AH Z
COUNTERGUERRILLA	K AW N T ER G AH R IH L AH
COUNTERGUERRILLAS	K AW N T ER G AH R IH L AH Z
COUNTERINTELLIGENCE	K AW N T ER IH N T EH L IH JH AH N S
COUNTERINTELLIGENCE(2)	K AW N ER IH N T EH L IH JH AH N S
COUNTERINTELLIGENCES	K AW N T ER IH N T EH L AH JH AH N S IH Z
COUNTERRALLIED	K AW N T ER AH L IY D
COUNTERRALLIES	K AW N T ER AH L IY Z
COUNTERRALLY	K AW N T ER AH L IY
COUNTERRALLYING	K AW N T ER AH L IY IH NG
COUNTERSPELL	K AW N T ER S P EH L
COUNTERSPELLS	K AW N T ER S P EH L Z
COUNTERSURVEILLANCE	K AW N T ER S ER V EY L AH N S
COUNTERSURVEILLANCES	K AW N T ER S ER V EY L AH N S IH Z
COVELLINE	K OW V EH L AY N
COVELLINES	K OW V EH L AY N Z
COVELLITE	K OW V EH L AY T
COVELLITES	K OW V EH L AY T S
COVERALL	K AH V ER AO L
COVERALLED	K OW V EH R AH L D
COVERALLS	K AH V ER AO L Z
COWBELL	K AW B EH L
COWBELLS	K AW B EH L Z
COYOTILLO	K OW Y AH T IH L OW
COYOTILLOS	K OW Y AH T IH L AH Z
CRANESBILL	K R EY N Z B IH L
CRANESBILLS	K R EY N Z B IH L Z
CRANIALLY	K R EY N IY AH L IY
CREDENTIALLED	K R IH D EH N CH AH L D
CREDENTIALLING	K R IH D EH N CH AH L IH NG
CRENELLATED	K R EH N AH L EY T AH D
CRENELLATION	K R EH N AH L EY SH AH N
CRENELLATIONS	K R EH N AH L EY T IY AH N Z
CRENELLE	K R EH N AH L
CRENELLED	K R EH N AH L D
CRENELLES	K R EH N AH L Z
CRENELLING	K R AH N EH L AH NG
CRESTFALLEN	K R EH S T F AO L AH N
CRESTFALLENLY	K R EH S T F AE L AH N L IY
CRESTFALLENNESS	K R EH S T F AE L AH N AH S
CRESTFALLENNESSES	K R EH S T F AE L AH N AH S IH Z
CREVALLE	K R EH V AH L
CREVALLES	K R EH V AH L Z
CRIMINALLY	K R IH M AH N AH L IY
CRIMINOLOGICALLY	K R IH M AH N AH L AA JH AH K AE L IY
CRIOLLO	K R AY AA L OW
CRIOLLOS	K R AY AA L AH Z
CRITICALLY	K R IH T IH K AH L IY
CRITICALLY(2)	K R IH T IH K L IY
CROSSBILL	K R AO S B IH L
CROSSBILLS	K R AO S B IH L Z
CROSSLINGUISTICALLY	K R AO S L IH NG G W IH S T IH K AH L IY
CRUCIALLY	K R UW SH AH L IY
CRUELLER	K R UW AH L ER
CRUELLEST	K R UW AH L AH S T
CRUELLY	K R UW L IY
CRULLER	K R AH L AH R
CRULLERS	K R AH L AH R Z
CRYOGENICALLY	K R AY AH JH EH N AH K AE L IY
CRYPTICALLY	K R IH P T IH K AH L IY
CRYPTOCRYSTALLINE	K R IH P T AH K R IH S T AH L AY N
CRYPTOGRAPHICALLY	K R IH P T AH G R AE F IH K AH L IY
CRYSTALLINE	K R IH S T AH L AY N
CRYSTALLINITIES	K R IH S T AH L AH N AH T IY Z
CRYSTALLINITY	K R IH S T AH L AH N AH T IY
CRYSTALLISE	K R IH S T AH L AY Z
CRYSTALLISED	K R IH S T AH L IY Z D
CRYSTALLISES	K R IH S T AH L IY Z IH Z
CRYSTALLISING	K R IH S T AH L IY Z IH NG
CRYSTALLITE	K R IH S T AH L AY T
CRYSTALLITES	K R IH S T AH L AY T S
CRYSTALLIZABLE	K R IH S T AH L AY Z AH B AH L
CRYSTALLIZATION	K R IH S T AH L AH Z EY SH AH N
CRYSTALLIZATIONS	K R IH S T AH L AH Z EY SH AH N Z
CRYSTALLIZE	K R IH S T AH L AY Z
CRYSTALLIZED	K R IH S T AH L AY Z D
CRYSTALLIZER	K R IH S T AH L AY Z ER
CRYSTALLIZERS	K R IH S T AH L AY Z ER Z
CRYSTALLIZES	K R IH S T AH L AY Z IH Z
CRYSTALLIZING	K R IH S T AH L AY Z IH NG
CRYSTALLOGRAPHER	K R IH S T AH L AA G R AH F ER
CRYSTALLOGRAPHERS	K R IH S T AH L AA G R AH F ER Z
CRYSTALLOGRAPHIC	K R IH S T AH L OW G R AE F IH K
CRYSTALLOGRAPHICALLY	K R IH S T AH L OW G R AE F IH K AH L IY
CRYSTALLOGRAPHIES	K R IH S T AH L AA G R AH F IY Z
CRYSTALLOGRAPHY	K R IH S T AH L AA G R AH F IY
CRYSTALLOID	K R IH S T AH L OY D
CRYSTALLOIDAL	K R IH S T AH L OY D AH L
CRYSTALLOIDS	K R IH S T AH L OY D Z
CUADRILLA	K Y UW AH D R IH L AH
CUADRILLAS	K Y UW AH D R IH L AH Z
CUBICALLY	K Y UW B IH K AH L IY
CUCULLATE	K Y UW K AH L EY T
CUDGELLED	K AH JH AH L D
CUDGELLING	K AH JH AH L IH NG
CULL	K AH L
CULLAY	K AH L EY IY
CULLAYS	K AH L EY Z
CULLED	K AH L D
CULLENDER	K AH L EH N D AH R
CULLENDERS	K AH L EH N D AH R Z
CULLER	K AH L ER
CULLERS	K AH L ER Z
CULLET	K AH L AH T
CULLETS	K AH L AH T S
CULLIED	K AH L AY D
CULLIES	K AH L AY Z
CULLING	K AH L IH NG
CULLION	K AH L IY AH N
CULLIONS	K AH L IY AH N Z
CULLIS	K AH L AH S
CULLISES	K AH L AY Z AH Z
CULLS	K AH L Z
CULLY	K AH L IY
CULLYING	K AH L AY AH NG
CULTURALLY	K AH L CH ER AH L IY
CUPELLATION	K Y UW P AH L EY SH AH N
CUPELLATIONS	K Y UW P AH L EY T IY AH N Z
CUPELLED	K Y UW P AH L D
CUPELLER	K Y UW P EH L AH R
CUPELLERS	K Y UW P EH L AH R Z
CUPELLING	K Y UW P EH L AH NG
CURVEBALL	K ER V B AO L
CURVEBALLED	K ER V B AO L D
CURVEBALLING	K ER V B AO L IH NG
CURVEBALLS	K ER V B AO L Z
CYBERNETICALLY	S AH B AH R N EH T AH K AE L IY
CYCLICALLY	S IH K L IH K AH L IY
CYCLONICALLY	S IH K L AA N AH K AE L IY
CYLINDRICALLY	S AH L IH N D R IH K AH L IY
CYNICALLY	S IH N IH K AH L IY
CYNICALLY(2)	S IH N IH K L IY
CYTOGENETICALLY	S IH T AH JH AH N EH T AH K AE L IY
CYTOLOGICALLY	S IH T AH L AA JH AH K AE L IY
CYTOPLASMICALLY	S AY T AH P L AE Z AH M IH K AH L IY
CYTOSTATICALLY	S AH T AA S T AE T AH K AE L IY
CYTOTAXONOMICALLY	S AH T AH T AE K S AH N AA M AH K AE L IY
DALLES	D AO L Z
DALLIANCE	D AE L IY AH N S
DALLIANCES	D AE L AY AE N S AH Z
DALLIED	D AE L IY D
DALLIER	D AE L AY AH R
DALLIERS	D AE L IY R Z
DALLIES	D AE L AY Z
DALLY	D AE L IY
DALLYING	D AE L AY AH NG
DEADFALL	D EH D F AO L
DEADFALLS	D EH D F AO L Z
DECASYLLABIC	D AH K AH S IH L AH B AH K
DECASYLLABICS	D AH K AH S IH L AH B AH S Z
DECASYLLABLE	D AH K AH S IH L AH B AH L
DECASYLLABLES	D AH K AH S IH L AH B AH L Z
DECEITFULLY	D AH S IY T F AH L IY
DECENNIALLY	D IY S AH N IY AH L IY
DECILLION	D AH S IH L IY AH N
DECILLIONS	D AH S IH L IY AH N Z
DECIMALLY	D EH S AH M AH L IY
DECOLLATE	D IY K AH L EY T
DECOLLATED	D IY K AH L EY T IH D
DECOLLATES	D IY K AH L EY T S
DECOLLATING	D IY K AH L EY T IH NG
DECOLLATION	D IY K AH L EY SH AH N
DECOLLATIONS	D IY K AH L EY SH AH N Z
DECOLLETAGE	D EY K AA L AH T AA ZH
DECOLLETAGES	D EY K AA L AH T AA ZH IH Z
DECOLLETE	D IH K AH L IY T
DECOLLETES	D IH K AH L IY T S
DECONTROLLED	D IY K AH N T R OW L D
DECONTROLLING	D IY K AH N T R OW L IH NG
DEFERENTIALLY	D EH F AH R AH N T IY AH L IY
DEFIBRILLATE	D AH F IH B R AH L EY T
DEFIBRILLATED	D AH F IH B R AH L EY T AH D
DEFIBRILLATES	D AH F IH B R AH L EY T S
DEFIBRILLATING	D AH F IH B R AH L EY T AH NG
DEFIBRILLATION	D AH F IH B R AH L EY SH AH N
DEFIBRILLATIONS	D AH F IH B R AH L EY T IY AH N Z
DEFIBRILLATOR	D IY F IH B R IH L EY T ER
DEFIBRILLATORS	D IY F IH B R IH L EY T ER Z
DEISTICALLY	D IY IH S T AH K AE L IY
DELIGHTFULLY	D IH L AY T F AH L IY
DELL	D EH L
DELLIES	D EH L IY Z
DELLS	D EH L Z
DELLY	D EH L IY
DELPHICALLY	D IH L F AH K AE L IY
DEMAGOGICALLY	D AH M AH G AA JH AH K AE L IY
DEMOCRATICALLY	D EH M AH K R AE T IH K L IY
DEMOGRAPHICALLY	D EH M AH G R AE F IH K L IY
DEMOISELLE	D AH M OY S AH L
DEMOISELLES	D AH M OY S AH L Z
DEMONIACALLY	D IH M OW N IY AE K AH L IY
DEMONICALLY	D IY M AH N IH K AH L IY
DENDROCHRONOLOGICALLY	D IH N D R AA K R AH N AH L AA JH AH K AE L IY
DENTALLY	D EH N T AH L IY
DEPARTMENTALLY	D IH P AA R T M EH N T AH L IY
DERAILLEUR	D AH R EY L AH R
DERAILLEURS	D AH R EY L IY Y AH R Z
DESHABILLE	D AH SH AE B AH L
DESHABILLES	D AH SH AE B AH L Z
DESPITEFULLY	D IH S P AY T F AH L IY
DESPOTICALLY	D EH S P AH T IH K AH L IY
DETASSELLED	D IY T AE S AH L D
DETASSELLING	D IY T AE S AH L IH NG
DETERMINISTICALLY	D IH T ER M AH N IH S T IH K AH L IY
DETRIMENTALLY	D EH T R AH M EH N T AH L IY
DEVELOPMENTALLY	D IH V EH L AH P M EH N AH L IY
DEVELOPMENTALLY(2)	D IH V EH L AH P M EH N T AH L IY
DEVILLED	D EH V AH L D
DEVILLING	D IY V IH L IH NG
DEVOTIONALLY	D IH V OW SH AH N AH L IY
DEWFALL	D UW F AO L
DEWFALLS	D UW F AO L Z
DIABOLICALLY	D AY AH B AA L IH K AH L IY
DIACHRONICALLY	D AY AH K R AA N IH K AH L IY
DIAGENETICALLY	D AY IH JH N EH T IH K AH L IY
DIAGNOSTICALLY	D AY IH G N AA S T IH K AH L IY
DIAGONALLY	D AY AE G AH N AH L IY
DIAGRAMMATICALLY	D AY AH G R AE M AH T IH K AH L IY
DIALECTALLY	D AY AH L EH K T AH L IY
DIALECTICALLY	D AY AH L EH K T IH K AH L IY
DIALECTOLOGICALLY	D AY AH L EH K T AH L AA JH AH K AE L IY
DIALLAGE	D AY AH L IH JH
DIALLAGES	D AY AH L IH JH IH Z
DIALLED	D AY AH L D
DIALLEL	D AY AE L AH L
DIALLER	D AY AH L ER
DIALLERS	D AY AH L ER Z
DIALLING	D AY AH L IH NG
DIALLINGS	D AY AH L IH NG Z
DIALLIST	D AY AH L IH S T
DIALLISTS	D AY AH L IH S T S
DIALOGICALLY	D AY AH L AA JH AH K AE L IY
DIAMETRICALLY	D AY AH M EH T R IH K AH L IY
DIAMETRICALLY(2)	D AY AH M EH T R IH K L IY
DIAPHRAGMATICALLY	D AY AH F R AE M AH T IH K AH L IY
DIASTROPHICALLY	D AY AE S T R AA F AH K AE L IY
DIATONICALLY	D AY AH T AA N AH K AE L IY
DICHOTICALLY	D AH CH AA T AH K AE L IY
DICTATORIALLY	D IH K T AH T OW R IY AH L IY
DICTIONALLY	D IH K SH AH N AH L IY
DIDACTICALLY	D IH D AE K T IH K AH L IY
DIETETICALLY	D AY AH T EH T IH K AH L IY
DIFFERENTIALLY	D IH F AH R EH N CH AH L IY
DIGITALLY	D IH JH AH T AH L IY
DIGRAPHICALLY	D IH G R AE F AH K AE L IY
DILL	D IH L
DILLED	D IH L D
DILLIES	D IH L IY Z
DILLS	D IH L Z
DILLY	D IH L IY
DILLYDALLIED	D IH L AH D AE L AY D
DILLYDALLIES	D IH L AH D AE L AY Z
DILLYDALLY	D IH L IY D AE L IY
DILLYDALLYING	D IH L AH D AE L AY AH NG
DIMENSIONALLY	D AH M EH N CH AH N AH L IY
DINOFLAGELLATE	D AH N AA F L AE JH AH L EY T
DINOFLAGELLATES	D AH N AA F L AE JH AH L EY T S
DIPLOMATICALLY	D IH P L AH M AE T IH K L IY
DIREFULLY	D AY ER F AH L IY
DISALLOW	D IH S AH L AW
DISALLOWANCE	D IH S AH L AW AH N S
DISALLOWANCES	D IH S AH L AW AH N S IH Z
DISALLOWED	D IH S AH L AW D
DISALLOWING	D IH S AH L AW IH NG
DISALLOWS	D IH S AH L AW Z
DISANNULLED	D AH S AE N AH L D
DISANNULLING	D AH S AE N AH L AH NG
DISBOWELLED	D IH S B AW AH L D
DISBOWELLING	D IH S B AW AH L IH NG
DISDAINFULLY	D IH S D EY N F AH L IY
DISEMBOWELLED	D IH S IH M B AW AH L D
DISEMBOWELLING	D IH S IH M B AW AH L IH NG
DISENTHRALL	D IH S AH N TH R AE L
DISENTHRALLED	D IH S IH N TH R AO L D
DISENTHRALLING	D IH S IH N TH R AO L IH NG
DISENTHRALLS	D IH S AH N TH R AE L Z
DISGRACEFULLY	D IH S G R EY S F AH L IY
DISGUSTFULLY	D IH S G AH S T F AH L IY
DISHABILLE	D IH S AE B AH L
DISHABILLES	D IH S AE B AH L Z
DISHEVELLED	D IH SH EH V AH L D
DISHEVELLING	D IH SH EH V AH L IH NG
DISILLUSION	D IH S IH L UW ZH AH N
DISILLUSIONED	D IH S IH L UW ZH AH N D
DISILLUSIONING	D IH S IH L UW ZH AH N IH NG
DISILLUSIONMENT	D IH S IH L UW ZH AH N M AH N T
DISILLUSIONMENTS	D IH S IH L UW ZH AH N M AH N T S
DISILLUSIONS	D IH S IH L UW ZH AH N Z
DISLOYALLY	D IH S L OY AH L IY
DISMALLY	D IH Z M AH L IY
DISPELLED	D IH S P EH L D
DISPELLING	D IH S P EH L IH NG
DISRESPECTFULLY	D IH S R IH S P EH K T F AH L IY
DISSYLLABLE	D IH S IH L AH B AH L
DISSYLLABLES	D IH S IH L AH B AH L Z
DISTALLY	D IH S T AH L IY
DISTASTEFULLY	D IH S T EY S T F AH L IY
DISTILL	D IH S T IH L
DISTILLATE	D IH S T AH L EY T
DISTILLATE(2)	D IH S T AH L AH T
DISTILLATES	D IH S T AH L EY T S
DISTILLATION	D IH S T AH L EY SH AH N
DISTILLATIONS	D IH S T IH L EY SH AH N Z
DISTILLED	D IH S T IH L D
DISTILLER	D IH S T IH L ER
DISTILLERIES	D IH S T IH L ER IY Z
DISTILLERS	D IH S T IH L ER Z
DISTILLERY	D IH S T IH L ER IY
DISTILLING	D IH S T IH L IH NG
DISTILLS	D IH S T IH L Z
DISTRESSFULLY	D IH S T R EH S F AH L IY
DISTRUSTFULLY	D IH S T R AH S T F AH L IY
DISYLLABIC	D IH S Y L AE B AH K
DISYLLABLE	D IH S Y L AH B AH L
DISYLLABLES	D IH S Y L AH B AH L Z
DITHYRAMBICALLY	D IH TH AH R AE M B AH K AE L IY
DIURETICALLY	D AY AH R EH T AH K AE L IY
DIURNALLY	D AY ER N AH L IY
DJELLABA	JH EH L AH B AH
DJELLABAH	JH EH L AH B AH
DJELLABAHS	JH EH L AH B AH Z
DJELLABAS	JH EH L AH B AH Z
DOCTRINALLY	D AA K T R AH N AH L IY
DODECAPHONICALLY	D UW D IY K AE P HH OW N IH K AH L IY
DODGEBALL	D AA JH B AO L
DODGEBALLS	D AA JH B AO L Z
DOGMATICALLY	D AA G M AE T IH K L IY
DOLEFULLER	D OW L F AH L ER
DOLEFULLEST	D OW L F AH L AH S T
DOLEFULLY	D OW L F AH L IY
DOLL	D AA L
DOLLAR	D AA L ER
DOLLAR(2)	D AO L ER
DOLLARS	D AA L ER Z
DOLLARS(2)	D AO L ER Z
DOLLED	D AA L D
DOLLHOUSE	D AA L HH AW S
DOLLHOUSES	D AA L HH AW S IH Z
DOLLIED	D AA L IY D
DOLLIES	D AA L IY Z
DOLLING	D AA L IH NG
DOLLISH	D AA L IH SH
DOLLISHLY	D AA L IH SH L IY
DOLLISHNESS	D AA L IH SH N AH S
DOLLISHNESSES	D AA L IH SH N AH S IH Z
DOLLOP	D AA L AH P
DOLLOPED	D AA L OW P T
DOLLOPING	D AA L OW P AH NG
DOLLOPS	D AA L AH P S
DOLLS	D AA L Z
DOLLY	D AA L IY
DOLLYING	D AA L IY IH NG
DOMESTICALLY	D AH M EH S T IH K L IY
DOOMFULLY	D UW M F AH L IY
DOORBELL	D AO R B EH L
DOORBELLS	D OW R B EH L Z
DOORSILL	D AO R S IH L
DOORSILLS	D OW R S IH L Z
DORSALLY	D AO R S AH L IY
DORSIVENTRALLY	D AO R S AH V EH N T R AE L IY
DORSOVENTRALLY	D AO R S AH V EH N T R AE L IY
DOUBTFULLY	D AW T F AH L IY
DOWELLED	D AW AH L D
DOWELLING	D AW AH L IH NG
DOWNFALL	D AW N F AO L
DOWNFALLEN	D AW N F AE L AH N
DOWNFALLS	D AW N F AO L Z
DOWNHILL	D AW N HH IH L
DOWNHILLER	D AW N HH IH L ER
DOWNHILLERS	D AW N HH IH L ER Z
DOWNHILLS	D AW N HH IH L Z
DRAMATICALLY	D R AH M AE T IH K L IY
DRAMATICALLY(2)	D R AH M AE T IH K AH L IY
DRAMATURGICALLY	D R AE M AH T AH R JH AH K AE L IY
DRASTICALLY	D R AE S T IH K L IY
DREADFULLY	D R EH D F AH L IY
DREAMFULLY	D R IY M F AH L IY
DRILL	D R IH L
DRILLABILITIES	D R IH L AH B IH L AH T EH Z
DRILLABILITY	D R IH L AH B IH L AH T EH
DRILLABLE	D R IH L AH B AH L
DRILLED	D R IH L D
DRILLER	D R IH L ER
DRILLERS	D R IH L ER Z
DRILLING	D R IH L IH NG
DRILLINGS	D R IH L IH NG Z
DRILLMASTER	D R IH L M AE S T ER
DRILLMASTERS	D R IH L M AE S T ER Z
DRILLS	D R IH L Z
DRIVELLED	D R IH V AH L D
DRIVELLING	D R AH V EH L AH NG
DROLL	D R OW L
DROLLED	D R AA L D
DROLLER	D R AA L AH R
DROLLERIES	D R AA L AH R AY Z
DROLLERY	D R AA L AH R IY
DROLLEST	D R AA L AH S T
DROLLING	D R AA L AH NG
DROLLNESS	D R AA L N AH S
DROLLNESSES	D R AA L N EH S AH Z
DROLLS	D R AA L Z
DROLLY	D R AA L IY
DRUMROLL	D R AH M R OW L
DRUMROLLS	D R AH M R OW L Z
DRYWALL	D R AY W AA L
DRYWALLS	D R AY W AO L Z
DUALISTICALLY	D UW AH L IH S T IH K AH L IY
DUALLY	D UW AH L IY
DUCALLY	D Y UW K AE L IY
DUCKBILL	D AH K B IH L
DUCKBILLS	D AH K B IH L Z
DUELLED	D UW AH L D
DUELLER	D UW AH L ER
DUELLERS	D UW AH L ER Z
DUELLI	D Y UW EH L IY
DUELLING	D UW AH L IH NG
DUELLIST	D UW AH L IH S T
DUELLISTS	D UW AH L IH S T S
DUELLO	D Y UW EH L OW
DUELLOS	D Y UW EH L AH Z
DULL	D AH L
DULLARD	D AH L AH R D
DULLARDS	D AH L AH R D Z
DULLED	D AH L D
DULLER	D AH L ER
DULLEST	D AH L AH S T
DULLING	D AH L IH NG
DULLISH	D AH L IH SH
DULLISHLY	D AH L IH SH L IY
DULLNESS	D AH L N AH S
DULLNESSES	D AH L N AH S IH Z
DULLS	D AH L Z
DULLSVILLE	D AH L S V AH L
DULLSVILLES	D AH L S V AH L Z
DULLY	D AH L IY
DUMBBELL	D AH M B EH L
DUMBBELLS	D AH M B EH L Z
DUNGHILL	D AH NG HH IH L
DUNGHILLS	D AH NG HH IH L Z
DUODECILLION	D Y UW AA D AH S IH L IY AH N
DUODECILLIONS	D Y UW AH D AH S IH L IY AH N Z
DUTIFULLY	D UW T IY F AH L IY
DUXELLES	D AH K S AH L Z
DWELL	D W EH L
DWELLED	D W EH L D
DWELLER	D W EH L ER
DWELLERS	D W EH L ER Z
DWELLING	D W EH L IH NG
DWELLINGS	D W EH L IH NG Z
DWELLS	D W EH L Z
DYADICALLY	D AY EY D IH K AH L IY
DYNAMICALLY	D AY N AE M IH K AH L IY
DYNASTICALLY	D AY N AE S T IH K AH L IY
DYSLOGISTICALLY	D IH Z L AH JH IH S T AH K AE L IY
DYSPEPTICALLY	D IH S P EH P T IH K AH L IY
EASEFULLY	IY Z F AH L IY
EBULLIENCE	IH B UH L Y AH N S
EBULLIENCES	IH B UH L Y AH N S IH Z
EBULLIENCIES	IH B UH L Y AH N S IY Z
EBULLIENCY	IH B UH L Y AH N S IY
EBULLIENT	IH B AH L Y AH N T
EBULLIENTLY	IH B UH L Y AH N T L IY
EBULLITION	EH B AH L IH SH AH N
EBULLITIONS	EH B AH L IH T IY AH N Z
ECCENTRICALLY	IH K S EH N T R IH K AH L IY
ECCLESIASTICALLY	IH K L IY Z IY AE S T IH K AH L IY
ECHELLE	EH CH AH L
ECHELLES	EH CH AH L Z
ECLECTICALLY	EH K L EH K T IH K AH L IY
ECOLOGICALLY	IY K AH L AA JH IH K L IY
ECOLOGICALLY(2)	EH K AH L AA JH IH K L IY
ECONOMETRICALLY	EH K AH N AH M EH T R AH K AE L IY
ECONOMICALLY	EH K AH N AA M IH K L IY
ECONOMICALLY(2)	IY K AH N AA M IH K L IY
ECSTATICALLY	EH K S T AE T IH K L IY
ECTOPICALLY	EH K T AA P AH K AE L IY
ECUMENICALLY	EH K Y AH M EH N IH K AH L IY
EDAPHICALLY	AH D AE F AH K AE L IY
EDITORIALLY	EH D AH T AO R IY AH L IY
EDUCATIONALLY	EH JH AH K EY SH AH N AH L IY
EDUCATIONALLY(2)	EH JH AH K EY SH N AH L IY
EDUCATIONALLY(3)	EH JH Y UW K EY SH AH N AH L IY
EDUCATIONALLY(4)	EH JH Y UW K EY SH N AH L IY
EELLIKE	IY L L AY K
EFFECTUALLY	IH F EH K CH AH W AH L IY
EFFORTFULLY	EH F ER T F AH L IY
EGGSHELL	EH G SH EH L
EGGSHELLS	EH G SH EH L Z
EGOCENTRICALLY	IY G OW S EH N T R IH K AH L IY
EGOISTICALLY	IY G OW IH S T IH K AH L IY
EGOMANIACALLY	IY G OW M AH N AY AH K AH L IY
EGOTISTICALLY	IY G AH T AH S T IH K AH L IY
EIDETICALLY	AY D EH T IH K AH L IY
EIGHTBALL	EY T B AO L
EIGHTBALLS	EY T B AO L Z
ELASTICALLY	IH L AE S T IH K AH L IY
ELECTORALLY	IH L EH K T ER AH L IY
ELECTRICALLY	IH L EH K T R IH K AH L IY
ELECTRICALLY(2)	IH L EH K T R IH K L IY
ELECTROCARDIOGRAPHICALLY	IH L EH K T R OW K AA R D IY AH G R AE F IH K AH L IY
ELECTROCHEMICALLY	AH L EH K T R AH K EH M AH K AE L IY
ELECTROENCEPHALOGRAPHICALLY	AH L AH K T R OW AH N S EH F AH L AA G R AE F AH K AE L IY
ELECTROLYTICALLY	AH L EH K T R AH L IH T AH K AE L IY
ELECTROMAGNETICALLY	IH L EH K T R OW M AE G N AH T IH K AH L IY
ELECTROMECHANICALLY	AH L EH K T R AH M AH CH AE N AH K AE L IY
ELECTROMETALLURGIES	AH L AH K T R AA M AH T AE L AH R JH AY Z
ELECTROMETALLURGY	AH L EH K T R AA M AH T AE L AH R JH IY
ELECTROMYOGRAPHICALLY	AH L AH K T R AA M AY AA G R AE F AH K AE L IY
ELECTRONICALLY	IH L EH K T R AA N IH K AH L IY
ELECTROPHORETICALLY	AH L EH K T R AH F AH R EH T AH K AE L IY
ELECTROPHYSIOLOGICALLY	AH L AH K T R AH F IH S IY AH L AA JH AH K AE L IY
