CI	S IY
DISSOCIABILITIES	D IH S OW SH AH B IH L AH T EH Z
DISSOCIABILITY	D IH S OW SH AH B IH L AH T EH
DISSOCIABLE	D IH S OW SH AH B AH L
DISSOCIAL	D IH S OW SH AH L
DISSOCIATE	D IH S OW S IY EY T
DISSOCIATED	D IH S OW SH EY T IH D
DISSOCIATES	D IH S OW SH AH T S
DISSOCIATING	D IH S OW SH EY T IH NG
DISSOCIATION	D IH S OW S IY EY SH AH N
DISSOCIATIONS	D IH S OW SH EY SH AH N Z
DISSOCIATIVE	D IH S OW SH AH T IH V
DISTANCING	D IH S T AH N S IH NG
DIVERGENCIES	D AY V ER JH AH N S IY Z
DIVORCING	D IH V AO R S IH NG
DOCILE	D AA S AH L
DOCILELY	D AA S AH L IY
DOCILITIES	D AA S AH L AH T IY Z
DOCILITY	D AA S IH L AH T IY
DOLCI	D OW L S IY
DOMESTICITIES	D OW M EH S T IH S AH T IY Z
DOMESTICITY	D OW M EH S T IH S AH T IY
DOMICIL	D AA M AH S AH L
DOMICILE	D AA M AH S AY L
DOMICILED	D AA M AH S AY L D
DOMICILES	D AA M AH S AY L Z
DOMICILIARY	D AA M AH S AY L IY EH R IY
DOMICILIATE	D AA M AH S AY L IY AH T
DOMICILIATED	D AA M AH S AY L IY EY T IH D
DOMICILIATES	D AA M AH S AY L IY AH T S
DOMICILIATING	D AA M AH S AY L IY EY T IH NG
DOMICILIATION	D AA M AH S AY L IY EY SH AH N
DOMICILIATIONS	D AA M AH S AY L IY EY SH AH N Z
DOMICILING	D AA M AH S AY L IH NG
DOMICILS	D AH M IH S AH L Z
DORMANCIES	D AO R M AH N S IY Z
DOXORUBICIN	D AA K S AH R UW B AH S AH N
DOXORUBICINS	D AA K S AH R UW B AH S AH N Z
DRYOPITHECINE	D R AY AH P IH TH AH S AY N
DRYOPITHECINES	D R AY AH P IH TH AH S AY N Z
DUCI	D Y UW S IY
DULCIANA	D UW L CH AE N AH
DULCIANAS	D AH L S IY AH N AH Z
DULCIFIED	D AH L S AH F AY D
DULCIFIES	D AH L S AH F AY Z
DULCIFY	D AH L S AH F AY
DULCIFYING	D AH L S IH F AY AH NG
DULCIMER	D AH L S IH M ER
DULCIMERS	D AH L S AH M AH R Z
DULCIMORE	D AH L S AH M AH R
DULCIMORES	D AH L S AH M AH R Z
DULCINEA	D AH L S IH N IY AH
DULCINEAS	D AH L S AH N IY Z
DUNCICAL	D AH N S IH S AH L
DUNCISH	D AH N S AH SH
DUODECILLION	D Y UW AA D AH S IH L IY AH N
DUODECILLIONS	D Y UW AH D AH S IH L IY AH N Z
DUODECIMAL	D Y UW AH D EH S AH M AH L
DUODECIMALS	D Y UW AH D EH S AH M AH L Z
DUODECIMO	D Y UW AH D EH S AH M OW
DUODECIMOS	D Y UW AH D EH S AH M AH Z
DUPLICITIES	D UW P L IH K AH T IY Z
DUPLICITOUS	D UW P L IH S IH T AH S
DUPLICITOUSLY	D AH P L AH S IH T OW AH S L IY
DUPLICITY	D UW P L IH S IH T IY
DYSTOCIA	D IH S T OW SH IY AH
DYSTOCIAS	D IH S T OW S IY AH Z
EBULLIENCIES	IH B UH L Y AH N S IY Z
ECCENTRICITIES	EH K S EH N T R IH S IH T IY Z
ECCENTRICITY	EH K S AH N T R IH S AH T IY
ECCLESIASTICISM	IH K L IY Z IY AE S T IH K IH Z AH M
ECCLESIASTICISMS	IH K L IY Z IY AE S T IH K IH Z AH M Z
ECHINOCOCCI	EH CH AH N AH K AA K S IY
ECLAIRCISSEMENT	EH K L AH AH R S IH S M AH N T
ECLAIRCISSEMENTS	EH K L AH AH R S IH S AH M AH N T S
ECLECTICISM	EH K L EH K T IH K IH Z AH M
ECLECTICISMS	EH K L EH K T IH K IH Z AH M Z
ECOCIDAL	AH K AA S AH D AH L
ECOCIDE	EH K AH S AY D
ECOCIDES	EH K AH S AY D Z
ECONOMETRICIAN	AH K AA N AH M EH T R IH S IY AH N
ECONOMETRICIANS	AH K AA N AH M AH T R IH S IY AH N Z
ECOSPECIES	AH K AA S AH S AY Z
ECUMENICISM	EH K Y UW M AH N AH S IH Z AH M
ECUMENICISMS	EH K Y AH M EH N AH S AH Z AH M Z
ECUMENICIST	EH K Y UW M AH N IH S AH S T
ECUMENICISTS	EH K Y AH M EH N AH S AH S T S
ECUMENICITIES	EH K Y AH M AH N IH S AH T AY Z
ECUMENICITY	EH K Y UW M AH N IH S AH T IY
EDACIOUS	AH D AH S IY AH S
EDACITIES	AH D AE S AH T AY Z
EDACITY	AH D AH S AH T IY
EDUCIBLE	EH JH AH K AH B AH L
EDUCING	EH D Y UW S AH NG
EFFACING	IH F EY S IH NG
EFFEMINACIES	AH F EH M AH N AH S IY Z
EFFERVESCING	EH F AH R V EH S AH NG
EFFICACIES	EH F IH K AH S IY Z
EFFICACIOUS	EH F AH K EY SH AH S
EFFICACIOUSLY	EH F AH K EY SH AH S L IY
EFFICACIOUSNESS	EH F AH K EY SH AH S N AH S
EFFICACIOUSNESSES	EH F AH K EY SH AH S N AH S IH Z
EFFICACITIES	EH F AH K AE S AH T AY Z
EFFICACITY	EH F IH S AH S AH T IY
EFFICIENCIES	IH F IH SH AH N S IY Z
EFFICIENCY	IH F IH SH AH N S IY
EFFICIENT	IH F IH SH AH N T
EFFICIENTLY	IH F IH SH AH N T L IY
EFFLORESCING	EH F L AH R EH S IH NG
EGOCENTRICITIES	IY G OW S EH N T R IH K AH T IY Z
EGOCENTRICITY	IY G OW S EH N T R IH K AH T IY
ELASTICITIES	IH L AE S T IH S AH T IY Z
ELASTICITY	IY L AE S T IH S AH T IY
ELASTICIZED	IH L AE S T IH K AY Z D
ELECTRICIAN	IH L EH K T R IH SH AH N
ELECTRICIANS	IH L EH K T R IH SH AH N Z
ELECTRICITIES	IH L EH K T R IH S AH T IY Z
ELECTRICITY	IH L EH K T R IH S AH T IY
ELECTROPHILICITIES	AH L EH K T R AH F AH L IH S AH T AY Z
ELECTROPHILICITY	AH L EH K T R AH F AH L IH S AH T IY
ELEGANCIES	EH L IH G AH N S IY Z
ELICIT	IH L IH S IH T
ELICITATION	IH L IH S AH T EY SH AH N
ELICITATIONS	IH L IH S AH T EY SH AH N Z
ELICITED	IH L IH S IH T IH D
ELICITING	IH L IH S AH T IH NG
ELICITOR	IH L IH S AH T ER
ELICITORS	IH L IH S AH T ER Z
ELICITS	IH L IH S AH T S
ELLIPTICITIES	IH L IH P T IH K AH T IY Z
ELLIPTICITY	IH L IH P T IH K AH T IY
ELUCIDATE	IH L UW S AH D EY T
ELUCIDATED	IH L UW S AH D EY T AH D
ELUCIDATES	IH L UW S AH D EY T S
ELUCIDATING	IH L UW S AH D EY T IH NG
ELUCIDATION	IH L UW S AH D EY SH AH N
ELUCIDATIONS	IH L UW S AH D EY SH AH N Z
ELUCIDATIVE	IH L UW S AH D EY T IH V
ELUCIDATOR	IH L UW S AH D EY T ER
ELUCIDATORS	IH L UW S AH D EY T ER Z
EMACIATE	IH M EY SH IY EY T
EMACIATED	IH M EY SH IY EY T IH D
EMACIATES	IH M EY SH IY EY T S
EMACIATING	IH M EY SH IY EY T IH NG
EMACIATION	IH M EY SH IY EY SH AH N
EMACIATIONS	IH M EY SH IY EY SH AH N Z
EMANCIPATE	IH M AE N S AH P EY T
EMANCIPATED	IH M AE N S AH P EY T IH D
EMANCIPATES	IH M AE N S AH P EY T S
EMANCIPATING	IH M AE N S AH P EY T IH NG
EMANCIPATION	IH M AE N S AH P EY SH AH N
EMANCIPATIONIST	IH M AE N S AH P EY SH AH N IH S T
EMANCIPATIONISTS	IH M AE N S AH P EY SH AH N IH S T S
EMANCIPATIONS	IH M AE N S AH P EY SH AH N Z
EMANCIPATOR	IH M AE N S AH P EY T ER
EMANCIPATORS	IH M AE N S AH P EY T ER Z
EMBRACING	EH M B R EY S IH NG
EMBRACINGLY	IH M B R EY S IH NG L IY
EMBRACIVE	IH M B R EY S IH V
EMERGENCIES	IH M ER JH AH N S IY Z
EMERGENCIES(2)	IY M ER JH AH N S IY Z
EMINENCIES	EH M AH N AH N S IY Z
EMPIRICISM	EH M P IH R AH S IH Z AH M
EMPIRICISMS	EH M P IH R AH S IH Z AH M Z
EMPIRICIST	IH M P IH R AH S AH S T
EMPIRICISTS	IH M P IH R IH K IH S T S
EMPLACING	IH M P L EY S IH NG
ENCINA	IH N S IH N AH
ENCINAL	IH N S AY N AH L
ENCINAS	EH N S IH N AH Z
ENCIPHER	EH N S AY F ER
ENCIPHERED	EH N S AY F ER D
ENCIPHERER	EH N S AY F ER ER
ENCIPHERERS	EH N S AY F ER ER Z
ENCIPHERING	EH N S AY F ER IH NG
ENCIPHERMENT	EH N S AY F ER M AH N T
ENCIPHERMENTS	EH N S AY F ER M AH N T S
ENCIPHERS	EH N S AY F ER Z
ENCIRCLE	EH N S ER K AH L
ENCIRCLED	IH N S ER K AH L D
ENCIRCLEMENT	EH N S ER K AH L M AH N T
ENCIRCLEMENTS	EH N S ER K AH L M AH N T S
ENCIRCLES	EH N S ER K AH L Z
ENCIRCLING	EH N S ER K AH L IH NG
ENCIRCLING(2)	EH N S ER K L IH NG
ENDEMICITIES	EH N D IY M AY S AH T IY Z
ENDEMICITY	EH N D IY M AY S AH T IY
ENDOTHECIA	IH N D AH TH IY SH IY AH
ENDOTHECIUM	IH N D AH TH IY S IY AH M
ENFACING	EH N F EY S IH NG
ENFORCING	EH N F AO R S IH NG
ENHANCING	EH N HH AE N S IH NG
ENLACING	EH N L EY S IH NG
ENOUNCING	EH N AW N S IH NG
ENSCONCING	IH N S K AA N S IH NG
ENSIGNCIES	IH N S IH G N S AY Z
ENTEROCOCCI	IH N T EH R AH K AA K S IY
ENTICING	EH N T AY S IH NG
ENTICINGLY	IH N T AY S IH NG L IY
ENTRANCING	EH N T R AH N S IH NG
ENUNCIABLE	IY N AH N S IY AH B AH L
ENUNCIATE	IH N AH N S IY EY T
ENUNCIATE(2)	IY N AH N S IY EY T
ENUNCIATED	IH N AH N S IY EY T IH D
ENUNCIATES	IY N AH N S IY AH T S
ENUNCIATING	IH N AH N S IY EY T IH NG
ENUNCIATION	IY N AH N S IY EY SH AH N
ENUNCIATIONS	IY N AH N S IY EY SH AH N Z
ENUNCIATOR	IY N AH N S IY AH T ER
ENUNCIATORS	IY N AH N S IY AH T ER Z
EPIDEMICITIES	EH P AH D EH M IH K AH T IY Z
EPIDEMICITY	EH P AH D EH M IH K AH T IY
EPISCIA	AH P IH SH IY AH
EPISCIAS	AH P IH S IY AH Z
EPISCOPACIES	AH P IH S AA P AH S AY Z
EQUIVALENCIES	IH K W IH V AH L AH N S IY Z
ERGODICITIES	AH R G AH D IH S AH T AY Z
ERGODICITY	AH R G AH D IH S AH T IY
EROTICISM	ER AA T IH S IH Z AH M
EROTICISMS	IH R AA T IH K IH Z AH M Z
EROTICIST	IH R AA T IH K IH S T
EROTICISTS	IH R AA T IH K IH S T S
EROTICIZATION	IH R AA T IH K AH Z EY SH AH N
EROTICIZATIONS	IH R AA T IH K AH Z EY SH AH N Z
EROTICIZE	IH R AA T IH K AY Z
EROTICIZED	IH R AA T IH K AY Z D
EROTICIZES	IH R AA T IH K AY Z IH Z
EROTICIZING	IH R AA T IH K AY Z IH NG
ERRANCIES	EH ER AH N S IY Z
ERRATICISM	IH R AE T IH K IH Z AH M
ERRATICISMS	IH R AE T IH K IH Z AH M Z
ERYTHROMYCIN	EH R AH TH R AA M AH S AH N
ERYTHROMYCINS	EH R AH TH R AA M AH S AH N Z
ESOTERICISM	EH S AH T EH R IH K IH Z AH M
ESOTERICISMS	EH S AH T EH R IH K IH Z AH M Z
ESPECIAL	AH S P EH SH AH L
ESPECIALLY	AH S P EH SH L IY
ESPECIALLY(2)	AH S P EH SH AH L IY
ESTANCIA	EH S T AE N CH IY AH
ESTANCIAS	EH S T AE N S IY AH Z
ESTHETICIAN	EH S TH AH T IH S IY AH N
ESTHETICIANS	EH S TH AH T IH S IY AH N Z
ESTHETICISM	EH S TH EH T IH K IH Z AH M
ESTHETICISMS	EH S TH EH T IH K IH Z AH M Z
ETHICIAN	AH TH IH S IY AH N
ETHICIANS	AH TH IH S IY AH N Z
ETHICIST	EH TH IH S IH S T
ETHICISTS	EH TH IH S IH S T S
ETHICIZE	EH TH IH K AY Z
ETHICIZED	EH TH IH K AY Z D
ETHICIZES	EH TH IH K AY Z IH Z
ETHICIZING	EH TH IH K AY Z IH NG
ETHNICITIES	EH TH N IH K AH T IY Z
ETHNICITY	EH TH N IH S IH T IY
ETHNOCENTRICITIES	EH TH N AH S EH N T R IH S AH T AY Z
ETHNOCENTRICITY	EH TH N AH S EH N T R IH S AH T IY
ETHNOSCIENCE	EH TH N AH SH AH N S
ETHNOSCIENCES	EH TH N AH SH AH N S AH Z
EUGENICIST	Y UH JH EH N IH K IH S T
EUGENICISTS	Y UH JH EH N IH K IH S T S
EUSTACIES	Y UW S T AH S AY Z
EVANESCING	EH V AH N EH S AH NG
EVIDENCING	EH V AH D AH N S IH NG
EVINCIBLE	IH V IH N S AH B AH L
EVINCING	IH V IH N S IH NG
EVINCIVE	IH V IH N S IH V
EXCELLENCIES	EH K S L EH N S IY Z
EXCIDE	IH K S AY D
EXCIDED	IH K S AY D AH D
EXCIDES	IH K S AY D Z
EXCIDING	IH K S AY D AH NG
EXCIMER	EH K S IH M ER
EXCIMERS	IH K S IH M AH R Z
EXCIPIENT	IH K S IH P IY AH N T
EXCIPIENTS	IH K S AH P IY N T S
EXCIPLE	IH K S IH P AH L
EXCIPLES	IH K S IH P AH L Z
EXCISABLE	EH K S AY Z AH B AH L
EXCISE	EH K S AY S
EXCISE(2)	EH K S AY Z
EXCISED	EH K S AY Z D
EXCISEMAN	EH K S AY Z M AE N
EXCISEMEN	EH K S AY Z M EH N
EXCISES	EH K S AY Z IH Z
EXCISING	EH K S AY Z IH NG
EXCISION	IH K S IH ZH AH N
EXCISIONAL	EH K S AY ZH AH N AH L
EXCISIONS	EH K S AY ZH AH N Z
EXCITABILITIES	IH K S AY T AH B IH L AH T EH Z
EXCITABILITY	IH K S AY T AH B IH L AH T EH
EXCITABLE	IH K S AY T AH B AH L
EXCITABLENESS	IH K S AY T AH B AH L N AH S
EXCITABLENESSES	IH K S AY T AH B AH L N AH S IH Z
EXCITANT	IH K S AY T AH N T
EXCITANTS	IH K S AY T AH N T S
EXCITATION	EH K S AY T EY SH AH N
EXCITATIONS	IH K S AY T EY SH AH N Z
EXCITATIVE	IH K S AY T AH T IH V
EXCITATORY	IH K S AY T AH T OW R IY
EXCITE	IH K S AY T
EXCITED	IH K S AY T AH D
EXCITED(2)	IH K S AY T IH D
EXCITEDLY	IH K S AY T AH D L IY
EXCITEMENT	IH K S AY T M AH N T
EXCITEMENTS	IH K S AY T M AH N T S
EXCITER	IH K S AY T ER
EXCITERS	IH K S AY T ER Z
EXCITES	IH K S AY T S
EXCITING	IH K S AY T IH NG
EXCITINGLY	IH K S AY T IH NG L IY
EXCITON	IH K S IH T AH N
EXCITONIC	IH K S IH T AH N AH K
EXCITONS	IH K S IH T AH N Z
EXCITOR	IH K S AY T ER
EXCITORS	IH K S AY T ER Z
EXCRESCENCIES	EH K S K R EH S AH N S IY Z
EXCRUCIATE	IH K S K R UW SH IY EY T
EXCRUCIATED	IH K S K R UW SH IY EY T IH D
EXCRUCIATES	IH K S K R UW SH IY EY T S
EXCRUCIATING	IH K S K R UW SH IY EY T IH NG
EXCRUCIATINGLY	EH K S K R UW S IY EY T IH NG L IY
EXCRUCIATION	IH K S K R UW SH IY EY SH AH N
EXCRUCIATIONS	IH K S K R UW SH IY EY SH AH N Z
EXERCISABLE	EH K S ER S AY Z AH B AH L
EXERCISE	EH K S ER S AY Z
EXERCISED	EH K S ER S AY Z D
EXERCISER	EH K S ER S AY Z ER
EXERCISERS	EH K S ER S AY Z ER Z
EXERCISES	EH K S ER S AY Z IH Z
EXERCISING	EH K S ER S AY Z IH NG
EXERCITATION	IH G Z AH R S AH T EY SH AH N
EXERCITATIONS	IH G Z AH R S AH T EY T IY AH N Z
EXIGENCIES	EH K S IH JH AH N S IY Z
EXORCISE	EH K S AO R S AY Z
EXORCISED	EH K S AO R S AY Z D
EXORCISER	EH K S AO R S AY Z ER
EXORCISERS	EH K S AO R S AY Z ER Z
EXORCISES	EH K S AO R S AY Z IH Z
EXORCISING	EH K S AO R S AY Z IH NG
EXORCISM	EH K S ER S IH Z AH M
EXORCISMS	EH K S ER S IH Z AH M Z
EXORCIST	EH K S ER S IH S T
EXORCISTIC	IH G Z AO R S AH S T AH K
EXORCISTICAL	IH G Z AO R S IH S T IH S AH L
EXORCISTS	EH K S ER S IH S T S
EXORCIZE	IH G Z AO R S AY Z
EXORCIZED	IH G Z AO R S AY Z D
EXORCIZES	IH G Z AO R S AY Z AH Z
EXORCIZING	IH G Z AO R S AY Z AH NG
EXOTHERMICITIES	EH K S OW TH ER M IH K AH T IY Z
EXOTHERMICITY	EH K S OW TH ER M IH K AH T IY
EXOTICISM	IH G Z AA T IH K IH Z AH M
EXOTICISMS	IH G Z AA T IH K IH Z AH M Z
EXPECTANCIES	IH K S P EH K T AH N S IY Z
EXPEDIENCIES	IH K S P IY D IY AH N S IY Z
EXPERIENCING	IH K S P IH R IY AH N S IH NG
EXPLICIT	IH K S P L IH S AH T
EXPLICITLY	IH K S P L IH S AH T L IY
EXPLICITNESS	IH K S P L IH S AH T N AH S
EXPLICITNESSES	IH K S P L IH S AH T N AH S IH Z
EXPLICITS	IH K S P L IH S AH T S
EXSCIND	IH K S AY N D
EXSCINDED	IH K S AY N D AH D
EXSCINDING	IH K S AY N D AH NG
EXSCINDS	IH K S AY N D Z
EXTRAJUDICIAL	EH K S T R AH JH UH D IH SH AH L
EXTRAJUDICIALLY	EH K S T R AH JH UH D IH SH AH L IY
EXTRAVAGANCIES	IH K S T R AE V IH G AH N S IY Z
EXULTANCIES	IH G Z AH L T AH N S IY Z
FACIA	F EY SH IY AH
FACIAL	F EY SH AH L
FACIALLY	F EY SH AH L IY
FACIALS	F EY SH AH L Z
FACIAS	F EY S IY AH Z
FACIEND	F EY S IY N D
FACIENDS	F EY S IY N D Z
FACIES	F EY S IY Z
FACILE	F AE S AH L
FACILELY	F AE S AH L IY
FACILENESS	F AE S AH L N AH S
FACILENESSES	F AE S AH L N AH S IH Z
FACILITATE	F AH S IH L AH T EY T
FACILITATED	F AH S IH L AH T EY T IH D
FACILITATES	F AH S IH L AH T EY T S
FACILITATING	F AH S IH L AH T EY T IH NG
FACILITATION	F AH S IH L AH T EY SH AH N
FACILITATIONS	F AH S IH L AH T EY SH AH N Z
FACILITATIVE	F AH S IH L AH T AH T IH V
FACILITATOR	F AH S IH L AH T EY T ER
FACILITATORS	F AH S IH L AH T EY T ER Z
FACILITATORY	F AH S IH L AH T AH T OW R IY
FACILITIES	F AH S IH L AH T IY Z
FACILITIES(2)	F AH S IH L IH T IY Z
FACILITY	F AH S IH L IH T IY
FACING	F EY S IH NG
FACINGS	F EY S IH NG Z
FACTICITIES	F AE K T IH K S AH T IY Z
FACTICITY	F AE K T IH K S AH T IY
FALCIFORM	F AE L S AH F AH R M
FALLACIES	F AE L AH S IY Z
FALLACIOUS	F AH L EY SH AH S
FALLACIOUSLY	F AH L EY SH AH S L IY
FALLACIOUSNESS	F AH L EY SH AH S N AH S
FALLACIOUSNESSES	F AH L EY SH AH S N AH S IH Z
FANATICISM	F AH N AE T AH S IH Z AH M
FANATICISMS	F AH N AE T AH S IH Z AH M Z
FANATICIZE	F AH N AE T IH K AY Z
FANATICIZED	F AH N AE T IH K AY Z D
FANATICIZES	F AH N AE T IH K AY Z IH Z
FANATICIZING	F AH N AE T IH K AY Z IH NG
FANCIED	F AE N S IY D
FANCIER	F AE N S IY ER
FANCIERS	F AE N S IY ER Z
FANCIES	F AE N S IY Z
FANCIEST	F AE N S IY AH S T
FANCIFIED	F AE N S AH F AY D
FANCIFIES	F AE N S AH F AY Z
FANCIFUL	F AE N S IH F AH L
FANCIFULLY	F AE N S IY F AH L IY
FANCIFULNESS	F AE N S IY F AH L N AH S
FANCIFULNESSES	F AE N S IY F AH L N AH S IH Z
FANCIFY	F AE N S AH F AY
FANCIFYING	F AE N S IH F AY AH NG
FANCILY	F AE N S IY L IY
FANCINESS	F AE N S IY N AH S
FANCINESSES	F AE N S IY N AH S IH Z
FANTOCCINI	F AE N T AA K S AH N IY
FARCI	F AA R S IY
FARCICAL	F AA R S AH K AH L
FARCICAL(2)	F AA R S IH K AH L
FARCICALITIES	F AA R S IH K AH L AH T IY Z
FARCICALITY	F AA R S IH K AH L AH T IY
FARCICALLY	F AA R S IH K AH L IY
FARCIE	F AA R S IY
FARCIES	F AA R S IY Z
FARCING	F AA R S IH NG
FASCIA	F AE SH IY AH
FASCIAE	F AE S IY IY
FASCIAL	F AE SH AH L
FASCIAS	F AE S IY AH Z
FASCIATE	F AE S AY EY T
FASCIATED	F AE S AY EY T AH D
FASCIATION	F AE S AY EY SH AH N
FASCIATIONS	F AE S IY EY T IY AH N Z
FASCICLE	F AE S IH K AH L
FASCICLED	F AE S IH K AH L D
FASCICLES	F AE S IH K AH L Z
FASCICULAR	F AE S IH K UW L ER
FASCICULARLY	F AE S IH K UW L ER L IY
FASCICULATE	F AE S IH K UW L AH T
FASCICULATED	F AE S IH K UW L EY T IH D
FASCICULATION	F AE S IH K UW L EY SH AH N
FASCICULATIONS	F AE S IH K UW L EY SH AH N Z
FASCICULE	F AE S IH K UW L
FASCICULES	F AE S IH K UW L Z
FASCICULI	F AE S AH K Y UW L IY
FASCICULUS	F AE S IH S AH L AH S
FASCINATE	F AE S AH N EY T
FASCINATED	F AE S AH N EY T AH D
FASCINATED(2)	F AE S AH N EY T IH D
FASCINATES	F AE S AH N EY T S
FASCINATING	F AE S AH N EY T IH NG
FASCINATINGLY	F AE S AH N EY T IH NG L IY
FASCINATION	F AE S AH N EY SH AH N
FASCINATIONS	F AE S AH N EY SH AH N Z
FASCINATOR	F AE S AH N EY T ER
FASCINATORS	F AE S AH N EY T ER Z
FASCINE	F AE S AY N
FASCINES	F AE S AY N Z
FASCIOLIASES	F AE S IY OW L IY EY Z AH Z
FASCIOLIASIS	F AE S IY OW L Y AH S AH S
FASCISM	F AE SH IH Z AH M
FASCISMS	F AE SH IH Z AH M Z
FASCIST	F AE SH IH S T
FASCISTIC	F AE SH AH S T IH K
FASCISTICALLY	F AE SH AH S T IH K AH L IY
FASCISTS	F AE SH IH S T S
FAUCIAL	F AO SH AH L
FECIAL	F IY SH AH L
FECIALS	F IY S IY AH L Z
FEDERACIES	F EH D ER AH S IY Z
FELICIFIC	F IY L AH S IH F AH K
FELICITATE	F AH L IH S IH T EY T
FELICITATED	F IH L IH S AH T EY T IH D
FELICITATES	F IH L IH S AH T AH T S
FELICITATING	F IH L IH S AH T EY T IH NG
FELICITATION	F IH L IH S AH T EY SH AH N
FELICITATIONS	F IH L IH S AH T EY SH AH N Z
FELICITATOR	F IH L IH S AH T AH T ER
FELICITATORS	F IH L IH S AH T AH T ER Z
FELICITIES	F IH L IH S AH T IY Z
FELICITOUS	F IH L IH S AH T AH S
FELICITOUSLY	F IH L IH S AH T AH S L IY
FELICITOUSNESS	F IH L IH S AH T AH S N AH S
FELICITOUSNESSES	F IH L IH S AH T AH S N AH S IH Z
FELICITY	F IH L IH S AH T IY
FEMINACIES	F AH M IH N AH S AY Z
FENCIBLE	F EH N S AH B AH L
FENCIBLES	F EH N S AH B AH L Z
FENCING	F EH N S IH NG
FENCINGS	F EH N S IH NG Z
FERACITIES	F AH R AE S AH T AY Z
FERACITY	F IY R AH S AH T IY
FEROCIOUS	F ER OW SH AH S
FEROCIOUSLY	F ER OW SH IH S L IY
FEROCIOUSNESS	F AH R OW SH AH S N AH S
FEROCIOUSNESSES	F AH R OW SH AH S N AH S IH Z
FEROCITIES	F AH R AA S AH T IY Z
FEROCITY	F ER AA S AH T IY
FERROELECTRICITIES	F EH R OW IH L EH K T R IH S AH T IY Z
FERROELECTRICITY	F EH R OW IH L EH K T R IH S AH T IY
FERVENCIES	F ER V AH N S IY Z
FETICIDE	F EH T AH S AY D
FETICIDES	F EH T AH S AY D Z
FETTUCCINE	F EH T AH CH IY N IY
FETTUCCINI	F EH T AH K S AH N IY
FETTUCINE	F EH T Y AH S AY N
FETTUCINI	F EH T Y UW S AH N IY
FICIN	F IH S AH N
FICINS	F IH S AH N Z
FIDUCIAL	F IH D Y UW SH AH L
FIDUCIALLY	F IH D Y UW S IY AE L IY
FIDUCIARIES	F IH D UW SH IY EH R IY Z
FIDUCIARY	F AH D UW SH IY EH R IY
FILICIDE	F IH L AH S AY D
FILICIDES	F IH L AH S AY D Z
FINANCIAL	F AH N AE N SH AH L
FINANCIAL(2)	F IH N AE N SH AH L
FINANCIAL(3)	F AY N AE N SH AH L
FINANCIALLY	F AH N AE N SH AH L IY
FINANCIALLY(2)	F IH N AE N SH AH L IY
FINANCIALLY(3)	F AY N AE N SH AH L IY
FINANCIER	F IH N AH N S IY R
FINANCIER(2)	F AY N AE N S IY R
FINANCIERS	F IH N AH N S IH R Z
FINANCING	F AH N AE N S IH NG
FINANCING(2)	F IH N AE N S IH NG
FINANCING(3)	F AY N AE N S IH NG
FINANCINGS	F AH N AE N S IH NG Z
FINANCINGS(2)	F IH N AE N S IH NG Z
FINANCINGS(3)	F AY N AE N S IH NG Z
FLACCID	F L AE K S IH D
FLACCID(2)	F L AE K IH D
FLACCIDITIES	F L AE K S IH D AH T AY Z
FLACCIDITY	F L AE K S IH D AH T IY
FLACCIDLY	F L AE K S IH D L IY
FLAGRANCIES	F L EY G R AH N S IY Z
FLAMBOYANCIES	F L AE M B OY AH N S IY Z
FLATULENCIES	F L AE CH AH L AH N S IY Z
FLEECIER	F L IY S AY AH R
FLEECIEST	F L IY S AY AH S T
FLEECILY	F L IY S AH L IY
FLEECING	F L IY S IH NG
FLIPPANCIES	F L IH P AH N S IY Z
FLOCCI	F L AA K S IY
FLOCCING	F L AA K IH NG
FLOUNCIER	F L AW N S IY ER
FLOUNCIEST	F L AW N S IY AH S T
FLOUNCING	F L AW N S IH NG
FLOUNCINGS	F L AW N S IH NG Z
FLUENCIES	F L UW AH N S IY Z
FLUORESCING	F L UH R EH S IH NG
FLUOROURACIL	F L UW W AH R AH R AH S AH L
FLUOROURACILS	F L UW W AH R AH Y UH R AH S AH L Z
FOCACCIA	F OW K AA CH IY AH
FOCACCIAS	F AH K AE K S IY AH Z
FOCI	F OW S AY
FOLACIN	F AA L AH S AH N
FOLACINS	F AA L AH S AH N Z
FORCIBLE	F AO R S AH B AH L
FORCIBLENESS	F OW R S AH B AH L N AH S
FORCIBLENESSES	F OW R S AH B AH L N AH S IH Z
FORCIBLY	F AO R S AH B L IY
FORCING	F AO R S IH NG
FORCIPES	F AO R S AY P S
FRAGRANCIES	F R EY G R AH N S IY Z
FRANCIUM	F R AE N S IY AH M
FRANCIUMS	F R AE N S IY AH M Z
FRATRICIDAL	F R AE T R IH S AH D AH L
FRATRICIDE	F R AE T R AH S AY D
FRATRICIDES	F R AE T R AH S AY D Z
FREELANCING	F R IY L AE N S IH NG
FRENETICISM	F R IH N EH T IH K IH Z AH M
FRENETICISMS	F R IH N EH T IH K IH Z AH M Z
FREQUENCIES	F R IY K W AH N S IY Z
FROUNCING	F R AW N S AH NG
FUCI	F Y UW S IY
FUGACIOUS	F Y UW G AH S IY AH S
FUGACITIES	F Y UW G AE S AH T AY Z
FUGACITY	F Y UW G AH S AH T IY
FUNGICIDAL	F AH N JH AH S AY D AH L
FUNGICIDALLY	F AH N JH AH S AY D AH L IY
FUNGICIDE	F AH N JH AH S AY D
FUNGICIDES	F AH N JH AH S AY D Z
FURNACING	F ER N AH S IH NG
