TE	T IY
BUTTERIER	B AH T AH R IY ER
BUTTERIES	B AH T AH R IY Z
BUTTERIEST	B AH T AH R IY AH S T
BUTTERING	B AH T ER IH NG
BUTTERLESS	B AH T ER L AH S
BUTTERMILK	B AH T ER M IH L K
BUTTERMILKS	B AH T ER M IH L K S
BUTTERNUT	B AH T ER N AH T
BUTTERNUTS	B AH T ER N AH T S
BUTTERS	B AH T ER Z
BUTTERSCOTCH	B AH T ER S K AA CH
BUTTERSCOTCHES	B AH T ER S K AA CH IH Z
BUTTERWEED	B AH T ER W IY D
BUTTERWEEDS	B AH T ER W IY D Z
BUTTERWORT	B AH T AH R W AH R T
BUTTERWORTS	B AH T AH R W AH R T S
BUTTERY	B AH T ER IY
BUTTES	B Y UW T S
BUTYLATE	B Y UW T AH L EY T
BUTYLATED	B Y UW T AH L EY T AH D
BUTYLATES	B Y UW T AH L EY T S
BUTYRATE	B Y UW T AH R EY T
BUTYRATES	B Y UW T AH R EY T S
BYTE	B AY T
BYTES	B AY T S
CACHETED	K AE SH T EH D
CACHINNATE	K AE CH AH N EY T
CACHINNATED	K AE CH AH N EY T AH D
CACHINNATES	K AE CH AH N EY T S
CADASTER	K AH D AE S T AH R
CADASTERS	K AH D AE S T AH R Z
CAFETERIA	K AE F AH T IH R IY AH
CAFETERIAS	K AE F AH T IH R IY AH Z
CAFFEINATED	K AE F IH N EY T AH D
CALAMITE	K AE L AH M AY T
CALAMITES	K AE L AH M AY T S
CALCEATE	K AE L S IY EY T
CALCITE	K AE L S AY T
CALCITES	K AE L S AY T S
CALCULATE	K AE L K Y AH L EY T
CALCULATED	K AE L K Y AH L EY T AH D
CALCULATED(2)	K AE L K Y AH L EY T IH D
CALCULATEDLY	K AE L K Y AH L AH T AH D L IY
CALCULATEDNESS	K AE L K Y AH L AH T AH D N AH S
CALCULATEDNESSES	K AE L K Y AH L AH T AH D N AH S IH Z
CALCULATES	K AE L K Y AH L EY T S
CALIBRATE	K AE L AH B R EY T
CALIBRATED	K AE L AH B R EY T AH D
CALIBRATES	K AE L AH B R EY T S
CALIFATE	K AE L AH F EY T
CALIFATES	K AE L AH F EY T S
CALIPHATE	K AE L AH F AH T
CALIPHATES	K AE L AH F AH T S
CALORIMETER	K AE L AH R IH M AH T ER
CALORIMETERS	K AE L AH R IH M AH T ER Z
CALOTTE	K AE L AH T
CALOTTES	K AE L AH T S
CALUMNIATE	K AE L AH M N IY EY T
CALUMNIATED	K AE L AH M N IY EY T IH D
CALUMNIATES	K AE L AH M N IY EY T S
CALYCATE	K AE L AH K EY T
CALYPTER	K AH L IH P T AH R
CALYPTERS	K AH L IH P T AH R Z
CAMPANULATE	K AE M P AE N Y AH L EY T
CAMPHORATE	K AE M F AH R EY T
CAMPHORATED	K AE M F AH R EY T AH D
CAMPHORATES	K AE M F AH R EY T S
CAMPSITE	K AE M P S AY T
CAMPSITES	K AE M P S AY T S
CAMPYLOBACTER	K AE M P IY L AA B AE K T ER
CAMPYLOBACTERS	K AE M P IY L AA B AE K T ER Z
CANDIDATE	K AE N D AH D EY T
CANDIDATE(2)	K AE N AH D IH T
CANDIDATES	K AE N D AH D EY T S
CANDIDATES(2)	K AE N AH D IH T S
CANDLELIGHTED	K AE N D AH L AY T IH D
CANDLELIGHTER	K AE N D AH L AY T ER
CANDLELIGHTERS	K AE N D AH L AY T ER Z
CANISTER	K AE N AH S T ER
CANISTER(2)	K AE N IH S T ER
CANISTERS	K AE N AH S T ER Z
CANISTERS(2)	K AE N IH S T ER Z
CANNISTER	K AE N IH S T ER
CANNISTERS	K AE N IH S T ER Z
CANTED	K AE N T IH D
CANTEEN	K AE N T IY N
CANTEENS	K AE N T IY N Z
CANTER	K AE N T ER
CANTERED	K AE N T ER D
CANTERING	K AE N T ER IH NG
CANTERS	K AE N T ER Z
CANTILLATE	K AE N T IH L AH T
CANTILLATED	K AE N T IH L EY T IH D
CANTILLATES	K AE N T IH L AH T S
CANULATE	K AE N Y AH L EY T
CANULATED	K AE N Y AH L EY T AH D
CANULATES	K AE N Y AH L EY T S
CAPACITATE	K AH P AE S AH T AH T
CAPACITATED	K AH P AE S AH T EY T IH D
CAPACITATES	K AH P AE S AH T AH T S
CAPITATE	K AE P AH T EY T
CAPITULATE	K AH P IH CH UW L EY T
CAPITULATED	K AH P IH CH AH L EY T IH D
CAPITULATES	K AH P IH CH AH L AH T S
CAPOTE	K AH P OW T
CAPOTES	K AH P OW T S
CAPSULATED	K AE P S AH L EY T IH D
CAPTIVATE	K AE P T IH V EY T
CAPTIVATED	K AE P T IH V EY T IH D
CAPTIVATES	K AE P T IH V EY T S
CARATE	K EH R AH T
CARATES	K EH R AH T S
CARBAMATE	K AA R B AH M EY T
CARBAMATES	K AA R B AH M EY T S
CARBOHYDRATE	K AA R B OW HH AY D R EY T
CARBOHYDRATE(2)	K AA R B OW HH AY D R AH T
CARBOHYDRATES	K AA R B OW HH AY D R EY T S
CARBONATE	K AA R B AH N EY T
CARBONATED	K AA R B AH N EY T IH D
CARBONATES	K AA R B AH N EY T S
CARBOXYLATE	K AA R B AA K S IY L EY T
CARBOXYLATED	K AA R B AA K S IY L EY T IH D
CARBOXYLATES	K AA R B AA K S IY L EY T S
CARBURETED	K AA R B Y ER EH T IH D
CARBURETTED	K AA R B IY Y ER EH T IH D
CARBURETTER	K AA R B IY Y ER EH T ER
CARBURETTERS	K AA R B IY Y ER EH T ER Z
CARDINALATE	K AA R D AH N AH L AH T
CARDINALATES	K AA R D AH N AH L AH T S
CARINATE	K AA R IH N AH T
CARINATED	K AA R IH N EY T IH D
CARNALLITE	K AA R N AH L AY T
CARNALLITES	K AA R N AH L AY T S
CARNOTITE	K AA R N AH T AY T
CARNOTITES	K AA R N AH T AY T S
CAROTENE	K EH R AH T IY N
CAROTENES	K EH R AH T IY N Z
CAROTENOID	K AH R AA T AH N OY D
CAROTENOIDS	K AH R AA T AH N OY D Z
CARPELLATE	K AA R P AH L EY T
CARPENTER	K AA R P AH N T ER
CARPENTERED	K AA R P AH N T ER D
CARPENTERING	K AA R P AH N T ER IH NG
CARPENTERS	K AA R P AH N T ER Z
CARPETED	K AA R P AH T IH D
CARTE	K AA R T
CARTED	K AA R T IH D
CARTEL	K AA R T EH L
CARTELISE	K AA R T AH L AY Z
CARTELISED	K AA R T EH L IY Z D
CARTELISES	K AA R T EH L IY Z IH Z
CARTELISING	K AA R T EH L IY Z IH NG
CARTELIZATION	K AA R T EH L AH Z EY SH AH N
CARTELIZATIONS	K AA R T EH L AH Z EY SH AH N Z
CARTELIZE	K AA R T EH L AY Z
CARTELIZED	K AA R T EH L AY Z D
CARTELIZES	K AA R T EH L AY Z IH Z
CARTELIZING	K AA R T EH L AY Z IH NG
CARTELS	K AA R T EH L Z
CARTER	K AA R T ER
CARTERS	K AA R T ER Z
CARTES	K AA R T S
CASEATE	K EY S AH T
CASEATED	K EY S EY T IH D
CASEATES	K EY S AH T S
CASEINATE	K EY S IY N AH T
CASEINATES	K EY S IY N AH T S
CASEMATE	K EY S M EY T
CASEMATES	K EY S M EY T S
CASETTE	K EY S EH T
CASETTES	K EY S EH T S
CASKETED	K AE S K AH T IH D
CASSETTE	K AH S EH T
CASSETTES	K AH S EH T S
CASSITERITE	K AE S IH T AH R AY T
CASSITERITES	K AE S IH T AH R AY T S
CASTE	K AE S T
CASTEISM	K AE S T IH Z AH M
CASTEISMS	K AE S T IH Z AH M Z
CASTELLAN	K AE S T EH L AH N
CASTELLANS	K AE S T EH L AH N Z
CASTELLATED	K AE S T AH L EY T AH D
CASTER	K AE S T ER
CASTERS	K AE S T ER Z
CASTES	K AE S T S
CASTIGATE	K AE S T AH G EY T
CASTIGATED	K AE S T AH G EY T IH D
CASTIGATES	K AE S T AH G EY T S
CASTRATE	K AE S T R EY T
CASTRATED	K AE S T R EY T IH D
CASTRATES	K AE S T R EY T S
CATABOLITE	K AH T AE B AH L AY T
CATABOLITES	K AH T AE B AH L AY T S
CATAMITE	K AE T AH M AY T
CATAMITES	K AE T AH M AY T S
CATAPULTED	K AE T AH P AH L T IH D
CATE	K EY T
CATECHESES	K AE T AH K IY Z AH Z
CATECHESIS	K AH T EH K AH S AH S
CATECHETICAL	K AH T EH K AH T IH S AH L
CATECHIN	K EY T CH IH N
CATECHINS	K EY T CH IH N Z
CATECHISM	K AE T AH K IH Z AH M
CATECHISMAL	K AE T AH K IH Z AH M AH L
CATECHISMS	K AE T AH K IH Z AH M Z
CATECHIST	K AE T AH K AH S T
CATECHISTIC	K AE T AH K AH S T AH K
CATECHISTS	K AE T AH K AH S T S
CATECHIZATION	K AE T AH K AY Z EY SH AH N
CATECHIZATIONS	K AE T AH K AY Z EY SH AH N Z
CATECHIZE	K AE T AH K AY Z
CATECHIZED	K AE T AH K AY Z D
CATECHIZER	K AE T AH K AY Z ER
CATECHIZERS	K AE T AH K AY Z ER Z
CATECHIZES	K AE T AH K AY Z IH Z
CATECHIZING	K AE T AH K AY Z IH NG
CATECHOL	K AE T AH K AH L
CATECHOLAMINE	K AH T AH K AA L AH M AY N
CATECHOLAMINERGIC	K AE T AH K AH L AE M AH N AH R JH AH K
CATECHOLAMINES	K AH T AH K AA L AH M AY N Z
CATECHOLS	K AE T AH K AH L Z
CATECHU	K AE T AH K UW
CATECHUMEN	K EY T CH AH M AH N
CATECHUMENS	K EY T CH AH M AH N Z
CATECHUS	K AE T AH K AH S
CATEGORIC	K EY T G OW R IH K
CATEGORICAL	K AE T AH G AA R IH K AH L
CATEGORICAL(2)	K AE T AH G AO R IH K AH L
CATEGORICALLY	K AE T AH G AA R IH K L IY
CATEGORICALLY(2)	K AE T AH G AO R IH K L IY
CATEGORIES	K AE T AH G AO R IY Z
CATEGORISE	K AE T IY G OW R AY Z
CATEGORISED	K AE T IH G AO R IY Z D
CATEGORISES	K AE T IH G AO R IY Z IH Z
CATEGORISING	K AE T IH G AO R IY Z IH NG
CATEGORIZATION	K AE T AH G ER IH Z EY SH AH N
CATEGORIZATIONS	K AE T IH G AH R AY Z EY SH AH N Z
CATEGORIZE	K AE T AH G ER AY Z
CATEGORIZED	K AE T AH G ER AY Z D
CATEGORIZES	K AE T AH G ER AY Z IH Z
CATEGORIZING	K AE T AH G ER AY Z IH NG
CATEGORY	K AE T AH G AO R IY
CATENA	K AH T IY N AH
CATENAE	K AE T AH N IY
CATENARIES	K EY T AH N EH R IY Z
CATENARY	K EY T AH N EH R IY
CATENAS	K AE T AH N AH Z
CATENATE	K EY T AH N AH T
CATENATED	K EY T AH N EY T IH D
CATENATES	K EY T AH N AH T S
CATENATING	K EY T AH N EY T IH NG
CATENATION	K EY T AH N EY SH AH N
CATENATIONS	K EY T AH N EY SH AH N Z
CATENOID	K AE T AH N OY D
CATENOIDS	K AE T AH N OY D Z
CATER	K EY T ER
CATERAN	K EY T R AE N
CATERANS	K EY T R AE N Z
CATERCORNER	K EY T ER K AO R N ER
CATERCORNERED	K EY T ER K AO R N ER D
CATERED	K EY T ER D
CATERER	K EY T ER ER
CATERERS	K EY T ER ER Z
CATERESS	K EY T ER AH S
CATERESSES	K EY T ER AH S IH Z
CATERING	K EY T ER IH NG
CATERPILLAR	K AE T AH P IH L ER
CATERPILLAR(2)	K AE T ER P IH L ER
CATERPILLARS	K AE T AH P IH L ER Z
CATERS	K EY T ER Z
CATERWAUL	K AE T ER W AA L
CATERWAULED	K AH T AH R W EY AH L D
CATERWAULING	K AH T AH R W EY AH L AH NG
CATERWAULS	K AH T AH R W EY AH L Z
CATES	K EY T S
CATHECTED	K AH TH EH K T AH D
CATHETER	K AE TH AH T ER
CATHETERIZATION	K AE TH AH T ER AH Z EY SH AH N
CATHETERIZATIONS	K AE TH AH T ER AH Z EY SH AH N Z
CATHETERIZE	K AE TH AH T ER AY Z
CATHETERIZED	K AE TH AH T ER AY Z D
CATHETERIZES	K AE TH AH T ER AY Z IH Z
CATHETERIZING	K AE TH AH T ER AY Z IH NG
CATHETERS	K AE TH AH T ER Z
CATHOLICATE	K AE TH L IH K AH T
CATHOLICATES	K AE TH L IH K AH T S
CATTED	K AE T IH D
CATTERIES	K AE T AH R IY Z
CATTERY	K AE T AH R IY
CAUDATE	K AH D EY T
CAUDATED	K AH D EY T AH D
CAUDATES	K AH D EY T S
CAUTERIES	K AO T AH R AY Z
CAUTERIZATION	K AO T ER IH Z EY SH AH N
CAUTERIZATIONS	K AO T AH R AY Z EY SH AH N Z
CAUTERIZE	K AO T ER AY Z
CAUTERIZED	K AO T ER AY Z D
CAUTERIZES	K AO T ER AY Z IH Z
CAUTERIZING	K AO T ER AY Z IH NG
CAUTERY	K EY Y AH T EH R IY
CAVEATED	K EY V IY AE T IH D
CAVITATE	K AE V AH T EY T
CAVITATED	K AE V AH T EY T AH D
CAVITATES	K AE V AH T EY T S
CAVORTED	K AH V AO R T IH D
CAVORTER	K AH V AO R T ER
CAVORTERS	K AH V AO R T ER Z
CEILOMETER	S IY AH L AA M AH T AH R
CEILOMETERS	S IY L AA M AH T AH R Z
CELEBRATE	S EH L AH B R EY T
CELEBRATED	S EH L AH B R EY T IH D
CELEBRATEDNESS	S EH L AH B R AH T AH D N AH S
CELEBRATEDNESSES	S EH L AH B R AH T AH D N AH S IH Z
CELEBRATES	S EH L AH B R EY T S
CELESTE	S AH L EH S T
CELESTES	S EH L AH S T S
CELESTITE	S EH L AH S T AY T
CELESTITES	S EH L AH S T AY T S
CELIBATE	S EH L IH B AH T
CELIBATES	S EH L AH B EY T S
CELLARETTE	S EH L ER EH T
CELLARETTES	S EH L ER EH T S
CELLMATE	S EH L M EY T
CELLMATES	S EH L M EY T S
CELLULITE	S EH L AH L AY T
CELLULITES	S EH L AH L AY T S
CEMENTED	S IH M EH N T IH D
CEMENTER	S IH M EH N T ER
CEMENTERS	S IH M EH N T ER Z
CEMENTITE	S EH M AH N T AY T
CEMENTITES	S EH M AH N T AY T S
CEMETERIES	S EH M AH T EH R IY Z
CEMETERY	S EH M AH T EH R IY
CEMETERY(2)	S EH M IH T EH R IY
CENOBITE	S EH N AH B AY T
CENOBITES	S EH N AH B AY T S
CENOTE	S AH N OW T
CENOTES	S AH N OW T S
CENTENARIAN	S EH N T AH N EH R IY AH N
CENTENARIANS	S EH N T AH N EH R IY AH N Z
CENTENARIES	S EH N T AH N EH R IY Z
CENTENARY	S EH N T AH N EH R IY
CENTENNIAL	S EH N T EH N IY AH L
CENTENNIALLY	S EH N T EH N IY AH L IY
CENTENNIALS	S EH N T EH N IY AH L Z
CENTER	S EH N T ER
CENTER(2)	S EH N ER
CENTERBOARD	S EH N T ER B OW R D
CENTERBOARDS	S EH N T ER B OW R D Z
CENTERED	S EH N T ER D
CENTEREDNESS	S EH N T ER AH D N AH S
CENTEREDNESSES	S EH N T ER AH D N AH S IH Z
CENTERFOLD	S EH N T ER F OW L D
CENTERFOLDS	S EH N T ER F OW L D Z
CENTERING	S EH N T ER IH NG
CENTERLESS	S EH N T ER L AH S
CENTERLINE	S EH N T ER L AY N
CENTERLINES	S EH N T ER L AY N Z
CENTERPIECE	S EH N T ER P IY S
CENTERPIECES	S EH N T ER P IY S IH Z
CENTERS	S EH N T ER Z
CENTERS(2)	S EH N ER Z
CENTESES	S EH N T IY Z AH Z
CENTESIMAL	S EH N T EH S AH M AH L
CENTESIMI	S EH N T EH S AH M IY
CENTESIMO	S EH N T EH S AH M OW
CENTESIMOS	S EH N T EH S AH M AH Z
CENTESIS	S EH N T AH S AH S
CENTILITER	S EH N T AH L AY T AH R
CENTILITERS	S EH N T IH L AH T AH R Z
CENTIMETER	S EH N T AH M IY T ER
CENTIMETERS	S EH N T AH M IY T ER Z
CERASTES	S EH R AH S T S
CERATE	S IY R EY T
CERATED	S IY R EY T AH D
CERATES	S IY R EY T S
CEREBRATE	S EH R AH B R AH T
CEREBRATED	S EH R AH B R EY T IH D
CEREBRATES	S EH R AH B R AH T S
CERITE	S AH R AY T
CERITES	S AH R AY T S
CERTES	S AH R T S
CERTIFICATE	S ER T IH F IH K AH T
CERTIFICATED	S ER T IH F IH K AH T IH D
CERTIFICATES	S ER T IH F IH K AH T S
CERUSITE	S EH R AH S AY T
CERUSITES	S EH R AH S AY T S
CERUSSITE	S EH R AH S AY T
CERUSSITES	S EH R AH S AY T S
CETE	S IY T
CETES	S IY T S
CHALCOCITE	CH AE L K AH S AY T
CHALCOCITES	CH AE L K AH S AY T S
CHALCOPYRITE	CH AE L K AA P AH R AY T
CHALCOPYRITES	CH AE L K AA P AH R AY T S
CHALYBEATE	CH AH L AY B IY EY T
CHALYBEATES	CH AH L AY B IY EY T S
CHAMAEPHYTE	CH AE M AH F AY T
CHAMAEPHYTES	CH AE M AH F AY T S
CHANTED	CH AE N T IH D
CHANTER	CH AE N T ER
CHANTERELLE	CH AE N T AH R AH L
CHANTERELLES	CH AE N T AH R AH L Z
CHANTERS	CH AE N T ER Z
CHANTEUSE	CH AE N T Y UW Z
CHANTEUSES	CH AE N T IY AH Z AH Z
CHANTEY	SH AE N T IY
CHANTEYS	SH AE N T IY Z
CHAPITER	CH AH P AY T AH R
CHAPITERS	CH AE P AH T AH R Z
CHAPLETED	CH AE P L AH T IH D
CHAPTER	CH AE P T ER
CHAPTERED	CH AE P T ER D
CHAPTERING	CH AE P T ER IH NG
CHAPTERS	CH AE P T ER Z
CHARACTER	K EH R IH K T ER
CHARACTERED	K AE R IH K T ER D
CHARACTERFUL	K AE R IH K T ER F AH L
CHARACTERIES	K AE R IH K T ER IY Z
CHARACTERING	K AE R IH K T ER IH NG
CHARACTERISTIC	K EH R IH K T ER IH S T IH K
CHARACTERISTICALLY	K EH R IH K T ER IH S T IH K L IY
CHARACTERISTICS	K EH R IH K T ER IH S T IH K S
CHARACTERIZATION	K EH R IH K T ER IH Z EY SH AH N
CHARACTERIZATIONS	K EH R IH K T ER IH Z EY SH AH N Z
CHARACTERIZE	K EH R IH K T ER AY Z
CHARACTERIZED	K EH R IH K T ER AY Z D
CHARACTERIZES	K EH R IH K T ER AY Z AH Z
CHARACTERIZING	K EH R IH K T ER AY Z IH NG
CHARACTERLESS	K AE R IH K T ER L AH S
CHARACTEROLOGICAL	CH AH R AE K T AH R AA L AH JH IH S AH L
CHARACTEROLOGICALLY	CH AH R AE K T AH R AH L AA JH AH K AE L IY
CHARACTERS	K AE R IH K T ER Z
CHARACTERS(2)	K EH R IH K T ER Z
CHARACTERY	K AE R IH K T ER IY
CHARCUTERIE	CH AA R K Y UW T ER IY
CHARCUTERIES	CH AA R K Y UW T AH R IY Z
CHARIOTED	CH AE R IY AH T IH D
CHARIOTEER	CH AE R IY AH T IH R
CHARIOTEERS	CH AE R IY AH T IH R Z
CHARLOTTE	SH AA R L AH T
CHARLOTTES	SH AA R L AH T S
CHARTED	CH AA R T AH D
CHARTED(2)	CH AA R T IH D
CHARTER	CH AA R T ER
CHARTERED	CH AA R T ER D
CHARTERER	CH AA R T ER ER
CHARTERERS	CH AA R T ER ER Z
CHARTERING	CH AA R T ER IH NG
CHARTERS	CH AA R T ER Z
CHASTE	CH EY S T
CHASTELY	CH EY S T L IY
CHASTEN	CH EY S AH N
CHASTENED	CH EY S AH N D
CHASTENER	CH AE S T IY N AH R
CHASTENERS	CH AE S T AH N AH R Z
CHASTENESS	CH EY S T N AH S
CHASTENESSES	CH AE S T AH N EH S AH Z
CHASTENING	CH AE S T IY N AH NG
CHASTENS	CH AE S T AH N Z
CHASTER	CH AE S T AH R
CHASTEST	CH AE S T AH S T
CHATEAU	SH AE T OW
CHATEAUBRIAND	CH EY T IY AH B R IY AH N D
CHATEAUBRIANDS	CH EY T IY AH B R IY AH N D Z
CHATEAUS	SH AE T OW Z
CHATEAUX	SH AH T OW
CHATELAIN	CH AE T AH L EY N
CHATELAINE	CH AE T AH L EY N
CHATELAINES	CH AE T AH L EY N Z
CHATELAINS	CH AE T AH L EY N Z
CHATTED	CH AE T AH D
CHATTED(2)	CH AE T IH D
CHATTEL	CH AE T AH L
CHATTELS	CH AE T AH L Z
CHATTER	CH AE T ER
CHATTERBOX	CH AE T ER B AA K S
CHATTERBOXES	CH AE T ER B AA K S IH Z
CHATTERED	CH AE T ER D
CHATTERER	CH AE T ER ER
CHATTERERS	CH AE T ER ER Z
CHATTERING	CH AE T ER IH NG
CHATTERS	CH AE T ER Z
CHATTERY	CH AE T AH R IY
CHAUNTED	CH AO N T AH D
CHAUNTER	CH AO N T AH R
CHAUNTERS	CH AO N T AH R Z
CHAYOTE	CH EY OW T
CHAYOTES	CH EY OW T S
CHEAPSKATE	CH IY P S K EY T
CHEAPSKATES	CH IY P S K EY T S
CHEATED	CH IY T AH D
CHEATED(2)	CH IY T IH D
CHEATER	CH IY T ER
CHEATERS	CH IY T ER Z
CHECKMATE	CH EH K M EY T
CHECKMATED	CH EH K M EY T IH D
CHECKMATES	CH EH K M EY T S
CHEDDITE	CH EH D AY T
CHEDDITES	CH EH D AY T S
CHEDITE	CH AH D AY T
CHEDITES	CH AH D AY T S
CHELATE	CH IY L EY T
CHELATED	CH IY L EY T AH D
CHELATES	CH IY L EY T S
CHEMISETTE	SH AH M IY Z EH T
CHEMISETTES	SH AH M IY Z EH T S
CHESTED	CH EH S T AH D
CHESTED(2)	CH EH S T IH D
CHESTERFIELD	CH EH S T ER F IY L D
CHESTERFIELDS	CH EH S T ER F IY L D Z
CHICKENHEARTED	CH IH K AH N HH AA R T IH D
CHIROPTERAN	CH AH R AA P T AH R AH N
CHIROPTERANS	CH AH R AA P T AH R AH N Z
CHITCHATTED	CH AH CH AE T AH D
CHITTER	CH IH T ER
CHITTERED	CH IH T IY R D
CHITTERING	CH IH T IY R AH NG
CHITTERLINGS	CH IH T ER L IH NG Z
CHITTERS	CH IH T AH R Z
CHLORATE	K L AO R EY T
CHLORATES	K L AH R EY T S
CHLORINATE	K L AO R AH N EY T
CHLORINATED	K L AO R AH N EY T AH D
CHLORINATES	K L OW R IY N AH T S
CHLORITE	K L AH R AY T
CHLORITES	K L AH R AY T S
CHLORTETRACYCLINE	K L OW R T EH T R AH S AY K L IY N
CHLORTETRACYCLINES	K L OW R T EH T R AH S AY K L IY N Z
CHOANOCYTE	CH OW N AH S AY T
CHOANOCYTES	CH OW N AH S AY T S
CHOCOLATE	CH AO K L AH T
CHOCOLATES	CH AO K L AH T S
CHOCOLATEY	CH AA K L AH T IY
CHOIRMASTER	K W AY ER M AE S T ER
CHOIRMASTERS	K W AY ER M AE S T ER Z
CHOLATE	CH OW L EY T
CHOLATES	CH OW L EY T S
CHOLECYSTECTOMIES	CH AA L AH S AH S T EH K T AH M AY Z
CHOLECYSTECTOMIZED	CH AA L AH S IH S T EH K T AH M AY Z D
CHOLECYSTECTOMY	CH AA L AH S AH S T EH K T AH M IY
CHOLESTERIC	CH AH L EH S T AH R AH K
CHOLESTEROL	K AH L EH S T ER AO L
CHOLESTEROL(2)	K AH L EH S T ER AH L
CHOLESTEROLS	K AH L EH S T AH R AO L Z
CHOLINESTERASE	K OW L AH N EH S T AH R EY Z
CHOLINESTERASES	K OW L AH N EH S T AH R EY Z IH Z
CHONDRITE	CH AA N D R AY T
CHONDRITES	CH AA N D R AY T S
CHORDATE	K AO R D AH T
CHORDATES	K AO R D EY T S
CHORISTER	CH OW R IY S T ER
CHORISTERS	CH OW R IY S T ER Z
CHRISTEN	K R IH S AH N
CHRISTENED	K R IH S AH N D
CHRISTENING	K R IH S AH N IH NG
CHRISTENING(2)	K R IH S N IH NG
CHRISTENINGS	K R IH S AH N IH NG Z
CHRISTENS	K R IH S AH N Z
CHROMATE	K R OW M AH T
CHROMATES	K R OW M AH T S
CHROMITE	K R AH M AY T
CHROMITES	K R AH M AY T S
CHROMOCENTER	K R AA M AH S EH N T AH R
CHROMOCENTERS	K R AA M AH S EH N T AH R Z
CHROMOPROTEIN	K R AH M AA P R AH T IY N
CHROMOPROTEINS	K R AH M AA P R AH T IY N Z
CHRONOMETER	K R OW N AA M AH T AH R
CHRONOMETERS	K R AH N AA M AH T AH R Z
CHRYSOLITE	K R IH S AH L AY T
CHRYSOLITES	K R IH S AH L AY T S
CHRYSOPHYTE	K R IH S AH F AY T
CHRYSOPHYTES	K R IH S AH F AY T S
CHUNTER	CH AH N T AH R
CHUNTERED	CH AH N T IY R D
CHUNTERING	CH AH N T IY R AH NG
CHUNTERS	CH AH N T AH R Z
CHUTE	SH UW T
CHUTED	SH UW T IH D
CHUTES	SH UW T S
CIGARETTE	S IH G AH R EH T
CIGARETTES	S IH G AH R EH T S
CIGUATERA	S IH G W AA T AH R AH
CIGUATERAS	S IH G W AA T AH R AH Z
CILIATE	S IH L IY EY T
CILIATED	S IH L IY EY T IH D
CILIATES	S IH L IY AH T S
CINEASTE	S AH N IY S T
CINEASTES	S AH N IY S T S
CINGULATE	S IH N G Y AH L EY T
CIPHERTEXT	S AY F ER T EH K S T
CIPHERTEXTS	S AY F ER T EH K S T S
CIRCINATE	S AH R S AH N EY T
CIRCINATELY	S AH R S AH N EY T L IY
CIRCUITED	S ER K AH T IH D
CIRCULATE	S ER K Y AH L EY T
CIRCULATED	S ER K Y AH L EY T AH D
CIRCULATED(2)	S ER K Y AH L EY T IH D
CIRCULATES	S ER K Y AH L EY T S
CIRCUMAMBULATE	S ER K AH M AE M B Y AH L AH T
CIRCUMAMBULATED	S ER K AH M AE M B Y AH L EY T IH D
CIRCUMAMBULATES	S ER K AH M AE M B Y AH L AH T S
CIRCUMCENTER	S ER K AH M S EH N T ER
CIRCUMCENTERS	S ER K AH M S EH N T ER Z
CIRCUMNAVIGATE	S ER K AH M N AE V AH G EY T
CIRCUMNAVIGATED	S ER K AH M N AE V AH G EY T IH D
CIRCUMNAVIGATES	S ER K AH M N AE V AH G AH T S
CIRCUMSTANTIATE	S AH R K AH M S T AE N T AY EY T
CIRCUMSTANTIATED	S AH R K AH M S T AE N T AY EY T AH D
CIRCUMSTANTIATES	S AH R K AH M S T AE N T AY EY T S
CIRCUMSTELLAR	S ER K AH M S T EH L ER
CIRCUMVALLATE	S AH R K AH M V AE L EY T
CIRCUMVALLATED	S AH R K AH M V AE L EY T AH D
CIRCUMVALLATES	S AH R K AH M V AE L EY T S
CIRCUMVENTED	S ER K AH M V EH N T IH D
CIRRATE	S AH R EY T
CISTERN	S IH S T ER N
CISTERNA	S IH S T AH R N AH
CISTERNAE	S IH S T AH R N IY
CISTERNAL	S IH S T ER N AH L
CISTERNS	S IH S T ER N Z
CITE	S AY T
CITEABLE	S AY T AH B AH L
CITED	S AY T AH D
CITED(2)	S AY T IH D
CITER	S AY T ER
CITERS	S AY T ER Z
CITES	S AY T S
CITRATE	S IH T R EY T
CITRATED	S IH T R EY T AH D
CITRATES	S IH T R EY T S
CITTERN	S IH T AH R N
CITTERNS	S IH T AH R N Z
CLASSMATE	K L AE S M EY T
CLASSMATES	K L AE S M EY T S
CLATHRATE	K L AE TH R EY T
CLATHRATES	K L AE TH R EY T S
CLATTER	K L AE T ER
CLATTERED	K L AE T ER D
CLATTERER	K L AE T ER ER
CLATTERERS	K L AE T ER ER Z
CLATTERING	K L AE T ER IH NG
CLATTERINGLY	K L AE T ER IH NG L IY
CLATTERS	K L AE T ER Z
CLATTERY	K L AE T ER IY
CLAUGHTED	K L AO T AH D
CLAVATE	K L EY V EY T
CLEATED	K L IY T IH D
CLEFTED	K L EH F T IH D
CLEVEITE	K L IY V EY T
CLEVEITES	K L IY V EY T S
CLIENTELE	K L AY AH N T EH L
CLIENTELES	K L AY AH N T EH L Z
CLIMACTERIC	K L AH M AE K T AH R AH K
CLIMACTERICS	K L AH M AE K T AH R AH S Z
CLIMATE	K L AY M AH T
CLIMATE(2)	K L AY M IH T
CLIMATES	K L AY M AH T S
CLIMATES(2)	K L AY M IH T S
CLINOMETER	K L AY N AA M AH T AH R
