DE	D IY
DECLARERS	D IY K L AE R ER Z
DECLARES	D IH K L EH R Z
DECLARING	D IH K L EH R IH NG
DECLASS	D IY K L AE S
DECLASSE	D IH K L AE S
DECLASSED	D IY K L AE S T
DECLASSES	D IY K L AE S IH Z
DECLASSIFICATION	D IY K L AE S AH F AH K EY SH AH N
DECLASSIFICATIONS	D IY K L AE S AH F AH K EY SH AH N Z
DECLASSIFIED	D IH K L AE S AH F AY D
DECLASSIFIES	D IY K L AE S AH F AY Z
DECLASSIFY	D IH K L AE S AH F AY
DECLASSIFYING	D IY K L AE S AH F AY IH NG
DECLASSING	D IY K L AE S IH NG
DECLAW	D IY K L AO
DECLAWED	D IY K L AO D
DECLAWING	D IY K L AO IH NG
DECLAWS	D IY K L AO Z
DECLENSION	D IH K L EH N Z IY AH N
DECLENSIONAL	D IH K L EH N S IY AH N AH L
DECLENSIONS	D IH K L EH N S IY AH N Z
DECLINABLE	D IH K L AY N AH B AH L
DECLINATION	D EH K L AH N EY SH AH N
DECLINATIONAL	D EH K L AH N EY SH AH N AH L
DECLINATIONS	D EH K L AH N EY SH AH N Z
DECLINE	D IH K L AY N
DECLINED	D IH K L AY N D
DECLINER	D IH K L AY N ER
DECLINERS	D IH K L AY N ER Z
DECLINES	D IH K L AY N Z
DECLINING	D IH K L AY N IH NG
DECLIVITIES	D IH K L IH V AH T IY Z
DECLIVITOUS	D IH K L IH V AH T AH S
DECLIVITY	D IH K L IH V AH T IY
DECO	D EH K OW
DECOCT	D AH K AA K T
DECOCTED	D AH K AA K T AH D
DECOCTING	D AH K AA K T AH NG
DECOCTION	D AH K AA K AH N
DECOCTIONS	D AH K AH K T AY AH N Z
DECOCTS	D AH K AA K T S
DECODE	D IH K OW D
DECODED	D IH K OW D AH D
DECODER	D IH K OW D ER
DECODERS	D IH K OW D ER Z
DECODES	D IH K OW D Z
DECODING	D IH K OW D IH NG
DECOLLATE	D IY K AH L EY T
DECOLLATED	D IY K AH L EY T IH D
DECOLLATES	D IY K AH L EY T S
DECOLLATING	D IY K AH L EY T IH NG
DECOLLATION	D IY K AH L EY SH AH N
DECOLLATIONS	D IY K AH L EY SH AH N Z
DECOLLETAGE	D EY K AA L AH T AA ZH
DECOLLETAGES	D EY K AA L AH T AA ZH IH Z
DECOLLETE	D IH K AH L IY T
DECOLLETES	D IH K AH L IY T S
DECOLONIZATION	D IY K OW L AH N AH Z EY SH AH N
DECOLONIZATIONS	D IY K OW L AH N AH Z EY SH AH N Z
DECOLONIZE	D IY K AA L AH N AY Z
DECOLONIZED	D IY K AA L AH N AY Z D
DECOLONIZES	D IY K AA L AH N AY Z IH Z
DECOLONIZING	D IY K AA L AH N AY Z IH NG
DECOLOR	D IY K AH L ER
DECOLORED	D IY K AH L ER D
DECOLORING	D IY K AH L ER IH NG
DECOLORIZATION	D IY K AH L ER AH Z EY SH AH N
DECOLORIZATIONS	D IY K AH L ER AH Z EY SH AH N Z
DECOLORIZE	D IY K AH L ER AY Z
DECOLORIZED	D IY K AH L ER AY Z D
DECOLORIZER	D IY K AH L ER AY Z ER
DECOLORIZERS	D IY K AH L ER AY Z ER Z
DECOLORIZES	D IY K AH L ER AY Z IH Z
DECOLORIZING	D IY K AH L ER AY Z IH NG
DECOLORS	D IY K AH L ER Z
DECOLOUR	D IY K AH L ER
DECOLOURED	D IY K AH L ER D
DECOLOURING	D IY K AH L ER IH NG
DECOLOURS	D IY K AH L ER Z
DECOMMISSION	D IY K AH M IH SH AH N
DECOMMISSIONED	D IY K AH M IH SH AH N D
DECOMMISSIONING	D IY K AH M IH SH AH N IH NG
DECOMMISSIONS	D IY K AH M IH SH AH N Z
DECOMPENSATE	D IY K AA M P AH N S EY T
DECOMPENSATED	D IY K AA M P AH N S EY T IH D
DECOMPENSATES	D IY K AA M P AH N S EY T S
DECOMPENSATING	D IY K AA M P AH N S EY T IH NG
DECOMPENSATION	D IY K AH M P EH N S EY SH AH N
DECOMPENSATIONS	D IY K AH M P EH N S EY SH AH N Z
DECOMPOSABILITIES	D IY K AH M P OW Z AH B IH L AH T EH Z
DECOMPOSABILITY	D IY K AH M P OW Z AH B IH L AH T EH
DECOMPOSABLE	D IY K AH M P OW Z AH B AH L
DECOMPOSE	D IY K AH M P OW Z
DECOMPOSED	D IY K AH M P OW Z D
DECOMPOSER	D IY K AH M P OW Z ER
DECOMPOSERS	D IY K AH M P OW Z ER Z
DECOMPOSES	D IY K AH M P OW Z IH Z
DECOMPOSING	D IY K AH M P OW Z IH NG
DECOMPOSITION	D IY K AH M P OW Z IH SH AH N
DECOMPOSITION(2)	D IY K AH M P AH Z IH SH AH N
DECOMPOSITIONS	D IY K AA M P AH Z IH SH AH N Z
DECOMPOUND	D IY K AH M P AW N D
DECOMPRESS	D IY K AH M P R EH S
DECOMPRESSED	D IY K AH M P R EH S T
DECOMPRESSES	D IY K AH M P R EH S IH Z
DECOMPRESSING	D IY K AH M P R EH S IH NG
DECOMPRESSION	D IY K AH M P R EH SH AH N
DECOMPRESSIONS	D IY K AH M P R EH SH AH N Z
DECONCENTRATE	D IY K AA N S AH N T R EY T
DECONCENTRATED	D IY K AA N S AH N T R EY T IH D
DECONCENTRATES	D IY K AA N S AH N T R EY T S
DECONCENTRATING	D IY K AA N S AH N T R EY T IH NG
DECONCENTRATION	D IY K AA N S AH N T R EY SH AH N
DECONCENTRATIONS	D IY K AA N S AH N T R EY SH AH N Z
DECONDITION	D IY K AH N D IH SH AH N
DECONDITIONED	D IY K AH N D IH SH AH N D
DECONDITIONING	D IY K AH N D IH SH AH N IH NG
DECONDITIONS	D IY K AH N D IH SH AH N Z
DECONGEST	D IY K AH N JH EH S T
DECONGESTANT	D IH K AH N JH EH S T AH N T
DECONGESTANT(2)	D IY K AH N JH EH S T AH N T
DECONGESTANTS	D IH K AH N JH EH S T AH N T S
DECONGESTANTS(2)	D IY K AH N JH EH S T AH N T S
DECONGESTED	D IY K AH N JH EH S T IH D
DECONGESTING	D IY K AH N JH EH S T IH NG
DECONGESTION	D IY K AH N JH EH S SH AH N
DECONGESTIONS	D IY K AH N JH EH S SH AH N Z
DECONGESTIVE	D IY K AH N JH EH S T IH V
DECONGESTS	D IY K AH N JH EH S T S
DECONSECRATE	D IY K AA N S AH K R EY T
DECONSECRATED	D IY K AA N S AH K R EY T IH D
DECONSECRATES	D IY K AA N S AH K R EY T S
DECONSECRATING	D IY K AA N S AH K R EY T IH NG
DECONSECRATION	D IY K AA N S AH K R EY SH AH N
DECONSECRATIONS	D IY K AA N S AH K R EY SH AH N Z
DECONSTRUCT	D IY K AH N S T R AH K T
DECONSTRUCTED	D IY K AH N S T R AH K T IH D
DECONSTRUCTING	D IY K AH N S T R AH K T IH NG
DECONSTRUCTION	D IY K AH N S T R AH K SH AH N
DECONSTRUCTIONIST	D IY K AH N S T R AH K SH AH N IH S T
DECONSTRUCTIONISTS	D IY K AH N S T R AH K SH AH N IH S T S
DECONSTRUCTIONS	D IY K AH N S T R AH K SH AH N Z
DECONSTRUCTIVE	D IY K AH N S T R AH K T IH V
DECONSTRUCTOR	D IY K AH N S T R AH K T ER
DECONSTRUCTORS	D IY K AH N S T R AH K T ER Z
DECONSTRUCTS	D IY K AH N S T R AH K T S
DECONTAMINATE	D IY K AH N T AE M AH N EY T
DECONTAMINATED	D IY K AH N T AE M AH N EY T IH D
DECONTAMINATES	D IY K AH N T AE M AH N AH T S
DECONTAMINATING	D IY K AH N T AE M AH N EY T IH NG
DECONTAMINATION	D IY K AH N T AE M AH N EY SH AH N
DECONTAMINATIONS	D IY K AH N T AE M AH N EY SH AH N Z
DECONTAMINATOR	D IY K AH N T AE M AH N AH T ER
DECONTAMINATORS	D IY K AH N T AE M AH N AH T ER Z
DECONTROL	D IY K AH N T R OW L
DECONTROLLED	D IY K AH N T R OW L D
DECONTROLLING	D IY K AH N T R OW L IH NG
DECONTROLS	D IY K AH N T R OW L Z
DECOR	D IH K AO R
DECOR(2)	D EY K AO R
DECORATE	D EH K ER EY T
DECORATED	D EH K ER EY T AH D
DECORATED(2)	D EH K ER EY T IH D
DECORATES	D EH K AH R EY T S
DECORATING	D EH K ER EY T IH NG
DECORATION	D EH K ER EY SH AH N
DECORATIONS	D EH K ER EY SH AH N Z
DECORATIVE	D EH K R AH T IH V
DECORATIVELY	D EH K AH R EY T IH V L IY
DECORATIVENESS	D EH K AH R EY T IH V N AH S
DECORATIVENESSES	D EH K AH R EY T IH V N AH S IH Z
DECORATOR	D EH K ER EY T ER
DECORATORS	D EH K ER EY T ER Z
DECOROUS	D EH K ER AH S
DECOROUSLY	D EH K AH R AH S L IY
DECOROUSNESS	D EH K AH R AH S N AH S
DECOROUSNESSES	D EH K AH R AH S N AH S IH Z
DECORS	D EY K AO R Z
DECORTICATE	D IY K AO R T AH K EY T
DECORTICATED	D IY K AO R T AH K EY T IH D
DECORTICATES	D IY K AO R T AH K EY T S
DECORTICATING	D IY K AO R T AH K EY T IH NG
DECORTICATION	D IY K AO R T AH K EY SH AH N
DECORTICATIONS	D IY K AO R T AH K EY SH AH N Z
DECORTICATOR	D IY K AO R T AH K EY T ER
DECORTICATORS	D IY K AO R T AH K EY T ER Z
DECORUM	D IH K AO R AH M
DECORUMS	D IH K OW R AH M Z
DECOS	D AH K AA Z
DECOUPAGE	D IY K UW P EY IH JH
DECOUPAGED	D IY K UW P EY IH JH D
DECOUPAGES	D IY K UW P EY IH JH IH Z
DECOUPAGING	D IY K UW P EY IH JH IH NG
DECOUPLE	D IY K AH P AH L
DECOUPLED	D IY K AH P AH L D
DECOUPLES	D IY K AH P AH L Z
DECOUPLING	D IY K AH P L IH NG
DECOY	D AH K OY
DECOYED	D IY K OY D
DECOYER	D IY K OY ER
DECOYERS	D IY K OY ER Z
DECOYING	D IY K OY IH NG
DECOYS	D IY K OY Z
DECREASE	D IH K R IY S
DECREASE(2)	D IY K R IY S
DECREASED	D IH K R IY S T
DECREASED(2)	D IY K R IY S T
DECREASES	D IH K R IY S AH Z
DECREASES(2)	D IH K R IY S IH Z
DECREASES(3)	D IY K R IY S IH Z
DECREASING	D IH K R IY S IH NG
DECREASING(2)	D IY K R IY S IH NG
DECREASINGLY	D IH K R IY S IH NG L IY
DECREE	D IH K R IY
DECREED	D IH K R IY D
DECREEING	D IH K R IY IH NG
DECREER	D EH K R IH R
DECREERS	D IH K R IH R Z
DECREES	D IH K R IY Z
DECREMENT	D EH K R AH M AH N T
DECREMENTAL	D EH K R AH M AH N T AH L
DECREMENTED	D EH K R AH M AH N T IH D
DECREMENTING	D EH K R AH M AH N T IH NG
DECREMENTS	D EH K R AH M AH N T S
DECREPIT	D AH K R EH P IH T
DECREPITATE	D IH K R EH P AH T EY T
DECREPITATED	D IH K R EH P AH T EY T AH D
DECREPITATES	D IH K R EH P AH T EY T S
DECREPITATING	D IH K R EH P AH T EY T AH NG
DECREPITATION	D IH K R EH P AH T EY SH AH N
DECREPITATIONS	D IH K R EH P AH T EY T IY AH N Z
DECREPITLY	D AH K R EH P IH T L IY
DECREPITUDE	D IY K R EY P AH T UW D
DECREPITUDES	D IY K R EY P AH T UW D Z
DECRESCENDO	D IY K R IH SH EH N D OW
DECRESCENDOS	D IY K R IH SH EH N D OW Z
DECRESCENT	D IY K R EH S AH N T
DECRETAL	D IH K R IY T AH L
DECRETALS	D IH K R EH T AH L Z
DECRETIVE	D IH K R IY T AH V
DECRETORY	D IH K R AH T AO R IY
DECRIAL	D IY S R IY AH L
DECRIALS	D IY S R IY AH L Z
DECRIED	D IH K R AY D
DECRIER	D IY S R IY ER
DECRIERS	D IY S R IY ER Z
DECRIES	D IH K R AY Z
DECRIMINALIZATION	D IY K R IH M AH N AH L AH Z EY SH AH N
DECRIMINALIZATIONS	D IY K R IH M AH N AH L AH Z EY SH AH N Z
DECRIMINALIZE	D IY K R IH M AH N AH L AY Z
DECRIMINALIZED	D IY K R IH M AH N AH L AY Z D
DECRIMINALIZES	D IY K R IH M AH N AH L AY Z IH Z
DECRIMINALIZING	D IY K R IH M AH N AH L AY Z IH NG
DECROWN	D IY K R AW N
DECROWNED	D IY K R AW N D
DECROWNING	D IY K R AW N IH NG
DECROWNS	D IY K R AW N Z
DECRY	D IH K R AY
DECRYING	D IH K R AY IH NG
DECRYPT	D IY K R IH P T
DECRYPTED	D IY K R IH P T IH D
DECRYPTING	D IY K R IH P T IH NG
DECRYPTION	D IY K R IH P SH AH N
DECRYPTIONS	D IY K R IH P SH AH N Z
DECRYPTS	D IY K R IH P T S
DECUMAN	D IH K Y UW M AH N
DECUMBENT	D AH K AH M B AH N T
DECUPLE	D IH K Y UW P AH L
DECUPLED	D IY K AH P L EH D
DECUPLES	D AH K AH P AH L Z
DECUPLING	D IY K AH P L IH NG
DECURIES	D IY K Y UH R IY Z
DECURION	D IY S Y ER IY AH N
DECURIONS	D IY S Y ER IY AH N Z
DECURRENT	D IY K ER AH N T
DECURVE	D IY K ER V
DECURVED	D IY K ER V D
DECURVES	D IY K ER V Z
DECURVING	D IY K ER V IH NG
DECURY	D IY S Y ER IY
DECUSSATE	D IH K AH S EY T
DECUSSATED	D IH K AH S EY T AH D
DECUSSATES	D IH K AH S EY T S
DECUSSATING	D IH K AH S EY T AH NG
DECUSSATION	D IH K AH S EY SH AH N
DECUSSATIONS	D AH K AH S EY T IY AH N Z
DEDAL	D IY D AH L
DEDANS	D AH D AE N Z
DEDICATE	D EH D AH K EY T
DEDICATED	D EH D AH K EY T AH D
DEDICATEDLY	D EH D IH K AH T AH D L IY
DEDICATEE	D EH D IH K AH T IY
DEDICATEES	D EH D IH K AH T IY Z
DEDICATES	D EH D IH K EY T S
DEDICATING	D EH D IH K EY T IH NG
DEDICATION	D EH D AH K EY SH AH N
DEDICATIONS	D EH D IH K EY SH AH N Z
DEDICATOR	D EH D IH K AH T ER
DEDICATORS	D EH D IH K AH T ER Z
DEDICATORY	D EH D IH K AH T OW R IY
DEDIFFERENTIATE	D IY D IH F AH R EH N CH IY AH T
DEDIFFERENTIATED	D IY D IH F AH R EH N CH IY EY T IH D
DEDIFFERENTIATES	D IY D IH F AH R EH N CH IY AH T S
DEDIFFERENTIATING	D IY D IH F AH R EH N CH IY EY T IH NG
DEDIFFERENTIATION	D IY D IH F AH R EH N CH IY EY SH AH N
DEDIFFERENTIATIONS	D IY D IH F AH R EH N CH IY EY SH AH N Z
DEDUCE	D IH D UW S
DEDUCED	D IH D UW S T
DEDUCES	D IH D UW S IH Z
DEDUCIBLE	D IH D UW S AH B AH L
DEDUCING	D IH D UW S IH NG
DEDUCT	D IH D AH K T
DEDUCTED	D IH D AH K T IH D
DEDUCTIBILITIES	D IY D AH K T AH B IH L AH T IY Z
DEDUCTIBILITY	D IH D AH K T AH B IH L AH T IY
DEDUCTIBLE	D IH D AH K T AH B AH L
DEDUCTIBLES	D IH D AH K T AH B AH L Z
DEDUCTING	D IH D AH K T IH NG
DEDUCTION	D IH D AH K SH AH N
DEDUCTIONS	D IH D AH K SH AH N Z
DEDUCTIVE	D IH D AH K T AH V
DEDUCTIVELY	D IH D AH K T AH V L IY
DEDUCTS	D IH D AH K T S
DEE	D IY
DEED	D IY D
DEEDED	D IY D AH D
DEEDED(2)	D IY D IH D
DEEDIER	D IY D IY ER
DEEDIEST	D IY D IY AH S T
DEEDING	D IY D IH NG
DEEDLESS	D IY D L AH S
DEEDS	D IY D Z
DEEDY	D IY D IY
DEEJAY	D IY EH JH EY IY
DEEJAYS	D IY AH JH EY Z
DEEM	D IY M
DEEMED	D IY M D
DEEMING	D IY M IH NG
DEEMPHASIZE	D IY EH M F AH S AY Z
DEEMPHASIZED	D IY EH M F AH S AY Z D
DEEMPHASIZES	D IY EH M F AH S AY Z IH Z
DEEMPHASIZING	D IY EH M F AH S AY Z IH NG
DEEMS	D IY M Z
DEEMSTER	D IY M S T ER
DEEMSTERS	D IY M S T ER Z
DEEP	D IY P
DEEPEN	D IY P AH N
DEEPENED	D IY P AH N D
DEEPENER	D IY P AH N ER
DEEPENERS	D IY P AH N ER Z
DEEPENING	D IY P AH N IH NG
DEEPENS	D IY P AH N Z
DEEPER	D IY P ER
DEEPEST	D IY P AH S T
DEEPLY	D IY P L IY
DEEPNESS	D IY P N AH S
DEEPNESSES	D IY P N AH S IH Z
DEEPS	D IY P S
DEEPWATER	D IY P W AO T ER
DEER	D IH R
DEERBERRIES	D IH ER B EH R IY Z
DEERBERRY	D IH ER B EH R IY
DEERFLIES	D IH ER F L AY Z
DEERFLY	D IH ER F L AY
DEERHOUND	D IH ER HH AW N D
DEERHOUNDS	D IH ER HH AW N D Z
DEERLIKE	D IH ER L AY K
DEERS	D IH ER Z
DEERSKIN	D IH R S K IH N
DEERSKINS	D IH ER S K IH N Z
DEERSTALKER	D IH ER S T AO K ER
DEERSTALKERS	D IH ER S T AO K ER Z
DEERWEED	D IH ER W IY D
DEERWEEDS	D IH ER W IY D Z
DEERYARD	D IH ER Y AA R D
DEERYARDS	D IH ER Y AA R D Z
DEES	D IY Z
DEESCALATE	D IY EH S K AH L EY T
DEESCALATED	D IY EH S K AH L EY T IH D
DEESCALATES	D IY EH S K AH L EY T S
DEESCALATING	D IY EH S K AH L EY T IH NG
DEESCALATION	D IY EH S K AH L EY SH AH N
DEESCALATIONS	D IY EH S K AH L EY SH AH N Z
DEET	D IY T
DEETS	D IY T S
DEEWAN	D IY Y UW AH N
DEEWANS	D IY Y UW AH N Z
DEFACE	D IH F EY S
DEFACED	D IH F EY S T
DEFACEMENT	D IY F EY S M AH N T
DEFACEMENTS	D IY F EY S M AH N T S
DEFACER	D IY F EY S ER
DEFACERS	D IY F EY S ER Z
DEFACES	D IY F EY S IH Z
DEFACING	D IH F EY S IH NG
DEFALCATE	D AH F AE L K EY T
DEFALCATED	D AH F AE L K EY T AH D
DEFALCATES	D AH F AE L K EY T S
DEFALCATING	D AH F AE L K EY T AH NG
DEFALCATION	D AH F AE L K EY SH AH N
DEFALCATIONS	D AH F AE L K EY T IY AH N Z
DEFALCATOR	D AH F AE L K EY T AH R
DEFALCATORS	D AH F AE L K AH T AH R Z
DEFAMATION	D EH F AH M EY SH AH N
DEFAMATIONS	D IY F EY M EY SH AH N Z
DEFAMATORY	D IH F AE M AH T AO R IY
DEFAME	D IH F EY M
DEFAMED	D IH F EY M D
DEFAMER	D IY F EY M ER
DEFAMERS	D IY F EY M ER Z
DEFAMES	D IY F EY M Z
DEFAMING	D IY F EY M IH NG
DEFANG	D IY F AE NG
DEFANGED	D IY F AE NG D
DEFANGING	D IY F AE NG IH NG
DEFANGS	D IY F AE NG Z
DEFAT	D IY F AE T
DEFATS	D IY F AE T S
DEFATTED	D IY F AE T IH D
DEFATTING	D IY F AE T IH NG
DEFAULT	D IH F AO L T
DEFAULTED	D IH F AO L T IH D
DEFAULTER	D IH F AO L T ER
DEFAULTERS	D IH F AO L T ER Z
DEFAULTING	D IH F AO L T IH NG
DEFAULTS	D IH F AO L T S
DEFEASANCE	D IH F IY Z AH N S
DEFEASANCES	D IY F IY Z AH N S IH Z
DEFEASIBILITIES	D IY F IY Z AH B IH L AH T IY Z
DEFEASIBILITY	D IY F IY Z AH B IH L AH T IY
DEFEASIBLE	D IY F IY Z AH B AH L
DEFEAT	D IH F IY T
DEFEATED	D IH F IY T AH D
DEFEATED(2)	D IH F IY T IH D
DEFEATER	D IH F IY T ER
DEFEATERS	D IH F IY T ER Z
DEFEATING	D IH F IY T IH NG
DEFEATISM	D IH F IY T IH Z AH M
DEFEATISMS	D IH F IY T IH Z AH M Z
DEFEATIST	D IH F IY T IH S T
DEFEATISTS	D IH F IY T IH S T S
DEFEATS	D IH F IY T S
DEFEATURE	D IH F IY CH ER
DEFEATURES	D IH F IY CH ER Z
DEFECATE	D EH F IH K EY T
DEFECATED	D EH F IH K EY T IH D
DEFECATES	D EH F IH K EY T S
DEFECATING	D EH F IH K EY T IH NG
DEFECATION	D EH F IH K EY SH AH N
DEFECATIONS	D EH F IH K EY SH AH N Z
DEFECT	D IY F EH K T
DEFECT(2)	D IH F EH K T
DEFECTED	D IH F EH K T IH D
DEFECTING	D IH F EH K T IH NG
DEFECTION	D IH F EH K SH AH N
DEFECTIONS	D IH F EH K SH AH N Z
DEFECTIVE	D IH F EH K T IH V
DEFECTIVELY	D IY F EH K T IH V L IY
DEFECTIVENESS	D IY F EH K T IH V N AH S
DEFECTIVENESSES	D IY F EH K T IH V N AH S IH Z
DEFECTIVES	D IY F EH K T IH V Z
DEFECTOR	D IH F EH K T ER
DEFECTORS	D IH F EH K T ER Z
DEFECTS	D IY F EH K T S
DEFECTS(2)	D IH F EH K T S
DEFEMINIZATION	D AH F AH M AH N AH Z EY SH AH N
DEFEMINIZATIONS	D AH F EH M AH N AH Z EY T IY AH N Z
DEFEMINIZE	D AH F EH M AH N AY Z
DEFEMINIZED	D AH F EH M AH N AY Z D
DEFEMINIZES	D AH F EH M AH N AY Z AH Z
DEFEMINIZING	D AH F EH M AH N AY Z AH NG
DEFENCE	D IH F EH N S
DEFENCEMAN	D IY F EH N S M AE N
DEFENCEMEN	D IY F EH N S M EH N
DEFENCES	D IY F EH N S IH Z
DEFEND	D IH F EH N D
DEFENDABLE	D IY F EH N D AH B AH L
DEFENDANT	D IH F EH N D AH N T
DEFENDANTS	D IH F EH N D AH N T S
DEFENDED	D IH F EH N D AH D
DEFENDED(2)	D IH F EH N D IH D
DEFENDER	D IH F EH N D ER
DEFENDERS	D IH F EH N D ER Z
DEFENDING	D IH F EH N D IH NG
DEFENDS	D IH F EH N D Z
DEFENESTRATE	D IY F EH N AH S T R EY T
DEFENESTRATED	D IY F EH N AH S T R EY T IH D
DEFENESTRATES	D IY F EH N AH S T R EY T S
DEFENESTRATING	D IY F EH N AH S T R EY T IH NG
DEFENESTRATION	D IY F EH N EH S T R EY SH AH N
DEFENESTRATIONS	D IY F EH N AH S T R AE SH AH N Z
DEFENSE	D IH F EH N S
DEFENSED	D IH F EH N S T
DEFENSELESS	D IH F EH N S L AH S
DEFENSELESSLY	D IH F EH N S L AH S L IY
DEFENSELESSNESS	D IH F EH N S L AH S N AH S
DEFENSELESSNESSES	D IH F EH N S L AH S N AH S IH Z
DEFENSEMAN	D IH F EH N S M AE N
DEFENSEMEN	D IH F EH N S M EH N
DEFENSES	D IH F EH N S AH Z
DEFENSES(2)	D IH F EH N S IH Z
DEFENSIBILITIES	D IH F EH N S AH B IH L AH T IY Z
DEFENSIBILITY	D IH F EH N S AH B IH L AH T IY
DEFENSIBLE	D IH F EH N S AH B AH L
DEFENSIBLY	D IH F EH N S AH B L IY
DEFENSING	D IH F EH N S IH NG
DEFENSIVE	D IH F EH N S IH V
DEFENSIVELY	D IH F EH N S IH V L IY
DEFENSIVENESS	D IH F EH N S IH V N AH S
DEFENSIVENESSES	D IH F EH N S IH V N AH S IH Z
DEFENSIVES	D IH F EH N S IH V Z
DEFER	D IH F ER
DEFERENCE	D EH F ER AH N S
DEFERENCE(2)	D EH F R AH N S
DEFERENCES	D EH F AH R AH N S IH Z
DEFERENT	D EH F AH R AH N T
DEFERENTIAL	D EH F ER EH N CH AH L
DEFERENTIAL(2)	D EH F ER EH N SH AH L
DEFERENTIALLY	D EH F AH R AH N T IY AH L IY
DEFERENTS	D EH F AH R AH N T S
DEFERMENT	D IH F ER M AH N T
DEFERMENTS	D IH F ER M AH N T S
DEFERRABLE	D IH F ER AH B AH L
DEFERRABLES	D IH F ER AH B AH L Z
DEFERRAL	D IH F ER AH L
DEFERRALS	D IH F ER AH L Z
DEFERRED	D IH F ER D
DEFERRER	D IH F ER ER
DEFERRERS	D IH F ER ER Z
DEFERRING	D IH F ER IH NG
DEFERS	D IH F ER Z
DEFERVESCENCE	D AH F AH R V EH S AH N S
DEFERVESCENCES	D AH F AH R V AH S EH N S AH Z
DEFI	D AH F IY
DEFIANCE	D IH F AY AH N S
DEFIANCES	D IH F AY AH N S IH Z
DEFIANT	D IH F AY AH N T
DEFIANTLY	D IH F AY AH N T L IY
DEFIBRILLATE	D AH F IH B R AH L EY T
DEFIBRILLATED	D AH F IH B R AH L EY T AH D
DEFIBRILLATES	D AH F IH B R AH L EY T S
DEFIBRILLATING	D AH F IH B R AH L EY T AH NG
DEFIBRILLATION	D AH F IH B R AH L EY SH AH N
DEFIBRILLATIONS	D AH F IH B R AH L EY T IY AH N Z
DEFIBRILLATOR	D IY F IH B R IH L EY T ER
DEFIBRILLATORS	D IY F IH B R IH L EY T ER Z
DEFIBRINATE	D IY F AY B R AH N AH T
DEFIBRINATED	D IY F AY B R AH N EY T IH D
DEFIBRINATES	D IY F AY B R AH N AH T S
DEFIBRINATING	D IY F AY B R AH N EY T IH NG
DEFIBRINATION	D IY F AY B R AH N EY SH AH N
DEFIBRINATIONS	D IY F AY B R AH N EY SH AH N Z
DEFICIENCIES	D IH F IH SH AH N S IY Z
DEFICIENCY	D IH F IH SH AH N S IY
DEFICIENT	D IH F IH SH AH N T
DEFICIENTLY	D IH F IH SH AH N T L IY
DEFICIENTS	D IH F IH SH AH N T S
DEFICIT	D EH F AH S AH T
DEFICITS	D EH F IH S IH T S
DEFIED	D IH F AY D
DEFIER	D IH F AY ER
DEFIERS	D IH F AY ER Z
DEFIES	D IH F AY Z
DEFILADE	D IY F AY L EY D
DEFILADED	D IY F AY L EY D IH D
DEFILADES	D IY F AY L EY D Z
DEFILADING	D IY F AY L EY D IH NG
DEFILE	D IY F AY L
DEFILED	D IY F AY L D
DEFILEMENT	D IY F AY L M AH N T
DEFILEMENTS	D IY F AY L M AH N T S
DEFILER	D IY F AY L ER
DEFILERS	D IY F AY L ER Z
DEFILES	D IY F AY L Z
DEFILING	D IH F AY L IH NG
DEFINABLE	D IH F AY N AH B AH L
DEFINABLY	D IH F AY N AH B L IY
DEFINE	D IH F AY N
DEFINED	D IH F AY N D
DEFINEMENT	D IH F AY N M AH N T
DEFINEMENTS	D IH F AY N M AH N T S
DEFINER	D IH F AY N ER
DEFINERS	D IH F AY N ER Z
DEFINES	D IH F AY N Z
DEFINIENDA	D AH F AH N IY N D AH
DEFINIENDUM	D AH F AH N IY N D AH M
DEFINIENS	D IH F AY N IY AH N Z
DEFINIENTIA	D AH F AH N IY N CH IY AH
DEFINING	D IH F AY N IH NG
DEFINITE	D EH F AH N AH T
DEFINITELY	D EH F AH N AH T L IY
DEFINITENESS	D EH F AH N AH T N AH S
DEFINITENESSES	D EH F AH N AH T N AH S IH Z
DEFINITION	D EH F AH N IH SH AH N
DEFINITIONAL	D EH F AH N IH SH AH N AH L
DEFINITIONS	D EH F AH N IH SH AH N Z
DEFINITIVE	D IH F IH N IH T IH V
DEFINITIVELY	D IH F IH N IH T IH V L IY
DEFINITIVENESS	D IH F IH N AH T IH V N AH S
DEFINITIVENESSES	D IH F IH N AH T IH V N AH S IH Z
DEFINITIVES	D IH F IH N AH T IH V Z
DEFINITIZE	D EH F AH N AH T AY Z
DEFINITIZED	D EH F AH N AH T AY Z D
DEFINITIZES	D EH F AH N AH T AY Z IH Z
DEFINITIZING	D EH F AH N AH T AY Z IH NG
DEFINITUDE	D IH F AY N AH T UW D
DEFINITUDES	D IH F AY N AH T UW D Z
DEFIS	D IH F AY Z
DEFLAGRATE	D IY F L EY G R AH T
DEFLAGRATED	D IY F L EY G R EY T IH D
DEFLAGRATES	D IY F L EY G R AH T S
DEFLAGRATING	D IY F L EY G R EY T IH NG
DEFLAGRATION	D IY F L EY G R EY SH AH N
DEFLAGRATIONS	D IY F L EY G R EY SH AH N Z
DEFLATE	D IH F L EY T
DEFLATED	D IH F L EY T IH D
DEFLATER	D IH F L EY T ER
DEFLATERS	D IH F L EY T ER Z
DEFLATES	D IH F L EY T S
DEFLATING	D IH F L EY T IH NG
DEFLATION	D IH F L EY SH AH N
