TIO	T AY OW
DEFECATION	D EH F IH K EY SH AH N
DEFECATIONS	D EH F IH K EY SH AH N Z
DEFECTION	D IH F EH K SH AH N
DEFECTIONS	D IH F EH K SH AH N Z
DEFEMINIZATION	D AH F AH M AH N AH Z EY SH AH N
DEFEMINIZATIONS	D AH F EH M AH N AH Z EY T IY AH N Z
DEFENESTRATION	D IY F EH N EH S T R EY SH AH N
DEFENESTRATIONS	D IY F EH N AH S T R AE SH AH N Z
DEFIBRILLATION	D AH F IH B R AH L EY SH AH N
DEFIBRILLATIONS	D AH F IH B R AH L EY T IY AH N Z
DEFIBRINATION	D IY F AY B R AH N EY SH AH N
DEFIBRINATIONS	D IY F AY B R AH N EY SH AH N Z
DEFINITION	D EH F AH N IH SH AH N
DEFINITIONAL	D EH F AH N IH SH AH N AH L
DEFINITIONS	D EH F AH N IH SH AH N Z
DEFLAGRATION	D IY F L EY G R EY SH AH N
DEFLAGRATIONS	D IY F L EY G R EY SH AH N Z
DEFLATION	D IH F L EY SH AH N
DEFLATIONARY	D IH F L EY SH AH N EH R IY
DEFLATIONS	D IH F L EY SH AH N Z
DEFLECTION	D IH F L EH K SH AH N
DEFLECTIONS	D IH F L EH K SH AH N Z
DEFLORATION	D IY F L OW R EY SH AH N
DEFLORATIONS	D IY F L OW R EY SH AH N Z
DEFOLIATION	D AH F AA L AY EY SH AH N
DEFOLIATIONS	D AH F OW L IY EY T IY AH N Z
DEFORESTATION	D IH F AO R IH S T EY SH AH N
DEFORESTATIONS	D IY F AO R AH S T EY SH AH N Z
DEFORMATION	D IY F AO R M EY SH AH N
DEFORMATIONAL	D IY F AO R M EY SH AH N AH L
DEFORMATIONS	D IY F AO R M EY SH AH N Z
DEGENERATION	D IH JH EH N ER EY SH AH N
DEGENERATIONS	D IY JH EH N ER EY SH AH N Z
DEGLACIATION	D IH G L AE S AY EY SH AH N
DEGLACIATIONS	D IH G L EY S IY EY T IY AH N Z
DEGLAMORIZATION	D IY G L AE M ER AH Z EY SH AH N
DEGLAMORIZATIONS	D IY G L AE M ER AH Z EY SH AH N Z
DEGLUTITION	D EH G L Y AH T IH SH AH N
DEGLUTITIONS	D IH G L AH T IH T IY AH N Z
DEGRADATION	D EH G R AH D EY SH AH N
DEGRADATIONS	D EH G R AH D EY SH AH N Z
DEGRANULATION	D IY G R AE N Y UW L EY SH AH N
DEGRANULATIONS	D IY G R AE N Y UW L EY SH AH N Z
DEGUSTATION	D IY G AH S T EY SH AH N
DEGUSTATIONS	D IY G AH S T EY SH AH N Z
DEHUMANIZATION	D IY HH Y UW M AH N AH Z EY SH AH N
DEHUMANIZATIONS	D IY HH Y UW M EY N AH Z EY SH AH N Z
DEHUMIDIFICATION	D IY HH Y UW M AH D AH F AH K EY SH AH N
DEHUMIDIFICATIONS	D IY HH Y UW M AH D AH F AH K EY SH AH N Z
DEHYDRATION	D IY HH AY D R EY SH AH N
DEHYDRATIONS	D IY HH AY D R EY SH AH N Z
DEHYDROCHLORINATION	D AH HH IH D R AA K L AO R AH N EY SH AH N
DEHYDROCHLORINATIONS	D AH HH AH D R AA K L AH R AH N EY T IY AH N Z
DEHYDROGENATION	D IY HH AY D R AH JH AH N EY SH AH N
DEHYDROGENATIONS	D IY HH AY D R AH JH AH N EY SH AH N Z
DEIFICATION	D IY AH F AH K EY SH AH N
DEIFICATIONS	D IY AH F AH K EY SH AH N Z
DEINDUSTRIALIZATION	D IY IH N D AH S T R IY AH L AH Z EY SH AH N
DEINDUSTRIALIZATIONS	D IY IH N D AH S T R IY AH L AH Z EY SH AH N Z
DEINSTITUTIONALIZATION	D IY IH N S T IH T UW SH AH N AH L AH Z EY SH AH N
DEINSTITUTIONALIZATIONS	D IY IH N S T AH T UW SH AH N AH L AH Z EY SH AH N Z
DEINSTITUTIONALIZE	D IY IH N S T IH T UW SH AH N AH L AY Z
DEINSTITUTIONALIZED	D IY IH N S T AH T UW SH AH N AH L AY Z D
DEINSTITUTIONALIZES	D IY IH N S T AH T UW SH AH N AH L AY Z IH Z
DEINSTITUTIONALIZING	D IY IH N S T AH T UW SH AH N AH L AY Z IH NG
DEIONIZATION	D IY IY AH N AH Z EY SH AH N
DEIONIZATIONS	D IY IY AH N AH Z EY SH AH N Z
DEJECTION	D IH JH EH K SH AH N
DEJECTIONS	D IH JH EH K SH AH N Z
DELAMINATION	D IY L AE M AH N EY SH AH N
DELAMINATIONS	D IY L AE M AH N EY SH AH N Z
DELATION	D IY L EY SH AH N
DELATIONS	D IY L EY SH AH N Z
DELECTATION	D IY L EH K T EY SH AH N
DELECTATIONS	D IY L EH K T EY SH AH N Z
DELEGATION	D EH L AH G EY SH AH N
DELEGATIONS	D EH L AH G EY SH AH N Z
DELEGITIMATION	D IY L IH JH IH T AH M EY SH AH N
DELEGITIMATIONS	D IY L IH JH IH T AH M EY SH AH N Z
DELETION	D IH L IY SH AH N
DELETIONS	D IH L IY SH AH N Z
DELIBERATION	D IH L IH B ER EY SH AH N
DELIBERATIONS	D IH L IH B ER EY SH AH N Z
DELIMITATION	D IY L IH M AH T EY SH AH N
DELIMITATIONS	D IY L IH M AH T EY SH AH N Z
DELINEATION	D IH L IH N IY EY SH AH N
DELINEATIONS	D IY L IH N IY EY SH AH N Z
DELOCALIZATION	D IY L OW K AE L AH Z EY SH AH N
DELOCALIZATIONS	D IY L OW K AE L AH Z EY SH AH N Z
DEMAGNETIZATION	D IY M AE G N AH T AH Z EY SH AH N
DEMAGNETIZATIONS	D IY M AE G N AH T AH Z EY SH AH N Z
DEMARCATION	D IY M AA R K EY SH AH N
DEMARCATIONS	D IY M AA R K EY SH AH N Z
DEMATERIALIZATION	D IY M AH T IH R IY AH L AH Z EY SH AH N
DEMATERIALIZATIONS	D IY M AH T IH R IY AH L AH Z EY SH AH N Z
DEMILITARIZATION	D IY M IH L AH T ER AH Z EY SH AH N
DEMILITARIZATIONS	D IY M IH L AH T ER AH Z EY SH AH N Z
DEMINERALIZATION	D IY M IH N AH R AH L AH Z EY SH AH N
DEMINERALIZATIONS	D IY M IH N AH R AH L AH Z EY SH AH N Z
DEMOBILIZATION	D IY M OW B AH L AY Z EY SH AH N
DEMOBILIZATION(2)	D IY M OW B AH L AH Z EY SH AH N
DEMOBILIZATIONS	D IY M OW B AH L AH Z EY SH AH N Z
DEMOCRATIZATION	D IH M AA K R AH T AH Z EY SH AH N
DEMOCRATIZATIONS	D IH M AA K R AH T AH Z EY SH AH N Z
DEMODULATION	D IY M AA JH AH L EY SH AH N
DEMODULATIONS	D IY M AA JH UW L EY SH AH N Z
DEMOLITION	D EH M AH L IH SH AH N
DEMOLITIONIST	D EH M AH L IH SH AH N IH S T
DEMOLITIONISTS	D EH M AH L IH SH AH N IH S T S
DEMOLITIONS	D EH M AH L IH SH AH N Z
DEMONETIZATION	D AH M AH N AH T AH Z EY SH AH N
DEMONETIZATIONS	D AH M AA N AH T AH Z EY T IY AH N Z
DEMONIZATION	D IY M AH N AH Z EY SH AH N
DEMONIZATIONS	D IY M AH N AH Z EY SH AH N Z
DEMONSTRATION	D EH M AH N S T R EY SH AH N
DEMONSTRATIONAL	D EH M AH N S T R EY SH AH N AH L
DEMONSTRATIONS	D EH M AH N S T R EY SH AH N Z
DEMORALIZATION	D IH M AO R AH L IH Z EY SH AH N
DEMORALIZATIONS	D IY M AH R AE L AH Z EY SH AH N Z
DEMOTION	D IH M OW SH AH N
DEMOTIONS	D IH M OW SH AH N Z
DEMYELINATION	D AH M AY EH L AH N EY SH AH N
DEMYELINATIONS	D AH M AY AH L AH N EY T IY AH N Z
DEMYSTIFICATION	D IY M IH S T AH F AH K EY SH AH N
DEMYSTIFICATIONS	D IY M IH S T AH F AH K EY SH AH N Z
DEMYTHOLOGIZATION	D AH M AH TH AH L AH JH AH Z EY SH AH N
DEMYTHOLOGIZATIONS	D AH M AH TH AA L AH JH AH Z EY T IY AH N Z
DENATIONALIZATION	D IY N AE SH AH N AH L IH Z EY SH AH N
DENATIONALIZATIONS	D IY N AE SH AH N AH L IH Z EY SH AH N Z
DENATIONALIZE	D IH N AE SH AH N AH L AY Z
DENATIONALIZED	D IH N AE SH AH N AH L AY Z D
DENATIONALIZES	D IY N AE SH AH N AH L AY Z IH Z
DENATIONALIZING	D IH N AE SH AH N AH L AY Z IH NG
DENATURALIZATION	D IY N AE CH AH R AH L AH Z EY SH AH N
DENATURALIZATIONS	D IY N AE CH AH R AH L AH Z EY SH AH N Z
DENATURATION	D IY N EY CH ER EY SH AH N
DENATURATIONS	D IY N EY CH ER EY SH AH N Z
DENAZIFICATION	D AH N AE Z AH F AH K EY SH AH N
DENAZIFICATIONS	D AH N AE Z AH F AH K EY T IY AH N Z
DENEGATION	D IY N IH G EY SH AH N
DENEGATIONS	D IY N IH G EY SH AH N Z
DENERVATION	D IY N ER V EY SH AH N
DENERVATIONS	D IY N ER V EY SH AH N Z
DENIGRATION	D AH N IH G R EY SH AH N
DENIGRATIONS	D AH N IH G R EY T IY AH N Z
DENITRIFICATION	D AH N IH T R AH F AH K EY SH AH N
DENITRIFICATIONS	D AH N IH T R AH F AH K EY T IY AH N Z
DENOMINATION	D IH N AO M AH N EY SH AH N
DENOMINATIONAL	D IH N AO M AH N EY SH AH N AH L
DENOMINATIONALISM	D IY N AA M AH N EY SH AH N AH L IH Z AH M
DENOMINATIONALISMS	D IY N AA M AH N EY SH AH N AH L IH Z AH M Z
DENOMINATIONS	D IH N AO M AH N EY SH AH N Z
DENOTATION	D IY N OW T EY SH AH N
DENOTATIONS	D IY N OW T EY SH AH N Z
DENSIFICATION	D EH N S AH F AH K EY SH AH N
DENSIFICATIONS	D EH N S AH F AH K EY SH AH N Z
DENTICULATION	D EH N T IH S AH L EY SH AH N
DENTICULATIONS	D IH N T IH K Y AH L EY T IY AH N Z
DENTITION	D EH N T IH SH AH N
DENTITIONS	D EH N T IH SH AH N Z
DENUCLEARIZATION	D IY N UW K L IY ER AH Z EY SH AH N
DENUCLEARIZATIONS	D IY N UW K L IY ER AH Z EY SH AH N Z
DENUDATION	D IY N UW D EY SH AH N
DENUDATIONS	D IY N UW D EY SH AH N Z
DENUNCIATION	D IH N AH N S IY EY SH AH N
DENUNCIATIONS	D IH N AH N S IY EY SH AH N Z
DEODORIZATION	D IY OW D ER AH Z EY SH AH N
DEODORIZATIONS	D IY OW D ER AH Z EY SH AH N Z
DEOXIDATION	D IY AA K S AH D EY SH AH N
DEOXIDATIONS	D IY AA K S AH D EY SH AH N Z
DEOXYGENATION	D IY AA K S IH JH AH N EY SH AH N
DEOXYGENATIONS	D IY AA K S IH JH AH N EY SH AH N Z
DEPARTMENTALIZATION	D IH P AA R T M EH N T AH L AH Z EY SH AH N
DEPARTMENTALIZATIONS	D IH P AA R T M EH N T AH L AH Z EY SH AH N Z
DEPERSONALIZATION	D IY P ER S AH N AH L AH Z EY SH AH N
DEPERSONALIZATIONS	D IY P ER S AH N AH L AH Z EY SH AH N Z
DEPHOSPHORYLATION	D IY F AA S F ER IY L EY SH AH N
DEPHOSPHORYLATIONS	D IY F AA S F ER IY L EY SH AH N Z
DEPICTION	D IH P IH K SH AH N
DEPICTIONS	D IH P IH K SH AH N Z
DEPIGMENTATION	D IY P IH G M AH N T EY SH AH N
DEPIGMENTATIONS	D IY P IH G M AH N T EY SH AH N Z
DEPILATION	D IY P AY L EY SH AH N
DEPILATIONS	D IY P AY L EY SH AH N Z
DEPLETION	D IH P L IY SH AH N
DEPLETIONS	D IH P L IY SH AH N Z
DEPOLARIZATION	D IY P OW L ER AH Z EY SH AH N
DEPOLARIZATIONS	D IY P OW L ER AH Z EY SH AH N Z
DEPOLITICIZATION	D IY P AA L AH T IH K AH Z EY SH AH N
DEPOLITICIZATIONS	D IY P AA L AH T IH K AH Z EY SH AH N Z
DEPOLYMERIZATION	D IY P AA L AH M ER AH Z EY SH AH N
DEPOLYMERIZATIONS	D IY P AA L AH M ER AH Z EY SH AH N Z
DEPOPULATION	D IH P AA P Y AH L EY SH AH N
DEPOPULATION(2)	D IY P AA P Y AH L EY SH AH N
DEPOPULATIONS	D IY P AA P Y AH L EY SH AH N Z
DEPORTATION	D IY P AO R T EY SH AH N
DEPORTATIONS	D IY P AO R T EY SH AH N Z
DEPOSITION	D EH P AH Z IH SH AH N
DEPOSITIONAL	D EH P AH Z IH SH AH N AH L
DEPOSITIONS	D EH P AH Z IH SH AH N Z
DEPRAVATION	D EH P R AH V EY SH AH N
DEPRAVATIONS	D IH P R EY V EY SH AH N Z
DEPRECATION	D IY P R IY K EY SH AH N
DEPRECATIONS	D IY P R IY K EY SH AH N Z
DEPRECIATION	D IH P R IY SH IY EY SH AH N
DEPRECIATIONS	D IH P R IY SH IY EY SH AH N Z
DEPREDATION	D EH P R AH D EY SH AH N
DEPREDATIONS	D EH P R AH D EY SH AH N Z
DEPRESSURIZATION	D IY P R EH SH ER AH Z EY SH AH N
DEPRESSURIZATIONS	D IY P R EH SH ER AH Z EY SH AH N Z
DEPRIVATION	D EH P R AH V EY SH AH N
DEPRIVATIONS	D EH P R AH V EY SH AH N Z
DEPUTATION	D IY P UH T EY SH AH N
DEPUTATIONS	D IY P UH T EY SH AH N Z
DEPUTIZATION	D IY P UH T AH Z EY SH AH N
DEPUTIZATIONS	D IY P UH T AH Z EY SH AH N Z
DERACINATION	D AH R AE S AH N EY SH AH N
DERACINATIONS	D AH R AE S AH N EY T IY AH N Z
DEREALIZATION	D IY R IY L AH Z EY SH AH N
DEREALIZATIONS	D IY R IY L AH Z EY SH AH N Z
DEREGULATION	D IY R EH G Y AH L EY SH AH N
DEREGULATIONS	D IY R EH G Y AH L EY SH AH N Z
DERELICTION	D EH R AH L IH K SH AH N
DERELICTIONS	D EH R AH L IH K SH AH N Z
DERIVATION	D EH R AH V EY SH AH N
DERIVATIONAL	D EH R AH V EY SH AH N AH L
DERIVATIONS	D EH R AH V EY SH AH N Z
DERIVATIZATION	D IH R AY V AH T AH Z EY SH AH N
DERIVATIZATIONS	D IH R AY V AH T AH Z EY SH AH N Z
DEROGATION	D IY R OW G EY SH AH N
DEROGATIONS	D IY R OW G EY SH AH N Z
DESACRALIZATION	D IY S EY K R AH L AH Z EY SH AH N
DESACRALIZATIONS	D IY S EY K R AH L AH Z EY SH AH N Z
DESALINATION	D IY S EY L IH N EY SH AH N
DESALINATIONS	D IY S EY L IY N EY SH AH N Z
DESALINIZATION	D IY S EY L IH N AH Z EY SH AH N
DESALINIZATIONS	D IY S EY L IY N AH Z EY SH AH N Z
DESCRIPTION	D IH S K R IH P SH AH N
DESCRIPTIONS	D IH S K R IH P SH AH N Z
DESECRATION	D EH S AH K R EY SH AH N
DESECRATION(2)	D EH Z AH K R EY SH AH N
DESECRATIONS	D EH S AH K R EY SH AH N Z
DESECRATIONS(2)	D EH Z AH K R EY SH AH N Z
DESEGREGATION	D IH S EH G R AH G EY SH AH N
DESEGREGATION(2)	D IY S EH G R AH G EY SH AH N
DESEGREGATIONS	D IY S EH G R IH G EY SH AH N Z
DESENSITIZATION	D IY S EH N S AH T AH Z EY SH AH N
DESENSITIZATIONS	D IY S EH N S AH T AH Z EY SH AH N Z
DESERTIFICATION	D EH Z ER T AH F AH K EY SH AH N
DESERTIFICATIONS	D EH Z ER T AH F AH K EY SH AH N Z
DESERTION	D IH Z ER SH AH N
DESERTIONS	D IH Z ER SH AH N Z
DESEXUALIZATION	D IY S EH K SH AH W AH L AH Z EY SH AH N
DESEXUALIZATIONS	D IY S EH K SH AH W AH L AH Z EY SH AH N Z
DESICCATION	D EH S AH K EY SH AH N
DESICCATIONS	D IY S IH K EY SH AH N Z
DESIDERATION	D IY S AY D ER EY SH AH N
DESIDERATIONS	D IY S AY D ER EY SH AH N Z
DESIGNATION	D EH Z AH G N EY SH AH N
DESIGNATION(2)	D EH Z IH G N EY SH AH N
DESIGNATIONS	D EH Z AH G N EY SH AH N Z
DESOLATION	D EH S AH L EY SH AH N
DESOLATIONS	D EH S AH L AH SH AH N Z
DESORPTION	D IY S AO R P SH AH N
DESORPTIONS	D IY S AO R P SH AH N Z
DESPERATION	D EH S P ER EY SH AH N
DESPERATION(2)	D EH S P ER EY SH IH N
DESPERATIONS	D EH S P AH R EY SH AH N Z
DESPOLIATION	D IH S AA L AY EY SH AH N
DESPOLIATIONS	D IH S OW L IY EY T IY AH N Z
DESQUAMATION	D IH S W AH M EY SH AH N
DESQUAMATIONS	D IH S W AH M EY T IY AH N Z
DESTABILIZATION	D IY S T EY B AH L AH Z EY SH AH N
DESTABILIZATIONS	D IY S T EY B AH L AH Z EY SH AH N Z
DESTINATION	D EH S T AH N EY SH AH N
DESTINATION(2)	D EH S T IH N EY SH AH N
DESTINATIONS	D EH S T AH N EY SH AH N Z
DESTITUTION	D EH S T AH T UW SH AH N
DESTITUTIONS	D EH S T AH T UW SH AH N Z
DESTRUCTION	D IH S T R AH K SH AH N
DESTRUCTIONIST	D IH S T R AH K SH AH N IH S T
DESTRUCTIONISTS	D IH S T R AH K SH AH N IH S T S
DESTRUCTIONS	D IH S T R AH K SH AH N Z
DESULFURIZATION	D IY S AH L F ER AH Z EY SH AH N
DESULFURIZATIONS	D IY S AH L F ER AH Z EY SH AH N Z
DETECTION	D IH T EH K SH AH N
DETECTIONS	D IH T EH K SH AH N Z
DETENTION	D IH T EH N SH AH N
DETENTIONS	D IH T EH N SH AH N Z
DETERIORATION	D IH T IH R IY ER EY SH AH N
DETERIORATIONS	D IH T IH R IY AH R EY SH AH N Z
DETERMINATION	D IH T ER M AH N EY SH AH N
DETERMINATIONS	D IH T ER M IH N EY SH AH N Z
DETESTATION	D IY T EH S T EY SH AH N
DETESTATIONS	D IY T EH S T EY SH AH N Z
DETONATION	D EH T AH N EY SH AH N
DETONATIONS	D EH T AH N EY SH AH N Z
DETOXICATION	D IH T AA K S AH K EY SH AH N
DETOXICATIONS	D IY T AA K S IH K EY SH AH N Z
DETOXIFICATION	D IH T AA K S IH F IH K EY SH AH N
DETOXIFICATIONS	D AH T AA K S AH F AH K EY T IY AH N Z
DETRACTION	D IY T R AE K SH AH N
DETRACTIONS	D IY T R AE K SH AH N Z
DETRIBALIZATION	D IY T R AY B AH L AH Z EY SH AH N
DETRIBALIZATIONS	D IY T R AY B AH L AH Z EY SH AH N Z
DETRITION	D IY T R AY SH AH N
DETRITIONS	D IY T R AY SH AH N Z
DEUTERATION	D IY Y AH T AH R EY SH AH N
DEUTERATIONS	D IY Y UW T AH R EY T IY AH N Z
DEVALUATION	D IH V AE L Y UW EY SH AH N
DEVALUATION(2)	D IY V AE L Y UW EY SH AH N
DEVALUATIONS	D IY V AE L Y UW EY SH AH N Z
DEVASTATION	D EH V AH S T EY SH AH N
DEVASTATIONS	D EH V AH S T EY SH AH N Z
DEVIATION	D IY V IY EY SH AH N
DEVIATIONISM	D IY V IY EY SH AH N IH Z AH M
DEVIATIONISMS	D IY V IY EY SH AH N IH Z AH M Z
DEVIATIONIST	D IY V IY EY SH AH N IH S T
DEVIATIONISTS	D IY V IY EY SH AH N IH S T S
DEVIATIONS	D IY V IY EY SH AH N Z
DEVITRIFICATION	D AH V IH T R AH F AH K EY SH AH N
DEVITRIFICATIONS	D AH V IH T R AH F AH K EY T IY AH N Z
DEVOLUTION	D EH V AH L UW SH AH N
DEVOLUTIONARY	D AH V AH L UW T IY AH N EH R IY
DEVOLUTIONIST	D AH V AH L AH T IY AH N AH S T
DEVOLUTIONISTS	D AH V AA L AH T IY AH N AH S T S
DEVOLUTIONS	D AH V AH L UW T IY AH N Z
DEVOTION	D IH V OW SH AH N
DEVOTIONAL	D IH V OW SH AH N AH L
DEVOTIONALLY	D IH V OW SH AH N AH L IY
DEVOTIONALS	D IH V OW SH AH N AH L Z
DEVOTIONS	D IH V OW SH AH N Z
DIAGONALIZATION	D AY AE G AH N AH L AH Z EY SH AH N
DIAGONALIZATIONS	D AY AE G AH N AH L AH Z EY SH AH N Z
DIAZOTIZATION	D AY AH Z AH T AH Z EY SH AH N
DIAZOTIZATIONS	D AY AE Z AH T AH Z EY T IY AH N Z
DICHOTOMIZATION	D IH CH AH T AH M AH Z EY SH AH N
DICHOTOMIZATIONS	D AH CH AA T AH M AH Z EY T IY AH N Z
DICTATION	D IH K T EY SH AH N
DICTATIONS	D IH K T EY SH AH N Z
DICTION	D IH K SH AH N
DICTIONAL	D IH K SH AH N AH L
DICTIONALLY	D IH K SH AH N AH L IY
DICTIONARIES	D IH K SH AH N EH R IY Z
DICTIONARY	D IH K SH AH N EH R IY
DICTIONS	D IH K SH AH N Z
DIESELIZATION	D IY Z AH L AH Z EY SH AH N
DIESELIZATIONS	D IY Z AH L AH Z EY SH AH N Z
DIFFERENTIATION	D IH F ER EH N SH IY EY SH AH N
DIFFERENTIATION(2)	D IH F ER EH N CH IY EY SH AH N
DIFFERENTIATIONS	D IH F AH R EH N CH IY EY SH AH N Z
DIFFRACTION	D IH F R AE K SH AH N
DIFFRACTIONS	D IH F R AE K SH AH N Z
DIFUNCTIONAL	D AH F AH NG K T IY AH N AH L
DIGESTION	D AY JH EH S CH AH N
DIGESTIONS	D AY JH EH S SH AH N Z
DIGITALIZATION	D IH JH AH T AH L AH Z EY SH AH N
DIGITALIZATIONS	D IH JH AH T AH L AH Z EY SH AH N Z
DIGITIZATION	D IH JH AH T AH Z EY SH AH N
DIGITIZATIONS	D IH JH AH T AH Z EY SH AH N Z
DILAPIDATION	D AH L AE P AH D EY SH AH N
DILAPIDATIONS	D AH L AE P AH D EY SH AH N Z
DILATATION	D IH L AH T EY SH AH N
DILATATIONAL	D IH L AH T EY SH AH N AH L
DILATATIONS	D IH L AH T EY SH AH N Z
DILATION	D AY L EY SH AH N
DILATIONS	D AY L EY SH AH N Z
DILUTION	D AY L UW SH AH N
DILUTION(2)	D IH L UW SH AH N
DILUTIONS	D AH L UW SH AH N Z
DIMERIZATION	D AY M ER AH Z EY SH AH N
DIMERIZATIONS	D AY M ER AH Z EY SH AH N Z
DIMINUTION	D IH M AH N UW SH AH N
DIMINUTIONS	D IH M AH N UW SH AH N Z
DIPHTHONGIZATION	D IH F TH AA N JH AH Z EY SH AH N
DIPHTHONGIZATIONS	D IH F TH AA N JH AH Z EY T IY AH N Z
DIRECTION	D ER EH K SH AH N
DIRECTION(2)	D IY R EH K SH IH N
DIRECTION(3)	D AY R EH K SH IH N
DIRECTION(4)	D IH R EH K SH IH N
DIRECTIONAL	D ER EH K SH AH N AH L
DIRECTIONAL(2)	D IY R EH K SH IH N AH L
DIRECTIONAL(3)	D AY R EH K SH IH N AH L
DIRECTIONAL(4)	D IH R EH K SH IH N AH L
DIRECTIONALITIES	D AH R EH K SH AH N AH L AH T IY Z
DIRECTIONALITY	D AH R EH K SH AH N AH L AH T IY
DIRECTIONLESS	D ER EH K SH AH N L AH S
DIRECTIONLESS(2)	D IY R EH K SH IH N L AH S
DIRECTIONLESS(3)	D AY R EH K SH IH N L AH S
DIRECTIONLESS(4)	D IH R EH K SH IH N L AH S
DIRECTIONLESSNESS	D AH R EH K SH AH N L AH S N AH S
DIRECTIONLESSNESSES	D AH R EH K SH AH N L AH S N AH S IH Z
DIRECTIONS	D ER EH K SH AH N Z
DIRECTIONS(2)	D IY R EH K SH IH N Z
DIRECTIONS(3)	D AY R EH K SH IH N Z
DIRECTIONS(4)	D IH R EH K SH IH N Z
DISAFFECTION	D IH S AH F EH K SH AH N
DISAFFECTIONS	D IH S AH F EH K SH AH N Z
DISAFFILIATION	D IH S AH F IH L IY EY SH AH N
DISAFFILIATIONS	D IH S AH F IH L IY EY SH AH N Z
DISAGGREGATION	D IH S AE G R IH G AH SH AH N
DISAGGREGATIONS	D IH S AE G R IH G AH SH AH N Z
DISAMBIGUATION	D AH S AE M B IH G Y UW EY SH AH N
DISAMBIGUATIONS	D AH S AE M B AH G W EY T IY AH N Z
DISAPPROBATION	D IH S AE P R AH B EY SH AH N
DISAPPROBATIONS	D IH S AE P R AH B EY SH AH N Z
DISARTICULATION	D IH S AA R T IH K Y AH L EY SH AH N
DISARTICULATIONS	D IH S AA R T IH K Y AH L EY SH AH N Z
DISASSOCIATION	D IH S AH S OW S IY EY SH AH N
DISASSOCIATIONS	D IH S AH S OW S IY EY SH AH N Z
DISCLAMATION	D IH S K L AE M EY SH AH N
DISCLAMATIONS	D IH S K L AE M EY SH AH N Z
DISCOLORATION	D IH S K AH L ER EY SH AH N
DISCOLORATIONS	D IH S K AH L ER EY SH AH N Z
DISCOMBOBULATION	D IH S AH M B AA B Y AH L EY SH AH N
DISCOMBOBULATIONS	D IH S AH M B AA B Y AH L EY T IY AH N Z
DISCONNECTION	D IH S K AH N EH K SH AH N
DISCONNECTIONS	D IH S K AH N EH K SH AH N Z
DISCONSOLATION	D IH S K AA N S AH L EY SH AH N
DISCONSOLATIONS	D IH S K AA N S AH L EY SH AH N Z
DISCONTINUATION	D IH S K AH N T IH N Y UW EY SH AH N
DISCONTINUATIONS	D IH S K AH N T IH N Y UW EY SH AH N Z
DISCRETION	D IH S K R EH SH AH N
DISCRETIONARY	D IH S K R EH SH AH N EH R IY
DISCRETIONS	D IH S K R EH SH AH N Z
DISCRIMINATION	D IH S K R IH M AH N EY SH AH N
DISCRIMINATIONAL	D IH S K R IH M AH N EY SH AH N AH L
DISCRIMINATIONS	D IH S K R IH M AH N EY SH AH N Z
DISEMBARKATION	D IH S EH M B AA R K EY SH AH N
DISEMBARKATIONS	D IH S IH M B AA R K EY SH AH N Z
DISEQUILIBRATION	D IH S IH K W IH L AH B R EY SH AH N
DISEQUILIBRATIONS	D IH S IH K W IH L AH B R EY SH AH N Z
DISFUNCTION	D IH S F AH NG K SH AH N
DISFUNCTIONAL	D IH S F AH NG K SH AH N AH L
DISFUNCTIONS	D IH S F AH NG K SH AH N Z
DISINCLINATION	D IH S IH N K L AH N EY SH AH N
DISINCLINATIONS	D IH S IH N K L AH N EY SH AH N Z
DISINFECTION	D IH S IH N F EH K SH AH N
DISINFECTIONS	D IH S IH N F EH K SH AH N Z
DISINFESTATION	D IH S IH N F EH S T EY SH AH N
DISINFESTATIONS	D IH S IH N F EH S T EY SH AH N Z
DISINFLATION	D IH S IH N F L EY SH AH N
DISINFLATIONARY	D IH S IH N F L EY SH AH N EH R IY
DISINFLATIONS	D IH S IH N F L EY SH AH N Z
DISINFORMATION	D IH Z IH N F ER M EY SH AH N
DISINFORMATIONS	D IH S IH N F ER M EY SH AH N Z
DISINHIBITION	D IH S IH N HH AH B IH SH AH N
DISINHIBITIONS	D IH S IH N HH AH B IH SH AH N Z
DISINTEGRATION	D IH S IH N T AH G R EY SH AH N
DISINTEGRATION(2)	D IH S IH N AH G R EY SH AH N
DISINTEGRATIONS	D IH S IH N T AH G R EY SH AH N Z
DISINTERMEDIATION	D IH S IH N T ER M IY D IY EY SH AH N
DISINTERMEDIATIONS	D IH S IH N T ER M IY D IY EY SH AH N Z
DISINTOXICATION	D IH S IH N T AA K S IH K EY SH AH N
DISINTOXICATIONS	D IH S IH N T AA K S IH K EY SH AH N Z
DISJUNCTION	D IH S JH AH NG K SH AH N
DISJUNCTIONS	D IH S JH AH NG K SH AH N Z
DISLOCATION	D IH S L OW K EY SH AH N
DISLOCATIONS	D IH S L OW K EY SH AH N Z
DISORGANIZATION	D IH S AO R G AH N AH Z EY SH AH N
DISORGANIZATIONS	D IH S AO R G AH N AH Z EY SH AH N Z
DISORIENTATION	D IH S AO R IY AH N T EY SH AH N
DISORIENTATIONS	D IH S OW R IY EH N T EY SH AH N Z
DISPENSATION	D IH S P AH N S EY SH AH N
DISPENSATIONAL	D IH S P EH N S EY SH AH N AH L
DISPENSATIONS	D IH S P EH N S EY SH AH N Z
DISPOSITION	D IH S P AH Z IH SH AH N
