AU	OW
SAURIES	S AH R AY Z
SAURISCHIAN	S AH R IH S IY AH N
SAURISCHIANS	S AH R IH S IY AH N Z
SAUROPOD	S AO R AH P AH D
SAUROPODS	S AO R AH P AH D Z
SAURY	S AO R IY
SAUSAGE	S AO S AH JH
SAUSAGE(2)	S AO S IH JH
SAUSAGES	S AO S IH JH IH Z
SAUTE	S AO T EY
SAUTED	S AO T EY D
SAUTEED	S AO T EY D
SAUTEING	S AO T EY IH NG
SAUTERNE	S OW T ER N
SAUTERNES	S OW T ER N Z
SAUTES	S AO T EY Z
SAUTOIR	S AH T OY R
SAUTOIRE	S AH T OY R
SAUTOIRES	S AH T OY R Z
SAUTOIRS	S AH T OY R Z
SCAUP	S K AO P
SCAUPER	S K AO P AH R
SCAUPERS	S K AO P AH R Z
SCAUPS	S K AO P S
SCAUR	S K AO R
SCAURS	S K EY Y AH R Z
SCHNAUZER	SH N AW Z ER
SCHNAUZERS	S K N AO Z AH R Z
SCUPPAUG	S K AH P AH G
SCUPPAUGS	S K AH P AH G Z
SEMIAUTOBIOGRAPHICAL	S EH M IY AO T AH B AY AH G R AE F IH K AH L
SEMIAUTOMATIC	S EH M IY AO T AH M AE T IH K
SEMIAUTOMATIC(2)	S EH M AY AO T AH M AE T IH K
SEMIAUTOMATIC(3)	S EH M IH AO T AH M AE T IH K
SEMIAUTOMATICALLY	S EH M IY AO T AH M AE T IH K AH L IY
SEMIAUTOMATICS	S EH M IY AO T AH M AE T IH K S
SEMIAUTONOMOUS	S AH M IY AH T AA N AH M AH S
SHAUGH	SH AO
SHAUGHS	SH AO Z
SHAUL	SH AO L
SHAULED	SH EY AH L D
SHAULING	SH EY AH L AH NG
SHAULS	SH EY AH L Z
SLAUGHTER	S L AO T ER
SLAUGHTERED	S L AO T ER D
SLAUGHTERER	S L AO T ER ER
SLAUGHTERERS	S L AO T ER ER Z
SLAUGHTERHOUSE	S L AO T ER HH AW S
SLAUGHTERHOUSES	S L AO T ER HH AW S IH Z
SLAUGHTERING	S L AO T ER IH NG
SLAUGHTEROUS	S L AO T ER AH S
SLAUGHTEROUSLY	S L AO T ER AH S L IY
SLAUGHTERS	S L AO T ER Z
SOMERSAULT	S AH M ER S AO L T
SOMERSAULTED	S AH M ER S AO L T IH D
SOMERSAULTING	S AH M ER S AO L T IH NG
SOMERSAULTS	S AH M ER S AO L T S
STAUMREL	S T AO M R AH L
STAUMRELS	S T AO M R AH L Z
STAUNCH	S T AO N CH
STAUNCHED	S T AO N CH T
STAUNCHER	S T AO N CH ER
STAUNCHES	S T AO N CH IH Z
STAUNCHEST	S T AO N CH AH S T
STAUNCHING	S T AO N CH IH NG
STAUNCHLY	S T AO N CH L IY
STAUNCHNESS	S T AO N CH N AH S
STAUNCHNESSES	S T AO N CH N AH S IH Z
STAUROLITE	S T AO R AH L AY T
STAUROLITES	S T AO R AH L AY T S
STAUROLITIC	S T AO R AH L AH T AH K
STEGOSAUR	S T EH G AH S AH R
STEGOSAURS	S T EH G AH S EY Y AH R Z
STEGOSAURUS	S T EH G AH S AO R AH S
STEGOSAURUSES	S T AH G AA S AH R UW Z AH Z
STEPDAUGHTER	S T EH P D AO T ER
STEPDAUGHTERS	S T EH P D AO T ER Z
SUBAUDIBLE	S AH B AO D AH B AH L
SUBAUDIBLY	S AH B AO D AH B L IY
SUBAUDITION	S AH B AO D IH SH AH N
SUBAUDITIONS	S AH B AO D IH SH AH N Z
SUBCAUSE	S AH B K AO Z
SUBCAUSES	S AH B K AO Z IH Z
SUMMERSAULT	S AH M AH R S AH L T
SUMMERSAULTED	S AH M AH R S AO L T AH D
SUMMERSAULTING	S AH M AH R S AO L T AH NG
SUMMERSAULTS	S AH M AH R S AH L T S
SUPERBUREAUCRAT	S UW P ER B Y UH R AH K R AE T
SUPERBUREAUCRATS	S UW P ER B Y UH R AH K R AE T S
SUPERCAUTIOUS	S UW P ER K AO SH AH S
TABLEAU	T AH B L OW
TABLEAUS	T AE B L OW Z
TABLEAUX	T AH B L OW
TAMARAU	T AE M AH R AH
TAMARAUS	T AH M AE R EY AH S
TARPAULIN	T AA R P AH L AH N
TARPAULINS	T AA R P AH L AH N Z
TAU	T AW
TAUGHT	T AO T
TAUNT	T AO N T
TAUNTED	T AO N T IH D
TAUNTER	T AO N T ER
TAUNTERS	T AO N T ER Z
TAUNTING	T AO N T IH NG
TAUNTINGLY	T AO N T IH NG L IY
TAUNTS	T AO N T S
TAUPE	T AO P
TAUPES	T AO P S
TAURINE	T AH R AY N
TAURINES	T AH R AY N Z
TAUS	T AW Z
TAUT	T AO T
TAUTAUG	T AO T AH G
TAUTAUGS	T AO T AH G Z
TAUTED	T AO T IH D
TAUTEN	T AO T AH N
TAUTENED	T AO T AH N D
TAUTENING	T AO T AH N IH NG
TAUTENS	T AO T AH N Z
TAUTER	T AO T ER
TAUTEST	T AO T AH S T
TAUTING	T AO T IH NG
TAUTLY	T AO T L IY
TAUTNESS	T AO T N AH S
TAUTNESSES	T AO T N AH S IH Z
TAUTOG	T AO T AH G
TAUTOGS	T AO T AH G Z
TAUTOLOGICAL	T AH T AA L AH JH IH S AH L
TAUTOLOGICALLY	T AO T AH L AA JH AH K AE L IY
TAUTOLOGIES	T AO T AA L AH JH IY Z
TAUTOLOGOUS	T AH T AA L AH G AH S
TAUTOLOGOUSLY	T AO T AH L AA G OW AH S L IY
TAUTOLOGY	T AO T AA L AH JH IY
TAUTOMER	T AH T OW M AH R
TAUTOMERIC	T AO T AH M AH R AH K
TAUTOMERISM	T AO T AH M AH R IH Z AH M
TAUTOMERISMS	T AH T AA M AH R AH Z AH M Z
TAUTOMERS	T AO T AH M AH R Z
TAUTONYM	T AO T AH N AH M
TAUTONYMIES	T AH T AA N AH M AY Z
TAUTONYMS	T AO T AH N AH M Z
TAUTONYMY	T AH T AA N AH M IY
TAUTS	T AO T S
THAUMATURGE	TH AO M AH T AH R JH
THAUMATURGES	TH AO M AH T AH R JH AH Z
THAUMATURGIC	TH AO M AH T AH R JH AH K
THAUMATURGIES	TH AO M AH T AH R JH AY Z
THAUMATURGIST	TH AO M AH T AH R JH AH S T
THAUMATURGISTS	TH AO M AH T AH R JH AH S T S
THAUMATURGY	TH AO M AH T AH R JH IY
THESAURAL	DH AH Z AO R AH L
THESAURI	TH EH S AH R IY
THESAURUS	TH AH S AO R AH S
THESAURUSES	TH IH S AO R AH S IH Z
TIMARAU	T IH M AH R AH
TIMARAUS	T AH M AE R EY AH S
TONNEAU	T AA N IY UW
TONNEAUS	T AA N IY AH S
TONNEAUX	T AA N IY AH K S
TRAUCHLE	T R AO K L
TRAUCHLED	T R AO K L D
TRAUCHLES	T R AO K L Z
TRAUCHLING	T R AO K L AH NG
TRAUMA	T R AO M AH
TRAUMAS	T R AO M AH Z
TRAUMATA	T R AO M AH T AH
TRAUMATIC	T R AO M AE T IH K
TRAUMATICALLY	T R AH M AE T IH K AH L IY
TRAUMATISE	T R AO M AH T AY Z
TRAUMATISED	T R AH M EY T AH S T
TRAUMATISES	T R AO M AH T AY Z AH Z
TRAUMATISING	T R AO M AH T AY Z AH NG
TRAUMATISM	T R AO M AH T IH Z AH M
TRAUMATISMS	T R AO M AH T AH Z AH M Z
TRAUMATIZATION	T R AO M AH T AH Z EY SH AH N
TRAUMATIZATIONS	T R AO M AH T AH Z EY T IY AH N Z
TRAUMATIZE	T R AO M AH T AY Z
TRAUMATIZED	T R AO M AH T AY Z D
TRAUMATIZES	T R AO M AH T AY Z AH Z
TRAUMATIZING	T R AO M AH T AY Z AH NG
TROPOPAUSE	T R AA P AH P AO Z
TROPOPAUSES	T R AH P AA P AH Z AH Z
TROUSSEAU	T R AW S IY UW
TROUSSEAUS	T R AW S IY AH S
TROUSSEAUX	T R AW S IY AH K S
TRUMEAU	T R UW M IY UW
TRUMEAUX	T R UW M IY AH K S
TYRANNOSAUR	T AH R AE N AH S AH R
TYRANNOSAURS	T AH R AE N AH S EY Y AH R Z
TYRANNOSAURUS	T IH R AE N AH S AO R AH S
TYRANNOSAURUSES	T AH R AE N AA S AH R UW Z AH Z
ULTRACAUTIOUS	AH L T R AH K AO SH AH S
UMLAUT	AH M L AH T
UMLAUTED	AH M L AH Y UW T AH D
UMLAUTING	AH M L AH Y UW T AH NG
UMLAUTS	AH M L AH Y UW T S
UNAU	AH N AO
UNAUDITED	AH N AO D AH T IH D
UNAUS	AH N EY AH S
UNAUTHENTIC	AH N AO TH EH N T IH K
UNAUTHORIZED	AH N AO TH ER AY Z D
UNAUTOMATED	AH N AO T AH M EY T IH D
UNBEAUTIFUL	AH N B Y UW T IY F AH L
UNBEAUTIFULLY	AH N B Y UW T IY F AH L IY
UNBUREAUCRATIC	AH N B Y UH R AH K R AE T IH K
UNCAUGHT	AH N K AO T
UNCAUSED	AH N K AO Z D
UNCHAUVINISTIC	AH N CH AO V AH N AH S T AH K
UNDAUNTABLE	AH N D AO N T AH B AH L
UNDAUNTED	AH N D AO N T IH D
UNDAUNTEDLY	AH N D AO N T AH D L IY
UNLAUNDERED	AH N L AO N D ER D
UNPLAUSIBLE	AH N P L AO Z AH B AH L
UNTAUGHT	AH N T AO T
USAUNCE	Y UW S AH N S
USAUNCES	Y UW S AO N S AH Z
USQUEBAUGH	AH S W AH B AH
USQUEBAUGHS	AH S W AH B AH Z
VAU	V AO
VAUDEVILLE	V AA D V IH L
VAUDEVILLES	V AO D V IH L Z
VAUDEVILLIAN	V AA D V IH L Y AH N
VAUDEVILLIANS	V AO D AH V IH L IY AH N Z
VAULT	V AO L T
VAULTED	V AO L T IH D
VAULTER	V AO L T ER
VAULTERS	V AO L T ER Z
VAULTIER	V AO L T IY ER
VAULTIEST	V AO L T IY AH S T
VAULTING	V AO L T IH NG
VAULTINGLY	V AO L T IH NG L IY
VAULTINGS	V AO L T IH NG Z
VAULTS	V AO L T S
VAULTY	V AO L T IY
VAUNT	V AO N T
VAUNTED	V AO N T IH D
VAUNTER	V AO N T AH R
VAUNTERS	V AO N T AH R Z
VAUNTFUL	V AO N T AH L
VAUNTIE	V AO N T AY
VAUNTING	V AO N T AH NG
VAUNTINGLY	V AO N T IH NG L IY
VAUNTS	V AO N T S
VAUNTY	V AO N T IY
VAUS	V EY AH S
WAUCHT	W AO CH T
WAUCHTED	W AO CH T AH D
WAUCHTING	W AO CH T AH NG
WAUCHTS	W AO CH T S
WAUGH	W AO
WAUGHT	W AO T
WAUGHTED	W AO T AH D
WAUGHTING	W AO T AH NG
WAUGHTS	W AO T S
WAUK	W AO K
WAUKED	W AO K T
WAUKING	W AO K AH NG
WAUKS	W AO K S
WAUL	W AO L
WAULED	W EY AH L D
WAULING	W EY AH L AH NG
WAULS	W EY AH L Z
WAUR	W AO R
WELTANSCHAUUNG	V EH L T AA N SH AW AH NG
WELTANSCHAUUNGEN	V EH L T AA N SH AW AH NG AH N
WELTANSCHAUUNGS	V EH L T AA N SH AW AH NG Z
WHAUP	W AO P
WHAUPS	W AO P S
WILLIWAU	W IH L AH W AH
WILLIWAUS	W IH L IH W EY AH S
YAUD	Y AO D
YAUDS	Y AO D Z
YAULD	Y AO L D
YAUP	Y AO P
YAUPED	Y AO P T
YAUPER	Y AO P AH R
YAUPERS	Y AO P AH R Z
YAUPING	Y AO P AH NG
YAUPON	Y AO P AH N
YAUPONS	Y AO P AH N Z
YAUPS	Y AO P S
YAUTIA	Y AO SH IY AH
YAUTIAS	Y AO T IY AH Z
ADHERE	AH D HH IH R
WAEFUL	W IY F AH L
REWORD	R IY W ER D
EF	EH F
OOSPERM	UW S AH R M
EAVE	IY V
FULCRA	F UH L K R AH
