MM	EH M
TZIMMESES	T S IH M IY Z AH Z
ULTRACOMMERCIAL	AH L T R AH K AH M ER SH AH L
UMM	AH M
UNACCOMMODATED	AH N AH K AA M AH D EY T IH D
UNACCOMMODATING	AH N AH K AA M AH D EY T IH NG
UNCOMMERCIAL	AH N K AH M ER SH AH L
UNCOMMERCIALIZED	AH N K AH M ER SH AH L AY Z D
UNCOMMITTED	AH N K AH M IH T IH D
UNCOMMON	AH N K AA M AH N
UNCOMMONER	AH N K AA M AH N ER
UNCOMMONEST	AH N K AA M AH N AH S T
UNCOMMONLY	AH N K AA M AH N L IY
UNCOMMONNESS	AH N K AA M AH N AH S
UNCOMMONNESSES	AH N K AA M AH N AH S IH Z
UNCOMMUNICABLE	AH N K AH M Y UW N AH K AH B AH L
UNCOMMUNICATIVE	AH N K AH M Y UW N AH K AH T IH V
UNCONSUMMATED	AH N K AH N S AH M AH T IH D
UNDIMMED	AH N D IH M D
UNGIMMICKY	AH N JH IH M IH K IY
UNGRAMMATICAL	AH N G R AH M AE T IH K AH L
UNGRAMMATICALITIES	AH N G R AH M AE T IH K AH L AH T IY Z
UNGRAMMATICALITY	AH N G R AH M AE T IH K AH L AH T IY
UNIMMUNIZED	AH N IH M Y UW N AY Z D
UNJAMMED	AH N JH AE M D
UNJAMMING	AH N JH AE M IH NG
UNPROGRAMMABLE	AH N P R OW G R AE M AH B AH L
UNPROGRAMMED	AH N P R OW G R AE M D
UNSYMMETRICAL	AH N S AH M EH T R IH K AH L
UNSYMMETRICALLY	AH N S AH M EH T R IH K AH L IY
UNTRAMMELED	AH N T R AE M AH L D
UNTRIMMED	AH N T R IH M D
UNTRIMMING	AH N T R IH M IH NG
WAMMUS	W AA M AH S
WAMMUSES	W AA M Y UW Z AH Z
WHAMMED	W AA M D
WHAMMIES	W AA M AY Z
WHAMMING	W AA M AH NG
WHAMMO	W AA M OW
WHAMMY	W AE M IY
WHAMMY(2)	HH W AE M IY
WINDJAMMER	W IH N D JH AE M ER
WINDJAMMERS	W IH N D JH AE M ER Z
WINDJAMMING	W IH N D JH AE M IH NG
WINDJAMMINGS	W IH N D JH AE M IH NG Z
WOMMERA	W AA M AH R AH
WOMMERAS	W AA M AH R AH Z
YAMMER	Y AE M AH R
YAMMERED	Y AE M IY R D
YAMMERER	Y AE M IY R AH R
YAMMERERS	Y AE M AH R AH R Z
YAMMERING	Y AE M IY R AH NG
YAMMERS	Y AE M AH R Z
YELLOWHAMMER	Y EH L OW HH AE M ER
YELLOWHAMMERS	Y EH L OW HH AE M ER Z
YUMMIER	Y AH M AY AH R
YUMMIES	Y AH M IY Z
YUMMIEST	Y AH M AY AH S T
YUMMY	Y AH M IY
IHRAM	IH R AH M
OKES	OW K S
ONUS	OW N AH S
ROACH	R OW CH
FIACRE	F AY AH K AH R
VOCABLE	V OW K AH B AH L
OKRA	OW K R AH
