RE	R EY
CORELATES	K OW R IH L EY T S
CORELATING	K OW R IH L EY T IH NG
CORELESS	K OW R L AH S
CORELIGIONIST	K OW R IH L IH JH AH N IH S T
CORELIGIONISTS	K OW R IH L IH JH AH N IH S T S
COREMIA	K OW R AH M AY AH
COREMIUM	K OW R AH M IY AH M
COREOPSIS	K OW R IY AA P S AH S
COREPRESSOR	K OW R IY P R EH S ER
COREPRESSORS	K OW R IY P R EH S ER Z
COREQUISITE	K OW R EH K W AH Z AH T
COREQUISITES	K OW R EH K W AH Z AH T S
CORER	K OW R ER
CORERS	K OW R ER Z
CORES	K AO R Z
CORESEARCHER	K OW R IY S ER CH ER
CORESEARCHERS	K OW R IY S ER CH ER Z
CORESIDENT	K OW R EH Z AH D AH N T
CORESIDENTIAL	K OW R EH Z AH D EH N CH AH L
CORESIDENTS	K OW R EH Z AH D AH N T S
CORESPONDENT	K AO R AH S P AA N D AH N T
CORESPONDENTS	K OW R IH S P AA N D AH N T S
CORKSCREW	K AO R K S K R UW
CORKSCREWED	K AO R K S K R UW D
CORKSCREWING	K AO R K S K R UW IH NG
CORKSCREWS	K AO R K S K R UW Z
CORNBREAD	K AO R N B R EH D
CORNBREADS	K AO R N B R EH D Z
CORNERED	K AO R N ER D
CORPOREAL	K AO R P OW R IY AH L
CORPOREALITIES	K AO R P OW R IY AE L AH T IY Z
CORPOREALITY	K AO R P OW R IY AE L AH T IY
CORPOREALLY	K AO R P OW R IY AH L IY
CORPOREALNESS	K AO R P OW R IY AH L N AH S
CORPOREALNESSES	K AO R P OW R IY AH L N AH S IH Z
CORPOREITIES	K AA R P AH R AH T AY Z
CORPOREITY	K AA R P AH R IY AH T IY
CORRECT	K ER EH K T
CORRECTABLE	K AH R EH K T AH B AH L
CORRECTED	K ER EH K T AH D
CORRECTED(2)	K ER EH K T IH D
CORRECTER	K AH R EH K T ER
CORRECTEST	K AH R EH K T AH S T
CORRECTING	K ER EH K T IH NG
CORRECTION	K ER EH K SH AH N
CORRECTIONAL	K ER EH K SH AH N AH L
CORRECTIONS	K ER EH K SH AH N Z
CORRECTITUDE	K AH R EH K T AH T UW D
CORRECTITUDES	K AH R EH K T AH T UW D Z
CORRECTIVE	K ER EH K T IH V
CORRECTIVELY	K AH R EH K T IH V L IY
CORRECTIVES	K AH R EH K T IH V Z
CORRECTLY	K ER EH K T L IY
CORRECTNESS	K ER EH K T N AH S
CORRECTNESSES	K AH R EH K T N AH S IH Z
CORRECTOR	K AH R EH K T ER
CORRECTORS	K AH R EH K T ER Z
CORRECTS	K ER EH K T S
CORRELATABLE	K AO R AH L EY T AH B AH L
CORRELATE	K AO R AH L EY T
CORRELATE(2)	K AO R AH L AH T
CORRELATED	K AO R AH L EY T AH D
CORRELATES	K AO R AH L AH T S
CORRELATES(2)	K AO R AH L EY T S
CORRELATING	K AO R AH L EY T IH NG
CORRELATION	K AO R AH L EY SH AH N
CORRELATIONAL	K AO R AH L EY SH AH N AH L
CORRELATIONS	K AO R AH L EY SH AH N Z
CORRELATIVE	K AH R EH L AH T IH V
CORRELATIVELY	K AH R EH L AH T IH V L IY
CORRELATIVES	K AH R EH L AH T IH V Z
CORRELATOR	K AO R AH L EY T ER
CORRELATORS	K AO R AH L EY T ER Z
CORRESPOND	K AO R AH S P AA N D
CORRESPONDED	K AO R AH S P AA N D IH D
CORRESPONDENCE	K AO R AH S P AA N D AH N S
CORRESPONDENCES	K AO R AH S P AA N D AH N S IH Z
CORRESPONDENCIES	K AO R AH S P AA N D AH N S IY Z
CORRESPONDENCY	K AO R AH S P AA N D AH N S IY
CORRESPONDENT	K AO R AH S P AA N D AH N T
CORRESPONDENTS	K AO R AH S P AA N D AH N T S
CORRESPONDING	K AO R AH S P AA N D IH NG
CORRESPONDINGLY	K AO R AH S P AA N D IH NG L IY
CORRESPONDS	K AO R AH S P AA N D Z
CORRESPONSIVE	K AA R EH S AA N Z AH V
CORROBOREE	K AH R AA B AH R IY
CORROBOREES	K AH R AA B AH R IY Z
CORSETIERE	K AA R S AH T IY R
CORSETIERES	K AA R S AH T IY R Z
COSHERED	K OW SH IY R D
COSPONSORED	K OW S P AA N S ER D
COSTARRED	K OW S T AA R D
COSTREL	K AA S T R EH L
COSTRELS	K AA S T R EH L Z
COTRANSFERRED	K OW T R AE N S F ER D
COTTERED	K AA T ER D
COUNTERAGGRESSION	K AW N T ER AH G R EH SH AH N
COUNTERAGGRESSIONS	K AW N T ER AH G R EH SH AH N Z
COUNTERCOUNTERMEASURE	K AW N T ER K AW N T ER M EH ZH ER
COUNTERCOUNTERMEASURES	K AW N T ER K AW N T ER M EH ZH ER Z
COUNTERCULTURE	K AW N T ER K AH L CH ER
COUNTERCULTURE(2)	K AW N ER K AH L CH ER
COUNTERCULTURES	K AW N T ER K AH L CH ER Z
COUNTERCURRENT	K AW N T ER K ER AH N T
COUNTERCURRENTLY	K AW N T ER K ER AH N T L IY
COUNTERCURRENTS	K AW N T ER K ER AH N T S
COUNTERED	K AW N T ER D
COUNTERED(2)	K AW N ER D
COUNTEREDUCATIONAL	K AW N T ER EH JH AH K EY SH AH N AH L
COUNTEREFFORT	K AW N T ER EH F ER T
COUNTEREFFORTS	K AW N T ER EH F ER T S
COUNTERESPIONAGE	K AW N T ER EH S P IY AH N AA JH
COUNTERESPIONAGE(2)	K AW N ER EH S P Y AH N AA JH
COUNTERESPIONAGES	K AW N T ER EH S P IY AH N AA ZH IH Z
COUNTEREVIDENCE	K AW N T ER EH V AH D AH N S
COUNTEREVIDENCES	K AW N T ER EH V AH D AH N S IH Z
COUNTEREXAMPLE	K AW N T ER IH G Z AE M P AH L
COUNTEREXAMPLES	K AW N T ER IH G Z AE M P AH L Z
COUNTERFIRE	K AW N T ER F AY ER
COUNTERFIRED	K AW N T ER F AY ER D
COUNTERFIRES	K AW N T ER F AY ER Z
COUNTERINTERPRETATION	K AW N T ER IH N T ER P R AH T EY SH AH N
COUNTERINTERPRETATIONS	K AW N T ER IH N T ER P R AH T EY SH AH N Z
COUNTERMEASURE	K AW N T ER M EH ZH ER
COUNTERMEASURES	K AW N T ER M EH ZH ER Z
COUNTERORDERED	K AW N T ER AO R D ER D
COUNTERPRESSURE	K AW N T ER P R EH SH ER
COUNTERPRESSURES	K AW N T ER P R EH SH ER Z
COUNTERREACTION	K AW N T ER R IY AE K SH AH N
COUNTERREACTIONS	K AW N T ER R IY AE K SH AH N Z
COUNTERREFORM	K AW N T ER R IY F AO R M
COUNTERREFORMATION	K AW N T ER R EH F ER M EY SH AH N
COUNTERREFORMATIONS	K AW N T ER R EH F ER M EY SH AH N Z
COUNTERREFORMER	K AW N T ER R IY F AO R M ER
COUNTERREFORMERS	K AW N T ER R IY F AO R M ER Z
COUNTERREFORMS	K AW N T ER R IY F AO R M Z
COUNTERRESPONSE	K AW N T ER R IH S P AA N S
COUNTERRESPONSES	K AW N T ER R IH S P AA N S IH Z
COUNTERRETALIATION	K AW N T ER R IH T AE L IY EY SH AH N
COUNTERRETALIATIONS	K AW N T ER R IH T AE L IY EY SH AH N Z
COUNTERREVOLUTION	K AW N T ER R EH V AH L UW SH AH N
COUNTERREVOLUTIONARIES	K AW N T ER R EH V AH L UW SH AH N EH R IY Z
COUNTERREVOLUTIONARY	K AW N T ER R EH V AH L UW SH AH N EH R IY
COUNTERREVOLUTIONS	K AW N T ER R EH V AH L UW SH AH N Z
COUNTERSIGNATURE	K AW N T ER S IH G N AH CH UH R
COUNTERSIGNATURES	K AW N T ER S IH G N AH CH UH R Z
COUNTERSTREAM	K AW N T ER S T R IY M
COUNTERSTREAMS	K AW N T ER S T R IY M Z
COUNTERTHREAT	K AW N T ER TH R EH T
COUNTERTHREATS	K AW N T ER TH R EH T S
COUNTERTRANSFERENCE	K AW N T ER T R AE N S F ER AH N S
COUNTERTRANSFERENCES	K AW N T ER T R AE N S F ER AH N S IH Z
COUNTERTREND	K AW N T ER T R EH N D
COUNTERTRENDS	K AW N T ER T R EH N D Z
COURSEWARE	K OW R S W EH R
COURSEWARES	K OW R S W EH R Z
COUTURE	K UW T UH R
COUTURES	K OW Y UW T Y AH R Z
COUTURIERE	K OW Y UW T Y AH R IY R
COUTURIERES	K OW Y UW T Y AH R IY R Z
COVERED	K AH V ER D
COVERER	K OW V EH R ER
COVERERS	K OW V EH R ER Z
COVERTURE	K AH V ER CH ER
COVERTURES	K AH V ER CH ER Z
COWERED	K AW ER D
CRACKLEWARE	K R AE K AH L W EH R
CRACKLEWARES	K R AE K AH L W EH R Z
CRANIOCEREBRAL	K R EY N IY AA S AH R EH B R AH L
CRANREUCH	K R AE N R UW CH
CRANREUCHS	K R AE N R UW CH S
CRATERED	K R EY T ER D
CREAK	K R IY K
CREAKED	K R IY K T
CREAKIER	K R IY K IY ER
CREAKIEST	K R IY K IY AH S T
CREAKILY	K R IY K IY L IY
CREAKINESS	K R IY K IY N AH S
CREAKINESSES	K R IY K IY N AH S IH Z
CREAKING	K R IY K IH NG
CREAKS	K R IY K S
CREAKY	K R IY K IY
CREAM	K R IY M
CREAMCUPS	K R IY M K AH P S
CREAMED	K R IY M D
CREAMER	K R IY M ER
CREAMERIES	K R IY M AH R IY Z
CREAMERS	K R IY M ER Z
CREAMERY	K R IY M ER IY
CREAMIER	K R IY M IY ER
CREAMIEST	K R IY M IY IH S T
CREAMILY	K R IY M IY L IY
CREAMINESS	K R IY M IY N AH S
CREAMINESSES	K R IY M IY N AH S IH Z
CREAMING	K R IY M IH NG
CREAMPUFF	K R IY M P AH F
CREAMPUFFS	K R IY M P AH F S
CREAMS	K R IY M Z
CREAMWARE	K R IY M W EH R
CREAMWARES	K R IY M W EH R Z
CREAMY	K R IY M IY
CREASE	K R IY S
CREASED	K R IY S T
CREASELESS	K R IY S L AH S
CREASER	K R IY S ER
CREASERS	K R IY S ER Z
CREASES	K R IY S IH Z
CREASIER	K R IY S IY ER
CREASIEST	K R IY S IY AH S T
CREASING	K R IY S IH NG
CREASY	K R IY S IY
CREATE	K R IY EY T
CREATED	K R IY EY T AH D
CREATED(2)	K R IY EY T IH D
CREATES	K R IY EY T S
CREATIN	K R IY T AH N
CREATINE	K R IY T AY N
CREATINES	K R IY T AY N Z
CREATING	K R IY EY T IH NG
CREATININE	K R IY T AH N AY N
CREATININES	K R IY T AH N AY N Z
CREATINS	K R IY T AH N Z
CREATION	K R IY EY SH AH N
CREATIONISM	K R IY EY SH AH N IH Z AH M
CREATIONISMS	K R IY EY SH AH N IH Z AH M Z
CREATIONIST	K R IY EY SH AH N IH S T
CREATIONISTS	K R IY EY SH AH N IH S T S
CREATIONS	K R IY EY SH AH N Z
CREATIVE	K R IY EY T IH V
CREATIVELY	K R IY EY T IH V L IY
CREATIVENESS	K R IY EY T IH V N AH S
CREATIVENESSES	K R IY EY T IH V N AH S IH Z
CREATIVITIES	K R IY EY T IH V AH T IY Z
CREATIVITY	K R IY EY T IH V AH T IY
CREATOR	K R IY EY T ER
CREATORS	K R IY EY T ER Z
CREATURAL	K R IY CH ER AH L
CREATURE	K R IY CH ER
CREATUREHOOD	K R IY CH ER HH UH D
CREATUREHOODS	K R IY CH ER HH UH D Z
CREATURELINESS	K R IY CH ER L IY N AH S
CREATURELINESSES	K R IY CH ER L IY N AH S IH Z
CREATURELY	K R IY CH ER L IY
CREATURES	K R IY CH ER Z
CRECHE	K R EH SH
CRECHES	K R EH SH AH Z
CREDAL	K R EH D AH L
CREDENCE	K R IY D AH N S
CREDENCES	K R EH D AH N S IH Z
CREDENDA	K R AH D EH N D AH
CREDENDUM	K R AH D EH N D AH M
CREDENT	K R EH D AH N T
CREDENTIAL	K R IH D EH N SH AH L
CREDENTIAL(2)	K R AH D EH N SH AH L
CREDENTIALED	K R AH D EH N SH AH L D
CREDENTIALING	K R IH D EH N CH AH L IH NG
CREDENTIALISM	K R IH D EH N CH AH L IH Z AH M
CREDENTIALISMS	K R IH D EH N CH AH L IH Z AH M Z
CREDENTIALLED	K R IH D EH N CH AH L D
CREDENTIALLING	K R IH D EH N CH AH L IH NG
CREDENTIALS	K R AH D EH N SH AH L Z
CREDENZA	K R AH D EH N Z AH
CREDENZAS	K R AH D EH N Z AH Z
CREDIBILITIES	K R EH D AH B IH L AH T IY Z
CREDIBILITY	K R EH D AH B IH L IH T IY
CREDIBLE	K R EH D AH B AH L
CREDIBLY	K R EH D AH B L IY
CREDIT	K R EH D AH T
CREDIT(2)	K R EH D IH T
CREDITABILITIES	K R EH D AH T AH B IH L AH T EH Z
CREDITABILITY	K R EH D AH T AH B IH L AH T EH
CREDITABLE	K R EH D AH T AH B AH L
CREDITABLENESS	K R EH D AH T AH B AH L N AH S
CREDITABLENESSES	K R EH D AH T AH B AH L N AH S IH Z
CREDITABLY	K R EH D AH T AH B L IY
CREDITED	K R EH D AH T AH D
CREDITED(2)	K R EH D IH T IH D
CREDITING	K R EH D AH T IH NG
CREDITOR	K R EH D AH T ER
CREDITOR(2)	K R EH D IH T ER
CREDITORS	K R EH D IH T ER Z
CREDITS	K R EH D IH T S
CREDITWORTHINESS	K R EH D IH T W ER DH IY N AH S
CREDITWORTHINESSES	K R EH D AH T W ER DH IY N AH S IH Z
CREDITWORTHY	K R EH D IH T W ER DH IY
CREDO	K R EY D OW
CREDO(2)	K R IY D OW
CREDOS	K R EY D OW Z
CREDULITIES	K R IH D UW L AH T IY Z
CREDULITY	K R IH D UW L AH T IY
CREDULOUS	K R EH JH AH L AH S
CREDULOUSLY	K R EH JH AH L AH S L IY
CREDULOUSNESS	K R EH JH AH L AH S N AH S
CREDULOUSNESSES	K R EH JH AH L AH S N AH S IH Z
CREED	K R IY D
CREEDAL	K R IY D AH L
CREEDS	K R IY D Z
CREEK	K R IY K
CREEKS	K R IY K S
CREEL	K R IY L
CREELED	K R IY L D
CREELING	K R IY L AH NG
CREELS	K R IY L Z
CREEP	K R IY P
CREEPAGE	K R IY P IH JH
CREEPAGES	K R IY P IH JH IH Z
CREEPER	K R IY P ER
CREEPERS	K R IY P ER Z
CREEPIE	K R IY P IY
CREEPIER	K R IY P IY ER
CREEPIES	K R IY P IY Z
CREEPIEST	K R IY P IY AH S T
CREEPILY	K R IY P IY L IY
CREEPINESS	K R IY P IY N IH S
CREEPINESSES	K R IY P IY N AH S IH Z
CREEPING	K R IY P IH NG
CREEPS	K R IY P S
CREEPY	K R IY P IY
CREESE	K R IY Z
CREESES	K R IY Z AH Z
CREESH	K R IY SH
CREESHED	K R IY SH T
CREESHES	K R IY SH AH Z
CREESHING	K R IY SH AH NG
CREMAINS	K R AH M EY N Z
CREMATE	K R IY M EY T
CREMATED	K R IY M EY T IH D
CREMATES	K R IY M EY T S
CREMATING	K R IY M EY T IH NG
CREMATION	K R IY M EY SH AH N
CREMATIONS	K R IY M EY SH AH N Z
CREMATOR	K R IY M EY T ER
CREMATORIA	K R IY M AH T AO R IY AH
CREMATORIES	K R IY M EY T ER IY Z
CREMATORIUM	K R IY M AH T AO R IY AH M
CREMATORIUMS	K R EH M AH T AO R IY AH M Z
CREMATORS	K R IY M EY T ER Z
CREMATORY	K R IY M EY T ER IY
CREME	K R IY M
CREMES	K R IY M Z
CRENATE	K R IY N EY T
CRENATED	K R IY N EY T AH D
CRENATION	K R IY N EY SH AH N
CRENATIONS	K R AH N EY T IY AH N Z
CRENEL	K R EH N AH L
CRENELATED	K R EH N AH L EY T AH D
CRENELATION	K R EH N AH L EY SH AH N
CRENELATIONS	K R EH N AH L EY T IY AH N Z
CRENELED	K R AH N IY L D
CRENELING	K R AH N IY L AH NG
CRENELLATED	K R EH N AH L EY T AH D
CRENELLATION	K R EH N AH L EY SH AH N
CRENELLATIONS	K R EH N AH L EY T IY AH N Z
CRENELLE	K R EH N AH L
CRENELLED	K R EH N AH L D
CRENELLES	K R EH N AH L Z
CRENELLING	K R AH N EH L AH NG
CRENELS	K R EH N AH L Z
CRENULATE	K R IY N Y AH L EY T
CRENULATED	K R IY N Y AH L EY T AH D
CRENULATION	K R IY N Y AH L EY SH AH N
CRENULATIONS	K R EH N Y AH L EY T IY AH N Z
CREODONT	K R IY AH D AH N T
CREODONTA	K R IY AH D AA N T AH
CREODONTS	K R IY AH D AH N T S
CREOLE	K R IY OW L
CREOLES	K R IY OW L Z
CREOLISE	K R IY AH L AY Z
CREOLISED	K R IY OW L IY Z D
CREOLISES	K R IY OW L IY Z IH Z
CREOLISING	K R IY OW L IY Z IH NG
CREOLIZATION	K R IY OW L AH Z EY SH AH N
CREOLIZATIONS	K R IY OW L AH Z EY SH AH N Z
CREOLIZE	K R IY OW L AY Z
CREOLIZED	K R IY OW L AY Z D
CREOLIZES	K R IY OW L AY Z IH Z
CREOLIZING	K R IY OW L AY Z IH NG
CREOSOL	K R IY AH S AH L
CREOSOLS	K R IY AH S AH L Z
CREOSOTE	K R IY AH S OW T
CREOSOTED	K R IY AH S OW T AH D
CREOSOTES	K R IY AH S OW T S
CREOSOTING	K R IY AH S OW T AH NG
CREPE	K R EY P
CREPED	K R EY P T
CREPES	K R EY P S
CREPEY	K R EY P IY
CREPIER	K R EY P IY ER
CREPIEST	K R EY P IY AH S T
CREPING	K R EY P IH NG
CREPITANT	K R EH P AH T AH N T
CREPITATE	K R EH P AH T EY T
CREPITATED	K R EH P AH T EY T AH D
CREPITATES	K R EH P AH T EY T S
CREPITATING	K R EH P AH T EY T AH NG
CREPITATION	K R EH P AH T EY SH AH N
CREPITATIONS	K R EH P AH T EY T IY AH N Z
CREPON	K R EH P AH N
CREPONS	K R EH P AH N Z
CREPT	K R EH P T
CREPUSCLE	K R EH P AH S AH L
CREPUSCLES	K R EH P AH S AH L Z
CREPUSCULAR	K R AH P AH S Y AH L AH R
CREPUSCULE	K R EH P AH S Y UW L
CREPUSCULES	K R EH P AH S Y UW L Z
CREPY	K R EY P IY
CRESCENDI	K R EH S EH N D IY
CRESCENDO	K R IH SH EH N D OW
CRESCENDOED	K R IH SH EH N D OW D
CRESCENDOES	K R IH SH EH N D OW Z
CRESCENDOING	K R IH SH EH N D OW IH NG
CRESCENDOS	K R IH SH EH N D OW Z
CRESCENT	K R EH S AH N T
CRESCENTIC	K R EH S AH N T IH K
CRESCENTS	K R EH S AH N T S
CRESCIVE	K R EH S IH V
CRESCIVELY	K R EH S IH V L IY
CRESOL	K R EH S AH L
CRESOLS	K R EH S AH L Z
CRESS	K R EH S
CRESSES	K R EH S AH Z
CRESSES(2)	K R EH S IH Z
CRESSET	K R EH S AH T
CRESSETS	K R EH S AH T S
CREST	K R EH S T
CRESTAL	K R EH S T AH L
CRESTED	K R EH S T IH D
CRESTFALLEN	K R EH S T F AO L AH N
CRESTFALLENLY	K R EH S T F AE L AH N L IY
CRESTFALLENNESS	K R EH S T F AE L AH N AH S
CRESTFALLENNESSES	K R EH S T F AE L AH N AH S IH Z
CRESTING	K R EH S T IH NG
CRESTINGS	K R EH S T IH NG Z
CRESTLESS	K R EH S T L AH S
CRESTS	K R EH S T S
CRESYL	K R EH S AH L
CRESYLIC	K R EH S AH L AH K
CRESYLS	K R EH S AH L Z
CRETIC	K R IY T AH K
CRETICS	K R IY T AH S Z
CRETIN	K R IY T AH N
CRETINISM	K R EH T AH N IH Z AH M
CRETINISMS	K R EH T AH N AH Z AH M Z
CRETINOUS	K R EH T AH N AH S
CRETINS	K R EH T AH N Z
CRETONNE	K R EH T AH N
CRETONNES	K R EH T AH N Z
CREVALLE	K R EH V AH L
CREVALLES	K R EH V AH L Z
CREVASSE	K R AH V AE S
CREVASSED	K R EH V AH S T
CREVASSES	K R AH V AE S AH Z
CREVASSING	K R AH V AE S AH NG
CREVICE	K R EH V AH S
CREVICED	K R EH V AH S T
CREVICES	K R EH V AH S IH Z
CREW	K R UW
CREWCUT	K R UW K AH T
CREWCUTS	K R UW K AH T S
CREWED	K R UW D
CREWEL	K R UW AH L
CREWELS	K R UW AH L Z
CREWELWORK	K R UW AH L W ER K
CREWELWORKS	K R UW AH L W ER K S
CREWING	K R UW IH NG
CREWLESS	K R UW L AH S
CREWMAN	K R UW M AH N
CREWMATE	K R UW M EY T
CREWMATES	K R UW M EY T S
CREWMEN	K R UW M IH N
CREWNECK	K R UW N EH K
CREWNECKS	K R UW N EH K S
CREWS	K R UW Z
CRISPBREAD	K R IH S P B R EH D
CRISPBREADS	K R IH S P B R EH D Z
CRORE	K R AO R
CRORES	K R AO R Z
CROSSBARRED	K R AO S B AA R D
CROSSBEARER	K R AO S B AE ER ER
CROSSBEARERS	K R AO S B AE ER ER Z
CROSSBRED	K R AO S B R EH D
CROSSBREDS	K R AO S B R EH D Z
CROSSBREED	K R AO S B R IY D
CROSSBREEDING	K R AO S B R IY D IH NG
CROSSBREEDS	K R AO S B R IY D Z
CROSSCURRENT	K R AO S K ER AH N T
CROSSCURRENTS	K R AO S K ER AH N T S
CROSSFIRE	K R AO S F AY R
CROSSFIRES	K R AO S F AY ER Z
CROSSTREES	K R AO S T R IY Z
CROWBARRED	K R OW B AA R D
CRYOPRESERVATION	K R AY AA P R EH S AH R V EY SH AH N
CRYOPRESERVATIONS	K R AY AA P R AH S AH R V EY T IY AH N Z
CRYOPRESERVE	K R AY AA P R AH S AH R V
CRYOPRESERVED	K R AY AA P R AH S AH R V D
CRYOPRESERVES	K R AY AA P R AH S AH R V Z
CRYOPRESERVING	K R AY AA P R AH S AH R V AH NG
CTENOPHORE	K T EH N AH F AH R
CTENOPHORES	K T EH N AH F AH R Z
CUBATURE	K Y UW B AH CH ER
CUBATURES	K Y UW B AH CH ER Z
CULTURE	K AH L CH ER
CULTURED	K AH L CH ER D
CULTURES	K AH L CH ER Z
CUMBERED	K AH M B ER D
CUMBERER	K AH M B ER ER
CUMBERERS	K AH M B ER ER Z
CUPBEARER	K AH P B AE ER ER
CUPBEARERS	K AH P B AE ER ER Z
CUPREOUS	K AH P R IY AH S
CURARE	K Y UW R AE R EY
CURARES	K Y UH R AH R Z
CURE	K Y UH R
CURED	K Y UH R D
CURELESS	K Y UH R L AH S
CURER	K Y UH R ER
CURERS	K Y UH R ER Z
CURES	K Y UH R Z
CURET	K Y UH R EH T
CURETS	K Y UH R EH T S
CURETTAGE	K Y UH R EH T IH JH
CURETTAGES	K Y UH R EH T IH JH IH Z
CURETTE	K Y UH R EH T
CURETTED	K Y UH R EH T IH D
CURETTEMENT	K Y UH R EH T M AH N T
CURETTEMENTS	K Y UH R EH T M AH N T S
CURETTES	K Y UH R EH T S
CURETTING	K Y UH R EH T IH NG
CURRED	K ER D
CURRENCIES	K ER AH N S IY Z
CURRENCY	K ER AH N S IY
CURRENT	K ER AH N T
CURRENT(2)	K ER N T
CURRENT(3)	K AA R AH N T
CURRENTLY	K ER AH N T L IY
CURRENTNESS	K ER AH N T N AH S
CURRENTNESSES	K ER AH N T N AH S IH Z
CURRENTS	K ER AH N T S
CURVATURE	K ER V AH CH ER
CURVATURES	K ER V AH CH UH R Z
CYLINDERED	S IH L AH N D ER D
CYNOSURE	S AH N AA ZH Y AH R
CYNOSURES	S AH N AA ZH Y AH R Z
CYPHERED	S AH F IY R D
CYPRES	S AY P AH R Z
CYPRESES	S IH P R IY Z AH Z
CYPRESS	S AY P R AH S
CYPRESS(2)	S AY P R IH S
CYPRESSES	S AY P R AH S IH Z
CYTODIFFERENTIATION	S AH T AH D IH F AH R EH N T AY EY SH AH N
CYTODIFFERENTIATIONS	S AH T AH D AH F AH R EH N T IY EY T IY AH N Z
CZAREVITCH	K Z AE R AH V AH CH
CZAREVITCHES	K Z AH R EH V AH CH AH Z
CZAREVNA	K Z AH R EH V N AH
CZAREVNAS	K Z AH R EH V N AH Z
DACKERED	D AE K IY R D
DAGGERED	D AE G ER D
DAGUERREOTYPE	D AE G W EH R IY AH T AY P
DAGUERREOTYPED	D AE G W EH R IY AH T AY P T
DAGUERREOTYPES	D AE G W EH R IY AH T AY P S
DAGUERREOTYPIES	D AE G W EH R IY AA T AH P AY Z
DAGUERREOTYPING	D AE G W EH R IY AH T AY P AH NG
DAGUERREOTYPIST	D AE G W EH R IY AA T AH P AH S T
DAGUERREOTYPISTS	D AE G W EH R IY AA T AH P AH S T S
DAGUERREOTYPY	D AE G W EH R IY AA T AH P IY
DAIKERED	D EY K IY R D
DANDERED	D AE N D IY R D
DANGERED	D EY N JH ER D
DAPPERER	D AE P ER ER
DAPPEREST	D AE P ER AH S T
DARE	D EH R
DARED	D EH R D
DAREDEVIL	D EH R D EH V AH L
DAREDEVILRIES	D EH R D EH V AH L R IY Z
DAREDEVILRY	D EH R D EH V AH L R IY
DAREDEVILS	D EH R D EH V AH L Z
DAREDEVILTRIES	D EH R D EH V AH L T R AY Z
DAREDEVILTRY	D EH R D EH V AH L T R AY
DAREFUL	D EH R F AH L
DARER	D EH R ER
DARERS	D EH R ER Z
DARES	D EH R Z
DARESAY	D EH R S EY
DASYURE	D AH S AY Y AH R
DASYURES	D AH S AY Y AH R Z
DAUNDERED	D AO N D IY R D
DAYBREAK	D EY B R EY K
DAYBREAKS	D EY B R EY K S
DAYDREAM	D EY D R IY M
DAYDREAMED	D EY D R IY M D
DAYDREAMER	D EY D R IY M ER
DAYDREAMERS	D EY D R IY M ER Z
DAYDREAMING	D EY D R IY M IH NG
DAYDREAMLIKE	D EY D R IY M L AY K
DAYDREAMS	D EY D R IY M Z
DAYDREAMT	D EY D R EH M T
DAYMARE	D EY M EH R
DAYMARES	D EY M EH R Z
DEAIRED	D IY EH R D
DEARER	D IH R ER
DEAREST	D IH R AH S T
DEBARRED	D IY B AA R D
DEBENTURE	D AH B EH N CH ER
DEBENTURES	D AH B EH N CH ER Z
DECARE	D IY K EH R
DECARES	D IY K EH R Z
DECENTERED	D IY S EH N T ER D
DECENTRE	D IY S EH N T ER
DECENTRED	D IY S EH N T ER D
DECENTRES	D IY S EH N T ER Z
DECEREBRATE	D IY S EH R AH B R AH T
DECEREBRATED	D IY S EH R AH B R EY T IH D
DECEREBRATES	D IY S EH R AH B R AH T S
DECEREBRATING	D IY S EH R AH B R EY T IH NG
DECEREBRATION	D IY S EH R AH B R EY SH AH N
DECEREBRATIONS	D IY S EH R AH B R EY SH AH N Z
DECIARE	D AH S AY AH R
DECIARES	D AH S AY AH R Z
DECIPHERED	D IH S AY F ER D
DECIPHERER	D IY S AY F ER ER
DECIPHERERS	D IY S AY F ER ER Z
DECLARE	D IH K L EH R
DECLARED	D IH K L EH R D
DECLARER	D IY K L AE R ER
DECLARERS	D IY K L AE R ER Z
DECLARES	D IH K L EH R Z
DECOLORED	D IY K AH L ER D
DECOLOURED	D IY K AH L ER D
DECOMPRESS	D IY K AH M P R EH S
DECOMPRESSED	D IY K AH M P R EH S T
DECOMPRESSES	D IY K AH M P R EH S IH Z
DECOMPRESSING	D IY K AH M P R EH S IH NG
DECOMPRESSION	D IY K AH M P R EH SH AH N
DECOMPRESSIONS	D IY K AH M P R EH SH AH N Z
DECREASE	D IH K R IY S
DECREASE(2)	D IY K R IY S
DECREASED	D IH K R IY S T
DECREASED(2)	D IY K R IY S T
DECREASES	D IH K R IY S AH Z
DECREASES(2)	D IH K R IY S IH Z
DECREASES(3)	D IY K R IY S IH Z
DECREASING	D IH K R IY S IH NG
DECREASING(2)	D IY K R IY S IH NG
DECREASINGLY	D IH K R IY S IH NG L IY
DECREE	D IH K R IY
DECREED	D IH K R IY D
DECREEING	D IH K R IY IH NG
DECREER	D EH K R IH R
DECREERS	D IH K R IH R Z
DECREES	D IH K R IY Z
DECREMENT	D EH K R AH M AH N T
DECREMENTAL	D EH K R AH M AH N T AH L
DECREMENTED	D EH K R AH M AH N T IH D
DECREMENTING	D EH K R AH M AH N T IH NG
DECREMENTS	D EH K R AH M AH N T S
DECREPIT	D AH K R EH P IH T
DECREPITATE	D IH K R EH P AH T EY T
