KI	K IY
SPOOKING	S P UW K IH NG
SPOOKISH	S P UW K IH SH
SPUNKIE	S P AH NG K AY
SPUNKIER	S P AH NG K AY AH R
SPUNKIES	S P AH NG K AY Z
SPUNKIEST	S P AH NG K AY AH S T
SPUNKILY	S P AH NG K AH L IY
SPUNKINESS	S P AH N K IH N AH S
SPUNKINESSES	S P AH N K IH N AH S IH Z
SPUNKING	S P AH N K IH NG
SQUAWKING	S K W AO K IH NG
SQUEAKIER	S K W IY K IY ER
SQUEAKIEST	S K W IY K IY AH S T
SQUEAKING	S K W IY K IH NG
STACKING	S T AE K IH NG
STAKING	S T EY K IH NG
STALKIER	S T AO K IY ER
STALKIEST	S T AO K IY AH S T
STALKILY	S T AO K IY L IY
STALKING	S T AO K IH NG
STEEKING	S T IY K AH NG
STEELMAKING	S T IY L M EY K IH NG
STEELMAKINGS	S T IY L M EY K IH NG Z
STENOKIES	S T EH N AH K AY Z
STICKIER	S T IH K IY ER
STICKIEST	S T IH K IY AH S T
STICKILY	S T IH K IY L IY
STICKINESS	S T IH K IY N AH S
STICKINESSES	S T IH K IY N AH S IH Z
STICKING	S T IH K IH NG
STICKIT	S T IH K AH T
STINKIER	S T IH NG K IY ER
STINKIEST	S T IH NG K IY AH S T
STINKING	S T IH NG K IH NG
STINKINGLY	S T IH NG K IH NG L IY
STOCKBROKING	S T AA K B R OW K IH NG
STOCKBROKINGS	S T AA K B R OW K IH NG Z
STOCKIER	S T AA K IY ER
STOCKIEST	S T AA K IY AH S T
STOCKILY	S T AA K IY L IY
STOCKINESS	S T AA K IY N AH S
STOCKINESSES	S T AA K IY N AH S IH Z
STOCKINET	S T AA K AH N AH T
STOCKINETS	S T AA K AH N AH T S
STOCKINETTE	S T AA K IH N EH T
STOCKINETTES	S T AA K IH N EH T S
STOCKING	S T AA K IH NG
STOCKINGED	S T AA K IH NG D
STOCKINGS	S T AA K IH NG Z
STOCKISH	S T AA K IH SH
STOCKIST	S T AA K IH S T
STOCKISTS	S T AA K IH S T S
STOCKTAKING	S T AA K T EY K IH NG
STOCKTAKINGS	S T AA K T EY K IH NG Z
STOKING	S T OW K IH NG
STOOKING	S T UW K AH NG
STOTINKI	S T AH T IH NG K IY
STREAKIER	S T R IY K IY ER
STREAKIEST	S T R IY K IY AH S T
STREAKINESS	S T R IY K IY N AH S
STREAKINESSES	S T R IY K IY N AH S IH Z
STREAKING	S T R IY K IH NG
STREAKINGS	S T R IY K IH NG Z
STREEKING	S T R IY K AH NG
STREETWALKING	S T R IY T W AO K IH NG
STREETWALKINGS	S T R IY T W AO K IH NG Z
STREPTOKINASE	S T R EH P T AH K AY N EY S
STREPTOKINASE(2)	S T R EH P T OW K AY N EY Z
STREPTOKINASES	S T R EH P T AA K AH N EY Z AH Z
STRIKEBREAKING	S T R AY K B R EY K IH NG
STRIKEBREAKINGS	S T R AY K B R EY K IH NG Z
STRIKING	S T R AY K IH NG
STRIKINGLY	S T R AY K IH NG L IY
STROKING	S T R OW K IH NG
SUBKINGDOM	S AH B K IH NG D AH M
SUBKINGDOMS	S AH B K IH NG D AH M Z
SUBSKILL	S AH B S K IH L
SUBSKILLS	S AH B S K IH L Z
SUCKING	S AH K IH NG
SUKIYAKI	S UW K IY AA K IY
SUKIYAKIS	S UW K IY AY AH K AH S
SULKIER	S AH L K IY ER
SULKIES	S AH L K IY Z
SULKIEST	S AH L K IY AH S T
SULKILY	S AH L K IY L IY
SULKINESS	S AH L K IY N AH S
SULKINESSES	S AH L K IY N AH S IH Z
SULKING	S AH L K IH NG
SWANKIER	S W AE NG K IY ER
SWANKIEST	S W AE NG K IY AH S T
SWANKILY	S W AE NG K IY L IY
SWANKINESS	S W AE NG K IY N AH S
SWANKINESSES	S W AE NG K IY N AH S IH Z
SWANKING	S W AE NG K IH NG
SWANSKIN	S W AA N S K IH N
SWANSKINS	S W AA N S K IH N Z
SWINKING	S W IH NG K AH NG
SWITCHBACKING	S W IH CH B AE K IH NG
TACKIER	T AE K IY ER
TACKIEST	T AE K IY AH S T
TACKIFIED	T AE K AH F AY D
TACKIFIER	T AE K AH F AY ER
TACKIFIERS	T AE K AH F AY ER Z
TACKIFIES	T AE K AH F AY Z
TACKIFY	T AE K AH F AY
TACKIFYING	T AE K AH F AY IH NG
TACKILY	T AE K IY L IY
TACKINESS	T AE K IY N AH S
TACKINESSES	T AE K IY N AH S IH Z
TACKING	T AE K IH NG
TAILSKID	T EY L S K IH D
TAILSKIDS	T EY L S K IH D Z
TAKIN	T AE K AH N
TAKING	T EY K IH NG
TAKINGLY	T EY K IH NG L IY
TAKINGS	T EY K IH NG Z
TAKINS	T AE K AH N Z
TALCKING	T AE L K AH NG
TALKIE	T AO K IY
TALKIER	T AO K IY ER
TALKIES	T AO K IY Z
TALKIEST	T AO K IY AH S T
TALKINESS	T AO K IY N AH S
TALKINESSES	T AO K IY N AH S IH Z
TALKING	T AO K IH NG
TALKINGS	T AO K IH NG Z
TANKING	T AE NG K IH NG
TANUKI	T AE N Y AH K IY
TANUKIS	T AE N Y UW K AH S
TASKING	T AE S K IH NG
TELEKINESES	T AH L EH K AH N IY Z AH Z
TELEKINESIS	T EH L AH K AY N AH S AH S
TELEKINETIC	T EH L AH K AH N EH T IH K
TELEKINETICALLY	T EH L AH K AH N EH T IH K AH L IY
TERIYAKI	T EH R IH Y AA K IY
TERIYAKIS	T IY R IY AY AH K AH S
TEXTBOOKISH	T EH K S T B UH K IH SH
THACKING	TH AE K AH NG
THANKING	TH AE NG K IH NG
THICKISH	TH IH K IH SH
THINKING	TH IH NG K IH NG
THINKINGLY	TH IH NG K IH NG L IY
THINKINGNESS	TH IH N K IH NG N AH S
THINKINGNESSES	TH IH N K IH NG N AH S IH Z
THINKINGS	TH IH NG K IH NG Z
THROMBOKINASE	TH R AA M B AA K AH N EY Z
THROMBOKINASES	TH R AA M B AA K AH N EY Z AH Z
THUMBKIN	TH AH M K IH N
THUMBKINS	TH AH M K IH N Z
THUMBTACKING	TH AH M T AE K IH NG
THUNDERSTRIKING	TH AH N D ER S T R AY K IH NG
THUNKING	TH AH NG K AH NG
THWACKING	TH W AE K IH NG
TICKING	T IH K IH NG
TICKINGS	T IH K IH NG Z
TICKTACKING	T IH K T AE K IH NG
TICKTOCKING	T IH K T AA K AH NG
TICTACKING	T IH K T AE K AH NG
TICTOCKING	T IH K T AA K AH NG
TIEBREAKING	T AY B R EY K IH NG
TIKI	T IY K IY
TIKIS	T AY K AH S
TOKING	T OW K AH NG
TOMAHAWKING	T AA M AH HH AO K IH NG
TOOLMAKING	T UW L M EY K IH NG
TOOLMAKINGS	T UW L M EY K IH NG Z
TOPKICK	T AA P K IH K
TOPKICKS	T AA P K IH K S
TOPWORKING	T AA P W ER K IH NG
TRACKING	T R AE K IH NG
TRACKINGS	T R AE K IH NG Z
TRADEMARKING	T R EY D M AA R K IH NG
TRAFFICKING	T R AE F IH K IH NG
TRAIKING	T R EY K AH NG
TREKKING	T R EH K IH NG
TRICKIE	T R IH K IY
TRICKIER	T R IH K IY ER
TRICKIEST	T R IH K IY AH S T
TRICKILY	T R IH K IY L IY
TRICKINESS	T R IH K IY N AH S
TRICKINESSES	T R IH K IY N AH S IH Z
TRICKING	T R IH K IH NG
TRICKISH	T R IH K IH SH
TRICKISHLY	T R IH K IH SH L IY
TRICKISHNESS	T R IH K IH SH N AH S
TRICKISHNESSES	T R IH K IH SH N AH S IH Z
TROAKING	T R OW K AH NG
TROCKING	T R AA K AH NG
TROKING	T R OW K AH NG
TROUBLEMAKING	T R AH B AH L M EY K IH NG
TROUBLEMAKINGS	T R AH B AH L M EY K IH NG Z
TRUCKING	T R AH K IH NG
TRUCKINGS	T R AH K IH NG Z
TSKING	T S K IH NG
TSKTSKING	T S K T S K IH NG
TUCKING	T AH K IH NG
TURFSKI	T ER F S K IY
TURFSKIING	T ER F S K AY IH NG
TURFSKIINGS	T ER F S K AY IH NG Z
TURFSKIS	T ER F S K AY Z
TUSKING	T AH S K IH NG
TWANKIES	T W AA NG K AY Z
TWEAKIER	T W IY K AY AH R
TWEAKIEST	T W IY K AY AH S T
TWEAKING	T W IY K IH NG
TZADDIKIM	T S AE D AH K AH M
UNAKIN	AH N AH K IH N
UNAKITE	AH N AH K AY T
UNAKITES	AH N AH K AY T S
UNBLINKING	AH N B L IH NG K IH NG
UNBLINKINGLY	AH N B L IH NG K IH NG L IY
UNBLOCKING	AH N B L AA K IH NG
UNBOOKISH	AH N B UH K IH SH
UNBRAKING	AH N B R EY K IH NG
UNCAKING	AH N K EY K IH NG
UNCHOKING	AH N CH OW K IH NG
UNCLOAKING	AH N K L OW K IH NG
UNCOCKING	AH N K AA K IH NG
UNCORKING	AH N K AO R K IH NG
UNDERSKIRT	AH N D ER S K ER T
UNDERSKIRTS	AH N D ER S K ER T S
UNDERTAKING	AH N D ER T EY K IH NG
UNDERTAKINGS	AH N D ER T EY K IH NG Z
UNDOCKING	AH N D AA K IH NG
UNFROCKING	AH N F R AA K IH NG
UNHOOKING	AH N HH UH K IH NG
UNHUSKING	AH N HH AH S K IH NG
UNKIND	AH N K AY N D
UNKINDER	AH N K AY N D ER
UNKINDEST	AH N K AY N D IH S T
UNKINDLIER	AH N K AY N D L IY ER
UNKINDLIEST	AH N K AY N D L IY AH S T
UNKINDLINESS	AH N K AY N D L IY N AH S
UNKINDLINESSES	AH N K AY N D L IY N AH S IH Z
UNKINDLY	AH N K AY N D L IY
UNKINDNESS	AH N K AY N D N AH S
UNKINDNESSES	AH N K AY N D N AH S IH Z
UNKINGLY	AH N K IH NG L IY
UNKINK	AH N K IH NG K
UNKINKED	AH N K IH NG K T
UNKINKING	AH N K IH N K IH NG
UNKINKS	AH N K IH NG K S
UNKISSED	AH N K IH S T
UNLINKING	AH N L IH NG K IH NG
UNLOCKING	AH N L AA K IH NG
UNLUCKIER	AH N L UW S IY ER
UNLUCKIEST	AH N L UW S IY AH S T
UNLUCKILY	AH N L UW S IY L IY
UNLUCKINESS	AH N L UW S IY N AH S
UNLUCKINESSES	AH N L UW S IY N AH S IH Z
UNMAKING	AH N M EY K IH NG
UNMASKING	AH N M AE S K IH NG
UNPACKING	AH N P AE K IH NG
UNPICKING	AH N P IH K IH NG
UNSKILLED	AH N S K IH L D
UNSKILLFUL	AH N S K IH L F AH L
UNSKILLFULLY	AH N S K IH L F AH L IY
UNSKILLFULNESS	AH N S K IH L F AH L N AH S
UNSKILLFULNESSES	AH N S K IH L F AH L N AH S IH Z
UNSPEAKING	AH N S P IY K IH NG
UNSTACKING	AH N S T AE K IH NG
UNSTICKING	AH N S T IH K IH NG
UNTACKING	AH N T AE K IH NG
UNTHINKING	AH N TH IH NG K IH NG
UNTHINKINGLY	AH N TH IH NG K IH NG L IY
UNTUCKING	AH N T AH K IH NG
UNWORKING	AH N W ER K IH NG
UNYOKING	AH N Y OW K IH NG
UPCHUCKING	AH P CH AH K IH NG
UROKINASE	Y ER AH K AH N EY Z
UROKINASES	Y AH R AA K AH N EY Z AH Z
VAKIL	V AE K AH L
VAKILS	V EY K AH L Z
VIKING	V AY K IH NG
VIKINGS	V AY K IH NG Z
WACKIER	W AE K IY ER
WACKIEST	W AE K IY AH S T
WACKILY	W AE K IY L IY
WACKINESS	W AE K IY N AH S
WACKINESSES	W AE K IY N AH S IH Z
WAKIKI	W AE K AH K IY
WAKIKIS	W AE K AH K AH S
WAKING	W EY K IH NG
WALKING	W AO K IH NG
WALKINGS	W AO K IH NG Z
WALKINGSTICK	W AO K IH NG S T IH K
WALKINGSTICKS	W AO K IH NG S T IH K S
WARKING	W AO R K IH NG
WATCHMAKING	W AA CH M EY K IH NG
WATCHMAKINGS	W AA CH M EY K IH NG Z
WATERMARKING	W AO T ER M AA R K IH NG
WATERSKIING	W AO T ER S K AY IH NG
WATERSKIINGS	W AO T ER S K AY IH NG Z
WAUKING	W AO K AH NG
WEAKISH	W IY K IH SH
WELKIN	W EH L K AH N
WELKINS	W EH L K AH N Z
WESKIT	W IY Z K IH T
WESKITS	W IY Z K IH T S
WHACKIER	W AE K IY ER
WHACKIEST	W AE K IY AH S T
WHACKING	W AE K IH NG
WHACKING(2)	HH W AE K IH NG
WHELKIER	W EH L K AY AH R
WHELKIEST	W EH L K AY AH S T
WHISKIES	W IH S K IY Z
WHISKING	W IH S K IH NG
WICKING	W IH K IH NG
WICKINGS	W IH K IH NG Z
WICKIUP	W IH K IY AH P
WICKIUPS	W IH K IY AH P S
WIKIUP	W IH K IY AH P
WIKIUPS	W IH K IY AH P S
WINEMAKING	W AY N M EY K IH NG
WINEMAKINGS	W AY N M EY K IH NG Z
WINESKIN	W AY N S K IH N
WINESKINS	W AY N S K IH N Z
WINKING	W IH NG K IH NG
WINTERKILL	W IH N T ER K IH L
WINTERKILLS	W IH N T ER K IH L Z
WISECRACKING	W AY Z K R AE K IH NG
WOMANKIND	W UH M AH N K AY N D
WOMENKIND	W IH M AH N K AY N D
WONKIER	W AO NG K AY AH R
WONKIEST	W AO NG K AY AH S T
WOODWORKING	W UH D W ER K IH NG
WOODWORKINGS	W UH D W ER K IH NG Z
WOOLSKIN	W UH L S K IH N
WOOLSKINS	W UH L S K IH N Z
WORKING	W ER K IH NG
WORKINGMAN	W ER K IH NG M AE N
WORKINGMEN	W ER K IH NG M EH N
WORKINGS	W ER K IH NG Z
WORKINGWOMAN	W ER K IH NG W UH M AH N
WORKINGWOMEN	W ER K IH NG W IH M AH N
WRACKING	R AE K IH NG
WREAKING	R IY K IH NG
WRECKING	R EH K IH NG
WRECKINGS	R EH K IH NG Z
WRICKING	R IH K AH NG
WUNDERKIND	W AH N D ER K AY N D
WUNDERKIND(2)	W AH N D ER K IH N D
WUNDERKINDER	W AH N D AH R K AY N D AH R
WUNDERKINDS	W AH N D AH R K AY N D Z
YACKING	Y AE K AH NG
YAKITORI	Y AH K IH T AH R IY
YAKITORIS	Y AH K IH T AH R AH S
YAKKING	Y AE K IH NG
YANKING	Y AE NG K IH NG
YERKING	Y AH R K AH NG
YEUKING	Y UW K AH NG
YOCKING	Y AA K AH NG
YOKING	Y OW K IH NG
YOLKIER	Y OW K IY ER
YOLKIEST	Y OW K IY AH S T
YUCKIER	Y AH K AY AH R
YUCKIEST	Y AH K AY AH S T
YUCKING	Y AH K AH NG
YUKKING	Y AH K AH NG
ZADDIKIM	Z AE D AH K AH M
ZINCKING	Z IH NG K IH NG
ZINKIFIED	Z IH NG K AH F AY D
ZINKIFIES	Z IH NG K AH F AY Z
ZINKIFY	Z IH NG K AH F AY
ZINKIFYING	Z IH NG K IH F AY AH NG
ZONKING	Z AO NG K AH NG
SPEAK	S P IY K
VOTABLE	V OW T AH B AH L
FLAB	F L AE B
MRIDANGA	M R AH D AE N G AH
MU	M UW
GUSH	G AH SH
CUMULATE	K Y UW M Y AH L AH T
