OU	UW
CURIOUSLY	K Y UH R IY AH S L IY
CURIOUSNESS	K Y UH R IY AH S N AH S
CURIOUSNESSES	K Y UH R IY AH S N AH S IH Z
CURVACEOUS	K ER V EY SH AH S
CURVACIOUS	K ER V AH S IY AH S
CUSTOMHOUSE	K AH S T AH M HH AW S
CUSTOMHOUSES	K AH S T AH M HH AW S IH Z
CUSTOMSHOUSE	K AH S T AH M Z HH AW S
CUSTOMSHOUSES	K AH S T AH M Z HH AW S IH Z
CUTANEOUS	K Y UW T EY N IY AH S
CUTANEOUSLY	K Y UW T AH N IY OW AH S L IY
CUTOUT	K AH T AW T
CUTOUTS	K AH T AW T S
CYMOUS	S AY M AH S
DANGEROUS	D EY N JH ER AH S
DANGEROUSLY	D EY N JH ER AH S L IY
DANGEROUSNESS	D EY N JH ER AH S N AH S
DANGEROUSNESSES	D EY N JH ER AH S N AH S IH Z
DEBOUCH	D AH B AW CH
DEBOUCHE	D AH B AW CH
DEBOUCHED	D AH B AW CH T
DEBOUCHES	D AH B AW CH AH Z
DEBOUCHING	D AH B AW CH AH NG
DEBOUCHMENT	D AH B AW CH M AH N T
DEBOUCHMENTS	D AH B AW CH M AH N T S
DECAPODOUS	D AH K AE P AH D AH S
DECIDUOUS	D IH S IH JH UW AH S
DECIDUOUSNESS	D AH S IH D Y UW AW Z N AH S
DECIDUOUSNESSES	D AH S IH D Y UW AW Z N EH S AH Z
DECKHOUSE	D EH K HH AW S
DECKHOUSES	D EH K HH AW S IH Z
DECLIVITOUS	D IH K L IH V AH T AH S
DECOLOUR	D IY K AH L ER
DECOLOURED	D IY K AH L ER D
DECOLOURING	D IY K AH L ER IH NG
DECOLOURS	D IY K AH L ER Z
DECOMPOUND	D IY K AH M P AW N D
DECOROUS	D EH K ER AH S
DECOROUSLY	D EH K AH R AH S L IY
DECOROUSNESS	D EH K AH R AH S N AH S
DECOROUSNESSES	D EH K AH R AH S N AH S IH Z
DECOUPAGE	D IY K UW P EY IH JH
DECOUPAGED	D IY K UW P EY IH JH D
DECOUPAGES	D IY K UW P EY IH JH IH Z
DECOUPAGING	D IY K UW P EY IH JH IH NG
DECOUPLE	D IY K AH P AH L
DECOUPLED	D IY K AH P AH L D
DECOUPLES	D IY K AH P AH L Z
DECOUPLING	D IY K AH P L IH NG
DEERHOUND	D IH ER HH AW N D
DEERHOUNDS	D IH ER HH AW N D Z
DELETERIOUS	D EH L AH T IH R IY AH S
DELETERIOUSLY	D IY L EH T AH R IY AH S L IY
DELETERIOUSNESS	D IY L EH T AH R IY AH S N AH S
DELETERIOUSNESSES	D IY L EH T AH R IY AH S N AH S IH Z
DELICIOUS	D IH L IH SH AH S
DELICIOUSLY	D IH L IH SH AH SH L IY
DELICIOUSNESS	D IH L IH SH AH S N AH S
DELICIOUSNESSES	D IH L IH SH AH S N AH S IH Z
DELIRIOUS	D IH L IH R IY AH S
DELIRIOUSLY	D AH L AH R IY OW AH S L IY
DELIRIOUSNESS	D AH L IH R IY AW Z N AH S
DELIRIOUSNESSES	D AH L IH R IY AW Z N EH S AH Z
DELOUSE	D IY L AW Z
DELOUSED	D IY L AW Z D
DELOUSER	D IY L AW S ER
DELOUSERS	D IY L AW S ER Z
DELOUSES	D IY L AW S IH Z
DELOUSING	D IY L AW S IH NG
DEMEANOUR	D AH M IY N AH R
DEMEANOURS	D AH M AH N OW Y AH R Z
DEMOUNT	D IY M AW N T
DEMOUNTABLE	D IY M AW N T AH B AH L
DEMOUNTED	D IY M AW N T IH D
DEMOUNTING	D IY M AW N T IH NG
DEMOUNTS	D IY M AW N T S
DENOUEMENT	D EY N UW M AA N
DENOUEMENTS	D EY N UW M AA N Z
DENOUNCE	D IH N AW N S
DENOUNCED	D IH N AW N S T
DENOUNCEMENT	D IH N AW N S M AH N T
DENOUNCEMENTS	D IH N AW N S M AH N T S
DENOUNCER	D IH N AW N S ER
DENOUNCERS	D IH N AW N S ER Z
DENOUNCES	D IH N AW N S IH Z
DENOUNCING	D IH N AW N S IH NG
DENTULOUS	D EH N T Y AH L AH S
DESIROUS	D IH Z AY R AH S
DESIROUSLY	D IH Z AY ER AH S L IY
DESIROUSNESS	D IH Z AY ER AH S N AH S
DESIROUSNESSES	D IH Z AY ER AH S N AH S IH Z
DESKBOUND	D EH S K B AW N D
DESPITEOUS	D IH S P AY T AH S
DESPITEOUSLY	D IH S P AY T AH S L IY
DETOUR	D IH T UH R
DETOUR(2)	D IY T UH R
DETOURED	D IY T UH R D
DETOURING	D IY T UH R IH NG
DETOURS	D IH T UH R Z
DETOURS(2)	D IY T UH R Z
DEUTERANOMALOUS	D IY Y UW T AH R AH N AA M AH L AH S
DEVIOUS	D IY V IY AH S
DEVIOUSLY	D IY V IY AH S L IY
DEVIOUSNESS	D IY V IY AH S N AH S
DEVIOUSNESSES	D IY V IY AH S N AH S IH Z
DEVOUR	D IH V AW ER
DEVOURED	D IH V AW ER D
DEVOURER	D IH V AW ER ER
DEVOURERS	D IH V AW ER ER Z
DEVOURING	D IH V AW ER IH NG
DEVOURS	D IH V AW ER Z
DEVOUT	D IH V AW T
DEVOUTER	D IH V AW T ER
DEVOUTEST	D IH V AW T AH S T
DEVOUTLY	D IH V AW T L IY
DEVOUTNESS	D IH V AW T N AH S
DEVOUTNESSES	D IH V AW T N AH S IH Z
DEXTEROUS	D EH K S T ER AH S
DEXTEROUSLY	D EH K S T ER AH S L IY
DEXTEROUSNESS	D EH K S T ER AH S N AH S
DEXTEROUSNESSES	D EH K S T ER AH S N AH S IH Z
DEXTROUS	D EH K S T R AH S
DHOURRA	D HH AH R AH
DHOURRAS	D HH AH R AH Z
DIADELPHOUS	D AY AH D EH L F AH S
DIADROMOUS	D AY AE D R AH M AH S
DIAMONDIFEROUS	D AY AH M AA N D IH F AH R AH S
DIAPHANOUS	D AY AE F AH N IH S
DIAPHANOUSLY	D AY AE F AH N AH S L IY
DIAPHANOUSNESS	D AY AE F AH N AH S N AH S
DIAPHANOUSNESSES	D AY AE F AH N AH S N AH S IH Z
DIATHERMANOUS	D AY AH TH AH R M AH N AH S
DIATOMACEOUS	D AY AH T AA M EY S AH S
DICHOGAMOUS	D AH CH AA G AH M AH S
DICHOTOMOUS	D AH CH AA T AH M AH S
DICHOTOMOUSLY	D IH CH AH T AA M OW AH S L IY
DICHOTOMOUSNESS	D AH CH AA T AH M AW Z N AH S
DICHOTOMOUSNESSES	D AH CH AA T AH M AW Z N EH S AH Z
DICLINOUS	D IH K L AH N AH S
DICOTYLEDONOUS	D IH K AH T AH L EH D AH N AH S
DICOUMARIN	D AH K AW M AH R AH N
DICOUMARINS	D AH K AW M AH R AH N Z
DICOUMAROL	D AH K AW M AH R AH L
DICOUMAROLS	D AH K AW M AH R AH L Z
DIDYMOUS	D IH D AH M AH S
DIECIOUS	D IY SH AH S
DIESTROUS	D IY S T R AH S
DIGAMOUS	D IH G AH M AH S
DIMEROUS	D AY M ER AH S
DIMORPHOUS	D AH M AO R F AH S
DIMOUT	D IH M AW T
DIMOUTS	D IH M AW T S
DIOECIOUS	D AY OW AH SH AH S
DIOICOUS	D AY OW IH S AH S
DIPTEROUS	D IH P T AH R AH S
DISADVANTAGEOUS	D IH S AE D V AE N T EY JH AH S
DISADVANTAGEOUSLY	D IH S AE D V AE N T EY JH AH S L IY
DISADVANTAGEOUSNESS	D IH S AE D V AE N T EY JH AH S N AH S
DISADVANTAGEOUSNESSES	D IH S AE D V AE N T EY JH AH S N AH S IH Z
DISASTROUS	D IH Z AE S T R AH S
DISASTROUSLY	D IH Z AE S T R AH S L IY
DISBOUND	D IH S B AW N D
DISCONTINUOUS	D IH S K AH N T IH N Y UW AH S
DISCONTINUOUSLY	D IH S K AH N T IH N Y UW AH S L IY
DISCOUNT	D IH S K AW N T
DISCOUNTABLE	D IH S K AW N T AH B AH L
DISCOUNTED	D IH S K AW N T IH D
DISCOUNTED(2)	D IH S K AW N IH D
DISCOUNTENANCE	D IH S K AW N T AH N AH N S
DISCOUNTENANCED	D IH S K AW N T AH N AH N S T
DISCOUNTENANCES	D IH S K AW N T AH N AH N S IH Z
DISCOUNTENANCING	D IH S K AW N T AH N AH N S IH NG
DISCOUNTER	D IH S K AW N T ER
DISCOUNTERS	D IH S K AW N T ER Z
DISCOUNTERS(2)	D IH S K AW N ER R Z
DISCOUNTING	D IH S K AW N T IH NG
DISCOUNTING(2)	D IH S K AW N IH NG
DISCOUNTS	D IH S K AW N T S
DISCOURAGE	D IH S K ER IH JH
DISCOURAGEABLE	D IH S K ER IH JH AH B AH L
DISCOURAGED	D IH S K ER IH JH D
DISCOURAGEMENT	D IH S K ER IH JH M AH N T
DISCOURAGEMENTS	D IH S K ER IH JH M AH N T S
DISCOURAGER	D IH S K ER IH JH ER
DISCOURAGERS	D IH S K ER IH JH ER Z
DISCOURAGES	D IH S K ER IH JH IH Z
DISCOURAGING	D IH S K ER IH JH IH NG
DISCOURAGINGLY	D IH S K ER IH JH IH NG L IY
DISCOURSE	D IH S K AO R S
DISCOURSED	D IH S K OW R S T
DISCOURSER	D IH S K OW R S ER
DISCOURSERS	D IH S K OW R S ER Z
DISCOURSES	D IH S K AO R S IH Z
DISCOURSING	D IH S K OW R S IH NG
DISCOURTEOUS	D IH S K ER T IY AH S
DISCOURTEOUSLY	D IH S K ER T IY AH S L IY
DISCOURTEOUSNESS	D IH S K ER T IY AH S N AH S
DISCOURTEOUSNESSES	D IH S K ER T IY AH S N AH S IH Z
DISCOURTESIES	D IH S K ER T AH S IY Z
DISCOURTESY	D IH S K ER T AH S IY
DISHARMONIOUS	D IH S HH AA R M OW N IY AH S
DISHCLOUT	D IH SH K L AW T
DISHCLOUTS	D IH SH K L AW T S
DISINGENUOUS	D IH S IH N JH EH N Y UW AH S
DISINGENUOUSLY	D AH S AH N JH EH N Y UW OW AH S L IY
DISINGENUOUSNESS	D IH S IH N JH EH N Y UW AH S N AH S
DISINGENUOUSNESSES	D AH S AH N JH EH N Y UW AW Z N EH S AH Z
DISMOUNT	D IH S M AW N T
DISMOUNTED	D IH S M AW N T IH D
DISMOUNTING	D IH S M AW N T IH NG
DISMOUNTS	D IH S M AW N T S
DISPITEOUS	D IH S P IH T IY AH S
DISPUTATIOUS	D IH S P Y UW T AH T IY AH S
DISPUTATIOUSLY	D IH S P Y UW T AH T IY AH S L IY
DISPUTATIOUSNESS	D IH S P Y UW T AH T IY AH S N AH S
DISPUTATIOUSNESSES	D IH S P Y UW T AH T IY AH S N AH S IH Z
DISSENTIOUS	D IH S EH N CH AH S
DISTICHOUS	D IH S T IH CH AH S
DIZYGOUS	D IH Z AH G AH S
DOGFOUGHT	D AO G F AO T
DOGHOUSE	D AO G HH AW S
DOGHOUSES	D AO G HH AW S IH Z
DOLLHOUSE	D AA L HH AW S
DOLLHOUSES	D AA L HH AW S IH Z
DOLOROUS	D OW L ER AH S
DOLOROUSLY	D OW L ER AH S L IY
DOLOROUSNESS	D OW L ER AH S N AH S
DOLOROUSNESSES	D OW L ER AH S N AH S IH Z
DOLOUR	D AA L AH R
DOLOURS	D AH L OW Y AH R Z
DORMOUSE	D AO R M AW S
DOUBLE	D AH B AH L
DOUBLED	D AH B AH L D
DOUBLEHEADER	D AH B AH L HH EH D ER
DOUBLEHEADERS	D AH B AH L HH EH D ER Z
DOUBLENESS	D AH B AH L N AH S
DOUBLENESSES	D AH B AH L N AH S IH Z
DOUBLER	D AH B AH L ER
DOUBLERS	D AH B AH L ER Z
DOUBLES	D AH B AH L Z
DOUBLESPEAK	D AH B AH L S P IY K
DOUBLESPEAKER	D AH B AH L S P IY K ER
DOUBLESPEAKERS	D AH B AH L S P IY K ER Z
DOUBLESPEAKS	D AH B AH L S P IY K S
DOUBLET	D AW B L AH T
DOUBLETHINK	D AH B AH L TH IH NG K
DOUBLETHINKS	D AH B AH L TH IH NG K S
DOUBLETON	D AH B AH L T AH N
DOUBLETONS	D AH B AH L T AH N Z
DOUBLETS	D AW B L AH T S
DOUBLING	D AH B AH L IH NG
DOUBLING(2)	D AH B L IH NG
DOUBLOON	D AH B L UW N
DOUBLOONS	D AH B L UW N Z
DOUBLURE	D AH B AH L Y ER
DOUBLURES	D AH B AH L Y ER Z
DOUBLY	D AH B L IY
DOUBT	D AW T
DOUBTABLE	D AW T AH B AH L
DOUBTED	D AW T IH D
DOUBTER	D AW T ER
DOUBTERS	D AW T ER Z
DOUBTFUL	D AW T F AH L
DOUBTFULLY	D AW T F AH L IY
DOUBTFULNESS	D AW T F AH L N AH S
DOUBTFULNESSES	D AW T F AH L N AH S IH Z
DOUBTING	D AW T IH NG
DOUBTINGLY	D AW T IH NG L IY
DOUBTLESS	D AW T L AH S
DOUBTLESSLY	D AW T L AH S L IY
DOUBTLESSNESS	D AW T L AH S N AH S
DOUBTLESSNESSES	D AW T L AH S N AH S IH Z
DOUBTS	D AW T S
DOUCE	D UW S
DOUCELY	D UW S L IY
DOUCEUR	D AW S AH R
DOUCEURS	D AW S IY Y AH R Z
DOUCHE	D UW SH
DOUCHED	D AW CH T
DOUCHES	D AW CH AH Z
DOUCHING	D AW CH AH NG
DOUGH	D OW
DOUGHBOY	D OW B OY
DOUGHBOYS	D OW B OY Z
DOUGHFACE	D OW F EY S
DOUGHFACES	D OW F EY S IH Z
DOUGHIER	D OW IY ER
DOUGHIEST	D OW IY AH S T
DOUGHLIKE	D OW L AY K
DOUGHNUT	D OW N AH T
DOUGHNUTLIKE	D OW N AH T L AY K
DOUGHNUTS	D OW N AH T S
DOUGHS	D OW Z
DOUGHT	D AO T
DOUGHTIER	D OW T IH ER
DOUGHTIEST	D OW T AY AH S T
DOUGHTILY	D OW T AY L IY
DOUGHTINESS	D OW T AY N AH S
DOUGHTINESSES	D OW T AY N AH S IH Z
DOUGHTY	D AO T IY
DOUGHY	D OW IY
DOUM	D AW M
DOUMA	D OW M AH
DOUMAS	D AW M AH Z
DOUMS	D AW M Z
DOUPIONI	D UW P IY AH N IY
DOUPIONIS	D UW AH P IY AH N IY Z
DOUR	D AW ER
DOUR(2)	D AW R
DOURA	D AH R AH
DOURAH	D AH R AH
DOURAHS	D AH R AH Z
DOURAS	D AH R AH Z
DOURER	D AW ER ER
DOUREST	D AW ER AH S T
DOURINE	D UW Y UH R AH N
DOURINES	D UW Y UH R AH N Z
DOURLY	D AW ER L IY
DOURNESS	D AW ER N AH S
DOURNESSES	D AW ER N AH S IH Z
DOUROUCOULI	D AH R AW K AW L IY
DOUROUCOULIS	D AH R AW K OW AH L AH S
DOUSE	D AW S
DOUSED	D AW S T
DOUSER	D AW S ER
DOUSERS	D AW S ER Z
DOUSES	D AW S IH Z
DOUSING	D AW S IH NG
DOUX	D AW K S
DOUZEPER	D AW Z IY P AH R
DOUZEPERS	D AW Z AH P AH R Z
DOWNCOURT	D AW N K OW R T
DOWNPOUR	D AW N P AO R
DOWNPOURS	D AW N P AO R Z
DOWNSPOUT	D AW N S P AW T
DOWNSPOUTS	D AW N S P AW T S
DREADNOUGHT	D R EH D N AO T
DREADNOUGHTS	D R EH D N AO T S
DROPOUT	D R AA P AW T
DROPOUTS	D R AA P AW T S
DROUGHT	D R AW T
DROUGHTIER	D R AW T IY ER
DROUGHTIEST	D R AW T IY AH S T
DROUGHTINESS	D R AW T IY N AH S
DROUGHTINESSES	D R AW T IY N AH S IH Z
DROUGHTS	D R AW T S
DROUGHTY	D R AW T IY
DROUK	D R AW K
DROUKED	D R AW K T
DROUKING	D R AW K AH NG
DROUKS	D R AW K S
DROUTH	D R AW TH
DROUTHIER	D R AW TH IY ER
DROUTHIEST	D R AW TH IY AH S T
DROUTHS	D R AW TH S
DROUTHY	D R AW TH IY
DRUPACEOUS	D R UW P AH S IY AH S
DUBIOUS	D UW B IY AH S
DUBIOUSLY	D UW B IY AH S L IY
DUBIOUSNESS	D UW B IY AH S N AH S
DUBIOUSNESSES	D UW B IY AH S N AH S IH Z
DUGOUT	D AH G AW T
DUGOUTS	D AH G AW T S
DUMBFOUND	D AH M F AW N D
DUMBFOUNDED	D AH M F AW N D IH D
DUMBFOUNDER	D AH M F AW N D ER
DUMBFOUNDERED	D AH M F AW N D ER D
DUMBFOUNDERING	D AH M F AW N D ER IH NG
DUMBFOUNDERS	D AH M F AW N D ER Z
DUMBFOUNDING	D AH M F AW N D IH NG
DUMBFOUNDS	D AH M F AW N D Z
DUMFOUND	D AH M F AW N D
DUMFOUNDED	D AH M F AW N D AH D
DUMFOUNDING	D AH M F AW N D AH NG
DUMFOUNDS	D AH M F AW N D Z
DUPLICITOUS	D UW P L IH S IH T AH S
DUPLICITOUSLY	D AH P L AH S IH T OW AH S L IY
DUTEOUS	D Y UW T IY AH S
DYVOUR	D IH V AH R
DYVOURS	D AH V OW Y AH R Z
EARTHBOUND	ER TH B AW N D
EASTBOUND	IY S T B AW N D
ECHINODERMATOUS	AH CH IH N AH D AH R M AH T AH S
ECOTOURISM	EH K AH T OW Y AH R IH Z AH M
ECOTOURISMS	AH K AA T AH R AH Z AH M Z
ECOTOURIST	EH K AH T OW Y AH R AH S T
ECOTOURISTS	AH K AA T AH R AH S T S
ECZEMATOUS	EH K Z EH M AH T AH S
EDACIOUS	AH D AH S IY AH S
EDEMATOUS	IH D EH M AH T AH S
EDENTULOUS	IY D EH N CH AH L AH S
EELPOUT	IY L P AW T
EELPOUTS	IY L P AW T S
EFFICACIOUS	EH F AH K EY SH AH S
EFFICACIOUSLY	EH F AH K EY SH AH S L IY
EFFICACIOUSNESS	EH F AH K EY SH AH S N AH S
EFFICACIOUSNESSES	EH F AH K EY SH AH S N AH S IH Z
EGREGIOUS	IH G R IY JH AH S
EGREGIOUSLY	IH G R IY JH AH S L IY
EGREGIOUSNESS	IH G R IY JH AH S N AH S
EGREGIOUSNESSES	IH G R IY JH AH S N AH S IH Z
ELECTROACOUSTIC	AH L EH K T R AH K AW S T AH K
ELECTROACOUSTICS	AH L EH K T R AH K AW S T AH S Z
ELKHOUND	EH L K HH AW N D
ELKHOUNDS	EH L K HH AW N D Z
ELYTROUS	AH L IH T R AH S
EMBOUCHURE	AA M B UH SH UH R
EMBOUCHURES	AA M B UH SH UH R Z
EMBOURGEOISEMENT	IH M B AH R JH IY OY Z M AH N T
EMBOURGEOISEMENTS	IH M B AH R JH IY OY S AH M AH N T S
EMPHYSEMATOUS	EH M F AH S IY M AH T AH S
EMULOUS	EH M Y AH L AH S
EMULOUSLY	EH M Y AH L AH S L IY
EMULOUSNESS	EH M Y AH L AH S N AH S
EMULOUSNESSES	EH M Y AH L AH S N AH S IH Z
ENAMOUR	AH N AE M AH R
ENAMOURED	AH N AH M OW Y AH R D
ENAMOURING	AH N AH M OW Y AH R AH NG
ENAMOURS	AH N AH M OW Y AH R Z
ENANTIOMORPHOUS	AH N AH N T AY AH M AO R F AH S
ENCOUNTER	IH N K AW N T ER
ENCOUNTER(2)	IH N K AW N ER
ENCOUNTERED	IH N K AW N T ER D
ENCOUNTERED(2)	IH N K AW N ER D
ENCOUNTERING	EH N K AW N T ER IH NG
ENCOUNTERING(2)	EH N K AW N ER IH NG
ENCOUNTERS	IH N K AW N T ER Z
ENCOUNTERS(2)	IH N K AW N ER Z
ENCOURAGE	EH N K ER IH JH
ENCOURAGE(2)	IH N K ER AH JH
ENCOURAGED	EH N K ER IH JH D
ENCOURAGED(2)	IH N K ER AH JH D
ENCOURAGEMENT	EH N K ER IH JH M AH N T
ENCOURAGEMENTS	EH N K ER IH JH M AH N T S
ENCOURAGER	EH N K ER IH JH ER
ENCOURAGERS	EH N K ER IH JH ER Z
ENCOURAGES	EH N K ER IH JH IH Z
ENCOURAGES(2)	IH N K ER AH JH AH Z
ENCOURAGING	EH N K ER IH JH IH NG
ENCOURAGING(2)	IH N K ER AH JH IH NG
ENCOURAGINGLY	EH N K ER IH JH IH NG L IY
ENDEAVOUR	IH N D EH V ER
ENDEAVOURED	IH N D IY AH V OW Y AH R D
ENDEAVOURING	IH N D IY AH V OW Y AH R AH NG
ENDEAVOURS	IH N D IY AH V OW Y AH R Z
ENDOGAMOUS	EH N D AA G AH M AH S
ENDOGENOUS	EH N D AO JH EH N AH S
ENDOGENOUSLY	EH N D AA JH AH N AH S L IY
ENGINOUS	EH N JH AH N AH S
ENORMOUS	IH N AO R M AH S
ENORMOUS(2)	IH N AO R M IH S
ENORMOUS(3)	IY N AO R M AH S
ENORMOUS(4)	IY N AO R M IH S
ENORMOUSLY	IH N AO R M AH S L IY
ENORMOUSLY(2)	IY N AO R M AH S L IY
ENORMOUSNESS	IH N AO R M AH S N AH S
ENORMOUSNESSES	IH N AO R M AH S N AH S IH Z
ENOUGH	IH N AH F
ENOUGH(2)	IY N AH F
ENOUGHS	IH N AH F S
ENOUNCE	EH N AW N S
ENOUNCED	EH N AW N S T
ENOUNCES	EH N AW N S IH Z
ENOUNCING	EH N AW N S IH NG
ENSHROUD	IH N SH R AW D
ENSHROUDED	IH N SH R AW D AH D
ENSHROUDING	EH N SH R AW D IH NG
ENSHROUDS	EH N SH R AW D Z
ENSOUL	EH N S OW L
ENSOULED	EH N S OW L D
ENSOULING	EH N S OW L IH NG
ENSOULS	EH N S OW L Z
ENTEROCOELOUS	IH N T AH R AH K OW AH L AH S
ENTOMOPHAGOUS	IH N T AA M AH F EY JH AH S
ENTOMOPHILOUS	IH N T AA M AH F AY L AH S
ENTOURAGE	AA N T UH R AA ZH
ENTOURAGE(2)	AA N T ER AA ZH
ENTOURAGES	AA N T UH R AA ZH AH Z
ENTOURAGES(2)	AA N T ER AA ZH AH Z
ENVIOUS	EH N V IY AH S
ENVIOUSLY	EH N V IY AH S L IY
ENVIOUSNESS	EH N V IY AH S N AH S
ENVIOUSNESSES	EH N V IY AH S N AH S IH Z
ENWOUND	EH N W UW N D
EPIGEOUS	AH P IH JH IY AH S
EPIGONOUS	AH P IH G AH N AH S
EPIGYNOUS	AH P IH JH AH N AH S
EPIPHANOUS	AH P IH F AH N AH S
EPITHELIOMATOUS	EH P AH TH AH L IY AA M AH T AH S
EPONYMOUS	AH P AA N AH M AH S
ERICACEOUS	AH R IH S AH S IY AH S
EROGENOUS	AH R AA JH AH N AH S
ERRONEOUS	EH R OW N IY AH S
ERRONEOUS(2)	ER OW N IY AH S
ERRONEOUSLY	EH R OW N IY AH S L IY
ERRONEOUSNESS	IH R OW N IY AH S N AH S
ERRONEOUSNESSES	IH R OW N IY AH S N AH S IH Z
ERYTHEMATOUS	EH R AH TH EH M AH T AH S
ESPOUSAL	IH S P AW Z AH L
ESPOUSALS	IH S P AW Z AH L Z
ESPOUSE	IH S P AW Z
ESPOUSE(2)	IH S P AW S
ESPOUSED	IH S P AW Z D
ESPOUSED(2)	IH S P AW S T
ESPOUSER	IH S P AW Z ER
ESPOUSERS	IH S P AW Z ER Z
ESPOUSES	IH S P AW Z IH Z
ESPOUSES(2)	IH S P AW S IH Z
ESPOUSING	IH S P AW Z IH NG
ESPOUSING(2)	IH S P AW S IH NG
ESTROUS	EH S T R AH S
ETOUFFEE	AH T AW F IY IY
ETOUFFEES	AH T AW F IY Z
EUPHONIOUS	Y UW F OW N IY AH S
EUPHONIOUSLY	Y UW F AH N IY OW AH S L IY
EUPHONIOUSNESS	Y UW F OW N IY AW Z N AH S
EUPHONIOUSNESSES	Y UW F OW N IY AW Z N EH S AH Z
EUROKOUS	Y UW R AH K AH S
EURYTHERMOUS	Y UW R AH TH AH R M AH S
EXANTHEMATOUS	EH K S AE N TH AH M AH T AH S
EXCREMENTITIOUS	IH K S R AH M EH N T AH SH AH S
EXIGUOUS	IH G Z IH G Y AH W AH S
EXIGUOUSLY	IH G Z IH G W OW AH S L IY
EXIGUOUSNESS	IH G Z IH G W AW Z N AH S
EXIGUOUSNESSES	IH G Z IH G W AW Z N EH S AH Z
EXIMIOUS	IH G Z IH M IY AH S
EXOGAMOUS	EH K S AA G AH M AH S
EXOGENOUS	EH K S OW JH AH N AH S
EXOGENOUSLY	IH G Z AH JH EH N OW AH S L IY
EXPEDITIOUS	EH K S P AH D IH SH AH S
EXPEDITIOUSLY	EH K S P AH D IH SH AH S L IY
EXPEDITIOUSNESS	EH K S P AH D IH SH AH S N AH S
EXPEDITIOUSNESSES	EH K S P AH D IH SH AH S N AH S IH Z
EXPOUND	IH K S P AW N D
EXPOUNDED	IH K S P AW N D AH D
EXPOUNDER	IH K S P AW N D ER
EXPOUNDERS	IH K S P AW N D ER Z
EXPOUNDING	IH K S P AW N D IH NG
EXPOUNDS	IH K S P AW N D Z
EXTEMPORANEOUS	IH K S T EH M P AH R EY N IY AH S
EXTEMPORANEOUSLY	IH K S T EH M P AH R AH N IY OW AH S L IY
EXTEMPORANEOUSNESS	IH K S T AH M P AH R EY N IY AW Z N AH S
EXTEMPORANEOUSNESSES	IH K S T AH M P AH R EY N IY AW Z N EH S AH Z
EXTRANEOUS	EH K S T R EY N IY AH S
EXTRANEOUSLY	EH K S T R EY N IY AH S L IY
EXTRANEOUSNESS	EH K S T R EY N IY AH S N AH S
EXTRANEOUSNESSES	EH K S T R EY N IY AH S N AH S IH Z
FABULOUS	F AE B Y AH L AH S
FABULOUSLY	F AE B Y UW L AH S L IY
FABULOUSNESS	F AE B Y AH L AH S N AH S
FABULOUSNESSES	F AE B Y AH L AH S N AH S IH Z
FACETIOUS	F AH S IY SH AH S
FACETIOUSLY	F AH S IY SH AH S L IY
FACETIOUSNESS	F AH S IY SH AH S N AH S
FACETIOUSNESSES	F AH S IY SH AH S N AH S IH Z
FACTIOUS	F AE K T IY AH S
FACTIOUSLY	F AE K T IY AH S L IY
FACTIOUSNESS	F AE K T IY AH S N AH S
FACTIOUSNESSES	F AE K T IY AH S N AH S IH Z
FACTITIOUS	F AE K T IH SH AH S
FACTITIOUSLY	F AE K T AH T IY AH S L IY
FACTITIOUSNESS	F AE K T AH T IY AH S N AH S
FACTITIOUSNESSES	F AE K T AH T IY AH S N AH S IH Z
FADEOUT	F EY D AW T
FADEOUTS	F EY D AW T S
FAIRGROUND	F EH R G R AW N D
FAIRGROUNDS	F EH R G R AW N D Z
FAITOUR	F EY T AH R
FAITOURS	F EY T OW Y AH R Z
FALLACIOUS	F AH L EY SH AH S
FALLACIOUSLY	F AH L EY SH AH S L IY
FALLACIOUSNESS	F AH L EY SH AH S N AH S
FALLACIOUSNESSES	F AH L EY SH AH S N AH S IH Z
FALLOUT	F AO L AW T
FALLOUTS	F AO L AW T S
FAMOUS	F EY M AH S
FAMOUSLY	F EY M AH S L IY
FAMOUSNESS	F EY M AH S N AH S
FAMOUSNESSES	F EY M AH S N AH S IH Z
FANTABULOUS	F AE N T AE B Y AH L AH S
FARINACEOUS	F AA R IH N EY S AH S
FARMHOUSE	F AA R M HH AW S
FARMHOUSES	F AA R M HH AW S IH Z
FAROUCHE	F AH R AW CH
FARRAGINOUS	F AA R AE G IH N AH S
FASHIOUS	F AE SH AH S
FASTIDIOUS	F AE S T IH D IY AH S
FASTIDIOUSLY	F AE S T IH D IY AH S L IY
FASTIDIOUSNESS	F AE S T IH D IY AH S N AH S
FASTIDIOUSNESSES	F AE S T IH D IY AH S N AH S IH Z
FASTUOUS	F AE S T Y AH W AH S
FATUOUS	F AE CH AH W AH S
FATUOUSLY	F AE CH AH W AH S L IY
FATUOUSNESS	F AE CH AH W AH S N AH S
FATUOUSNESSES	F AE CH AH W AH S N AH S IH Z
FAUBOURG	F AH B OW R G
FAUBOURGS	F AO B AH R G Z
FAVOUR	F EY V ER
FAVOURED	F EY V ER D
FAVOURER	F EY V ER ER
FAVOURERS	F EY V ER ER Z
FAVOURING	F EY V ER IH NG
FAVOURS	F EY V ER Z
FELICITOUS	F IH L IH S AH T AH S
FELICITOUSLY	F IH L IH S AH T AH S L IY
FELICITOUSNESS	F IH L IH S AH T AH S N AH S
